#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
50,0.05000000000000004,11141.854040273904,7242.108463465814,298.85930361156
100,0.10000000000000007,5180.57655834551,11339.394166023874,467.9415478145273
150,0.1500000000000001,5058.713383446103,18023.318881405674,743.7663433016611
200,0.20000000000000015,1986.067061857665,17731.6917846078,731.7317995630599
250,0.25000000000000017,-854.7469328093403,16612.09780784508,685.5296364898386
300,0.3000000000000002,6595.055905332125,12765.298541303491,526.7841888440715
350,0.35000000000000026,5617.32715405009,10689.47698551363,441.12148609461116
400,0.4000000000000003,17366.512257982315,9627.803576811439,397.3095248145113
450,0.45000000000000034,18228.97351167276,8757.01318987747,361.3747124675856
500,0.5000000000000003,13103.592914533076,9229.284853798059,380.8638959431992
550,0.5500000000000004,14320.080123533371,10505.300320403912,433.5210876534853
600,0.6000000000000004,5411.514432692812,11621.163795198174,479.5693045070333
650,0.6500000000000005,12487.56136622481,13057.043472259727,538.8235952320914
700,0.7000000000000005,10025.89520702931,10344.239651806165,426.87461453047723
750,0.7500000000000006,11577.13794964736,11217.029230841277,462.89192732076805
800,0.8000000000000006,13815.094720532205,8064.737038301044,332.8066276880309
850,0.8500000000000006,4200.650998786584,10814.902957939774,446.2974260799316
900,0.9000000000000007,12904.260593809844,8820.488131908874,363.99412600826753
950,0.9500000000000007,7059.58270463159,9927.942573036979,409.6953281825695
1000,1.0000000000000007,12539.836994693167,9392.469540237147,387.59802067983946
