# call_index  Electronic(H)         Repulsive(H)          Total(H)
       0        -86.5718886216          0.8490270347        -85.7228615868
       4        -86.4700838865          0.7694693899        -85.7006144966
       8        -86.5754644524          0.8674684405        -85.7079960119
      12        -86.5291959575          0.8154293557        -85.7137666018
      16        -86.5298899914          0.8141770568        -85.7157129346
      20        -86.6308589898          0.9357381767        -85.6951208131
      24        -86.5589985769          0.8521315158        -85.7068670611
      28        -86.6078788288          0.8894255859        -85.7184532429
      32        -86.5828669410          0.8739328316        -85.7089341094
      36        -86.4439766422          0.7279519779        -85.7160246643
      40        -86.4931564146          0.7811081051        -85.7120483095
      44        -86.4438694558          0.7310644188        -85.7128050370
      48        -86.4557095362          0.7387822879        -85.7169272484
      52        -86.5816760443          0.8789141591        -85.7027618852
      56        -86.4792368933          0.7696741603        -85.7095627330
      60        -86.4867372133          0.7801978930        -85.7065393203
      64        -86.5124681743          0.8083954371        -85.7040727372
      68        -86.4189711815          0.7150837753        -85.7038874063
      72        -86.4981915645          0.8021831470        -85.6960084175
      76        -86.4508854067          0.7401311841        -85.7107542226
      80        -86.3918934570          0.6771103248        -85.7147831321
      84        -86.5026015232          0.7951222875        -85.7074792357
      88        -86.4607852200          0.7517291313        -85.7090560886
      92        -86.5176219561          0.8044540248        -85.7131679313
      96        -86.5723625998          0.8512200858        -85.7211425140
     100        -86.4644299007          0.7580029903        -85.7064269104
     104        -86.5405566498          0.8276895718        -85.7128670780
     108        -86.5443044792          0.8282082182        -85.7160962610
     112        -86.5169817821          0.8105750600        -85.7064067222
     116        -86.6285522129          0.9149986835        -85.7135535294
     120        -86.5292789201          0.8124008402        -85.7168780798
     124        -86.5071857917          0.8006730568        -85.7065127349
     128        -86.5743717971          0.8687315609        -85.7056402362
     132        -86.5001095379          0.7957494850        -85.7043600529
     136        -86.5798876415          0.8752408653        -85.7046467762
     140        -86.5798040409          0.8625851501        -85.7172188908
     144        -86.5082317370          0.7963081703        -85.7119235667
     148        -86.6329420243          0.9301184720        -85.7028235523
     152        -86.6048586615          0.8886467128        -85.7162119487
     156        -86.5672443177          0.8513568755        -85.7158874422
     160        -86.5621028355          0.8556979680        -85.7064048675
     164        -86.3962076060          0.6972525379        -85.6989550680
     168        -86.4464843640          0.7308205672        -85.7156637968
     172        -86.5178128065          0.7905969713        -85.7272158352
     176        -86.4721885101          0.7573423243        -85.7148461858
     180        -86.5470362009          0.8290992134        -85.7179369875
     184        -86.4761047598          0.7661620536        -85.7099427062
     188        -86.4447539038          0.7402266972        -85.7045272066
     192        -86.5369612161          0.8273074947        -85.7096537214
     196        -86.4662514765          0.7553879604        -85.7108635161
     200        -86.4671144078          0.7536488065        -85.7134656013
     204        -86.4485524310          0.7390332794        -85.7095191516
     208        -86.3820285349          0.6774999840        -85.7045285509
     212        -86.5120000221          0.7943822477        -85.7176177744
     216        -86.5401115999          0.8314625479        -85.7086490520
     220        -86.5221424916          0.8083399611        -85.7138025305
     224        -86.5597532066          0.8420671725        -85.7176860341
     228        -86.4702893757          0.7703241763        -85.6999651994
     232        -86.5055169647          0.7988601123        -85.7066568524
     236        -86.5789129751          0.8648701029        -85.7140428722
     240        -86.5505998199          0.8356762417        -85.7149235782
     244        -86.5977246234          0.8950720051        -85.7026526183
     248        -86.5600066351          0.8595377950        -85.7004688401
     252        -86.5371712227          0.8178527847        -85.7193184379
     256        -86.6071380234          0.8994127865        -85.7077252369
     260        -86.5570862186          0.8501551861        -85.7069310325
     264        -86.5435961847          0.8401077912        -85.7034883935
     268        -86.5595646701          0.8653914474        -85.6941732226
     272        -86.5365685837          0.8291387850        -85.7074297987
     276        -86.6119041524          0.8991814102        -85.7127227422
     280        -86.6100288681          0.8947502231        -85.7152786450
     284        -86.5371836418          0.8217217430        -85.7154618989
     288        -86.5064920416          0.8001843879        -85.7063076537
     292        -86.4451754739          0.7457795337        -85.6993959402
     296        -86.4535245334          0.7427867943        -85.7107377390
     300        -86.5070385294          0.7890337448        -85.7180047845
     304        -86.4942665036          0.7834762985        -85.7107902051
     308        -86.5062655041          0.8020747969        -85.7041907073
     312        -86.5186201318          0.7993311455        -85.7192889863
     316        -86.5001780562          0.7834006813        -85.7167773750
     320        -86.4971501169          0.7927904063        -85.7043597106
     324        -86.4702650826          0.7573373226        -85.7129277600
     328        -86.4335835874          0.7206163772        -85.7129672103
     332        -86.4469733483          0.7375467400        -85.7094266083
     336        -86.4729561617          0.7643589284        -85.7085972333
     340        -86.5300392282          0.8229503553        -85.7070888729
     344        -86.5792131286          0.8616138841        -85.7175992445
     348        -86.5551547742          0.8415785128        -85.7135762613
     352        -86.5493689224          0.8411509211        -85.7082180013
     356        -86.5547935872          0.8404605588        -85.7143330284
     360        -86.5496754449          0.8400682338        -85.7096072110
     364        -86.5948815833          0.8900265904        -85.7048549929
     368        -86.5992480883          0.8945844179        -85.7046636704
     372        -86.5621549680          0.8575655442        -85.7045894238
     376        -86.5556911160          0.8523097649        -85.7033813512
     380        -86.5453774549          0.8425394360        -85.7028380188
     384        -86.5546318094          0.8449201426        -85.7097116668
     388        -86.5737242510          0.8723567586        -85.7013674923
     392        -86.5805408628          0.8741119647        -85.7064288981
     396        -86.6065555784          0.8950914784        -85.7114641000
