# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00      -55.1309    -85.6026880787    -85.5875339124    0.412366
    1      4.00      -54.9879    -85.6072712471    -85.5929430997    0.389889
    2      8.00       54.9225    -85.6053092913    -85.5925742180    0.346539
    3     12.00       57.9773    -85.5940369767    -85.5815483391    0.339833
    4     16.00      -62.1621    -85.5935271943    -85.5818578136    0.317540
    5     20.00      -65.0887    -85.6071463597    -85.5962320679    0.296993
    6     24.00      -59.0888    -85.6023803739    -85.5913713097    0.299572
    7     28.00      -53.8627    -85.5940768138    -85.5834776050    0.288419
    8     32.00      -54.1814    -85.5913778672    -85.5805123911    0.295665
    9     36.00       59.8396    -85.6028099411    -85.5941293580    0.236211
   10     40.00       67.8394    -85.6097552435    -85.6026838375    0.192423
   11     44.00       72.3000    -85.5978009714    -85.5895703971    0.223965
   12     48.00      -68.1825    -85.6019128018    -85.5919254051    0.271771
   13     52.00      -60.1467    -85.6101518261    -85.5993129620    0.294941
   14     56.00       57.7438    -85.5924319107    -85.5815522662    0.296050
   15     60.00       57.9804    -85.5966801408    -85.5873138324    0.254870
   16     64.00       55.4430    -85.6139413658    -85.6053782620    0.233014
   17     68.00      -46.5311    -85.6112136096    -85.5999786437    0.305719
   18     72.00       39.6244    -85.6062820083    -85.5913043080    0.407564
   19     76.00      -37.4663    -85.6020562136    -85.5837711402    0.497562
   20     80.00       38.6334    -85.6097993436    -85.5934560657    0.444723
   21     84.00       42.6148    -85.6091741048    -85.5961354987    0.354799
   22     88.00      -46.1280    -85.5941296177    -85.5822037685    0.324519
   23     92.00       48.8121    -85.6018318983    -85.5906749412    0.303596
   24     96.00       51.9707    -85.6171427556    -85.6063684544    0.293184
   25    100.00      -55.7888    -85.6019757261    -85.5910028903    0.298586
   26    104.00       54.7510    -85.5966696680    -85.5857571999    0.296943
   27    108.00       46.9247    -85.5916912588    -85.5794445638    0.333250
   28    112.00      -38.6394    -85.5943653728    -85.5803382420    0.381698
   29    116.00       37.1646    -85.6011727814    -85.5876336011    0.368420
   30    120.00       42.5123    -85.5945577514    -85.5825261299    0.327397
   31    124.00      -47.2556    -85.5970147240    -85.5880985928    0.242620
   32    128.00       44.3425    -85.6042544695    -85.5967792107    0.203412
   33    132.00       40.2646    -85.6072013625    -85.5988391407    0.227548
   34    136.00      -39.6881    -85.6069156771    -85.5980357374    0.241635
   35    140.00       43.0198    -85.6100481194    -85.5997751954    0.279540
   36    144.00      -43.8417    -85.6075127264    -85.5971107672    0.283052
   37    148.00       43.1030    -85.6086763586    -85.5987946485    0.268895
   38    152.00       44.3094    -85.6069157159    -85.5966877086    0.278318
   39    156.00      -49.3318    -85.6042896561    -85.5947357338    0.259975
   40    160.00       57.4686    -85.6061197005    -85.5965745113    0.259738
   41    164.00       59.0025    -85.6067181615    -85.5971314983    0.260866
   42    168.00       55.1733    -85.6003797973    -85.5916837765    0.236631
   43    172.00      -49.6512    -85.5955552263    -85.5870035143    0.232704
   44    176.00      -51.5468    -85.5956755338    -85.5882160103    0.202984
   45    180.00      -57.1176    -85.5959482263    -85.5888259734    0.193806
   46    184.00       58.4048    -85.6029601733    -85.5949023445    0.219265
   47    188.00       49.6718    -85.6127986358    -85.6040593030    0.237809
   48    192.00      -41.5463    -85.6025141900    -85.5934741178    0.245993
   49    196.00      -38.7938    -85.5943300424    -85.5847691694    0.260165
   50    200.00       42.3153    -85.5977603953    -85.5879558622    0.266795
   51    204.00      -52.5473    -85.6018541558    -85.5905394927    0.307888
   52    208.00       58.0553    -85.6072832202    -85.5940012983    0.361420
   53    212.00       58.1526    -85.6008219157    -85.5883453795    0.339504
   54    216.00       53.7844    -85.6009435542    -85.5887594997    0.331545
   55    220.00       49.2573    -85.6180823485    -85.6063929764    0.318084
   56    224.00       48.1795    -85.6118859852    -85.5995560672    0.335514
   57    228.00      -47.5722    -85.6081624787    -85.5950744057    0.356145
   58    232.00      -44.1837    -85.6029977233    -85.5910850183    0.324161
   59    236.00       46.0393    -85.6034840622    -85.5930955287    0.282686
   60    240.00      -53.7719    -85.6045317388    -85.5939930543    0.286772
   61    244.00       59.7122    -85.6044114137    -85.5941408376    0.279477
   62    248.00      -62.7597    -85.6148848832    -85.6027631111    0.329850
   63    252.00      -59.5066    -85.6009824408    -85.5875230264    0.366249
   64    256.00      -47.8582    -85.5920882994    -85.5810096058    0.301467
   65    260.00      -35.9488    -85.6028804208    -85.5947476203    0.221305
   66    264.00      -30.3942    -85.5917560486    -85.5866068465    0.140117
   67    268.00      -34.7439    -85.5927462397    -85.5878872011    0.132221
   68    272.00       43.5397    -85.5993511913    -85.5923908401    0.189401
   69    276.00      -47.7287    -85.5990102719    -85.5910198097    0.217432
   70    280.00      -50.5858    -85.6049475868    -85.5966228997    0.226526
   71    284.00      -58.3949    -85.5989273417    -85.5910374379    0.214695
   72    288.00      -70.6766    -85.5930183230    -85.5858367681    0.195420
