# CDFTB-CI Results
# Frame  Time(fs)  E_A(Ha)  E_B(Ha)  V_A(Ha)  V_B(Ha)  S_AB  H_AB(Ha)  J_direct(meV)  J_lowdin(meV)  E1(Ha)  E2(Ha)  dE(eV)
     0      0.00  -85.4838855278  -85.4907214306    0.10615946    0.05734301   -0.09752714    8.3406417096     90.0649     90.9298  -85.4917693367  -85.4821858269    0.260781
     1      4.00  -85.5021439749  -85.5090750972    0.10620536    0.05719185    0.09627404   -8.2352321182    -88.7444    -89.5746  -85.5100841193  -85.5005011218    0.260767
     2      8.00  -85.5180970372  -85.5252078383    0.10630216    0.05688616   -0.09481860    8.1122421829     87.0440     87.8336  -85.5261603613  -85.5165323982    0.261990
     3     12.00  -85.5264970167  -85.5338793438    0.10645118    0.05639192    0.09351148   -8.0011863809    -85.2274    -85.9792  -85.5347638989  -85.5250215294    0.265103
     4     16.00  -85.5274892500  -85.5352171300    0.10668400    0.05572910   -0.09260613    7.9237977981     83.5330     84.2556  -85.5360309712  -85.5261019297    0.270183
     5     20.00  -85.5248916519  -85.5329850016    0.10695805    0.05497307   -0.09224383    7.8925356629     82.1531     82.8581  -85.5337356367  -85.5235792554    0.276369
     6     24.00  -85.5223028667  -85.5307164442    0.10725680    0.05423889   -0.09235789    7.9020304750     81.1591     81.8573  -85.5314182108  -85.5210454378    0.282258
     7     28.00  -85.5203244686  -85.5289591225    0.10756504    0.05360196   -0.09300935    7.9575561944     80.6829     81.3870  -85.5296312057  -85.5190960192    0.286677
     8     32.00  -85.5174017273  -85.5261234436    0.10785978    0.05313026   -0.09408301    8.0491114208     80.7265     81.4475  -85.5267862438  -85.5161757200    0.288727
     9     36.00  -85.5126206480  -85.5212899291    0.10812901    0.05286878   -0.09533804    8.1560028146     81.1875     81.9322  -85.5219623118  -85.5113741483    0.288119
