# CDFTB-CI Sub Values
# Frame  Time(fs)      E_A(Ha)      E_B(Ha)        H_AB(Ha)        J_direct(meV)        V_A(Ha)        V_B(Ha)      N_A      N_B        S_AB        S_AB_alpha      S_AB_beta        W_BA        W_BA_alpha      W_BA_beta        W_AB        W_AB_alpha      W_AB_beta
    0      0.00  -85.5879149527  -85.6024366812   -2.1388324164      -55.1058    0.1660944411    0.1521671925   101.0   101.0    0.0249641092    0.9335191373    0.0267419362    2.5336575628    1.2732244116    1.2604331512    2.5345851288    1.2731289095    1.2614562193
    1      4.00  -85.5929008698  -85.6068999280    1.1141663457       29.1796    0.1682628953    0.1550364290   101.0   101.0   -0.0130034499   -0.4736837536    0.0274517541   -1.3196377106   -0.6632122080   -0.6564255026   -1.3203558739   -0.6631576140   -0.6571982599
    2      8.00  -85.5926978200  -85.6049552243    1.1250839483       29.3871    0.1667124824    0.1551896495   101.0   101.0   -0.0131310678   -0.4777986901    0.0274824273   -1.3328626105   -0.6697281737   -0.6631344368   -1.3330390967   -0.6696579610   -0.6633811357
    3     12.00  -85.5817935711  -85.5934775431    1.2030559090       30.8381    0.1633883469    0.1523188850   101.0   101.0   -0.0140431807   -0.4719723229    0.0297542461   -1.4257967024   -0.7162688766   -0.7095278258   -1.4252658073   -0.7161546177   -0.7091111896
    4     16.00  -85.5822093358  -85.5928714398    1.3043874859       32.8666    0.1602550757    0.1502765877   101.0   101.0   -0.0152262777   -0.4670244991    0.0326027387   -1.5461277305   -0.7766295285   -0.7694982020   -1.5451057005   -0.7764724529   -0.7686332476
    5     20.00  -85.5966909791  -85.6064290709   -1.3770875799      -34.7628    0.1601129903    0.1510911784   101.0   101.0    0.0160722547    0.4710507730    0.0341200048    1.6320678642    0.8197644617    0.8123034024    1.6309143339    0.8196275799    0.8112867540
    6     24.00  -85.5916264286  -85.6018986865   -1.2136217318      -31.3276    0.1637937306    0.1541477503   101.0   101.0    0.0141649103   -0.4721093287   -0.0300034535    1.4381420543    0.7224697219    0.7156723324    1.4376385910    0.7223717294    0.7152668615
    7     28.00  -85.5836607131  -85.5936419080   -1.0554182928      -27.8792    0.1670371310    0.1579400834   101.0   101.0    0.0123193173    0.4663324775    0.0264174551    1.2504570985    0.6283302305    0.6221268680    1.2506613358    0.6282591192    0.6224022165
    8     32.00  -85.5807471646  -85.5909230874    1.0643047739       27.9968    0.1664765641    0.1572709715   101.0   101.0   -0.0124235034   -0.4658137143    0.0266705402   -1.2608885113   -0.6336426477   -0.6272458636   -1.2613851971   -0.6335726440   -0.6278125531
    9     36.00  -85.5945421412  -85.6020269761    1.2269404827       31.4208    0.1609716186    0.1542993730   101.0   101.0   -0.0143202144   -0.4719178309    0.0303447200   -1.4535511781   -0.7304046696   -0.7231465086   -1.4537873000   -0.7302787318   -0.7235085682
