# Frame  Time[fs]  Q_fragment1@fragment1[e]  Q_fragment2@fragment1[e]  Q_fragment1@fragment2[e]  Q_fragment2@fragment2[e]
    0         0.000     +1.000055     -0.000055     +0.000100     +0.999900
    1         4.000     +1.000064     -0.000064     +0.000099     +0.999901
    2         8.000     +1.000058     -0.000058     +0.000095     +0.999905
    3        12.000     +1.000058     -0.000058     +0.000093     +0.999907
    4        16.000     +1.000049     -0.000049     +0.000092     +0.999908
    5        20.000     +1.000049     -0.000049     +0.000099     +0.999901
    6        24.000     +1.000050     -0.000050     +0.000098     +0.999902
    7        28.000     +1.000052     -0.000052     +0.000098     +0.999902
    8        32.000     +1.000054     -0.000054     +0.000098     +0.999902
    9        36.000     +1.000080     -0.000080     +0.000098     +0.999902
