# Frame  Time[fs]  Energy_fragment1[a.u.]  Energy_fragment2[a.u.]
    0         0.000      -85.4618045205      -85.4534028702
    1         4.000      -85.4768045027      -85.4682782860
    2         8.000      -85.4899544324      -85.4811890464
    3        12.000      -85.4975914260      -85.4884712023
    4        16.000      -85.5006481535      -85.4911046345
    5        20.000      -85.5024923166      -85.4925408313
    6        24.000      -85.5052479670      -85.4949869485
    7        28.000      -85.5078016968      -85.4973924512
    8        32.000      -85.5071271460      -85.4967648241
    9        36.000      -85.5015020427      -85.4913996059
