# Frame  Time[fs]  Energy_fragment1[a.u.]  Energy_fragment2[a.u.]
    0         0.000      -85.4618043822      -85.4534029995
    1         4.000      -85.4768043048      -85.4682783537
    2         8.000      -85.4899542225      -85.4811890387
    3        12.000      -85.4975911813      -85.4884711962
    4        16.000      -85.5006479122      -85.4911045691
    5        20.000      -85.5024921192      -85.4925407977
    6        24.000      -85.5052478266      -85.4949869665
    7        28.000      -85.5078016041      -85.4973925479
    8        32.000      -85.5071271416      -85.4967650110
    9        36.000      -85.5015020894      -85.4913999390
