# Spin Populations from CDFTB Calculations
# Spin density = N_α - N_β on each fragment
# For each constraint state (A or B):
#   frag1 = first fragment atoms, frag2 = second fragment atoms
# Frame  Time(fs)  fragment1_A_nalpha  fragment1_A_nbeta  fragment1_A_spin  fragment2_A_nalpha  fragment2_A_nbeta  fragment2_A_spin  fragment1_B_nalpha  fragment1_B_nbeta  fragment1_B_spin  fragment2_B_nalpha  fragment2_B_nbeta  fragment2_B_spin
    0      0.00     50.95321374     50.00106690      0.95214684     51.04677280     50.99892904      0.04784376     51.04805074     51.00217787      0.04587286     50.95194621     49.99783440      0.95411181
    1      4.00     50.43171006     50.00105872      0.43065135     51.56828560     50.99893688      0.56934872     51.47587923     51.00224351      0.47363573     50.52411555     49.99774917      0.52636637
    2      8.00     50.47014639     50.00096503      0.46918136     51.52985384     50.99903247      0.53082137     51.51261527     51.00191055      0.51070473     50.48738072     49.99807911      0.48930161
    3     12.00     50.51747011     50.00110752      0.51636258     51.48252986     50.99888756      0.48364230     51.56880628     51.00182813      0.56697815     50.43118301     49.99816808      0.43301493
    4     16.00     50.51957339     50.00150905      0.51806435     51.48042686     50.99848780      0.48193906     51.57835436     51.00222255      0.57613180     50.42165843     49.99778606      0.42387237
    5     20.00     50.48985175     50.00150229      0.48834946     51.51014700     50.99849761      0.51164939     51.54278715     51.00206808      0.54071908     50.45721255     49.99793204      0.45928051
    6     24.00     50.45735286     50.00168294      0.45566992     51.54263680     50.99831624      0.54432055     51.50817923     51.00285052      0.50532871     50.49181619     49.99715660      0.49465959
    7     28.00     50.43960783     50.00179505      0.43781278     51.56039706     50.99820851      0.56218855     51.50286606     51.00350926      0.49935680     50.49713482     49.99648838      0.50064644
    8     32.00     50.47012203     50.00148317      0.46863886     51.52987973     50.99851422      0.53136552     51.53645094     51.00294049      0.53351045     50.46354714     49.99705989      0.46648725
    9     36.00     50.49658062     50.00204461      0.49453602     51.50341765     50.99794562      0.50547203     51.54817335     51.00354158      0.54463176     50.45183819     49.99646024      0.45537796
