# Spin Populations from CDFTB Calculations (State A)
# Spin density = N_α - N_β on each fragment
# Frame  Time(fs)  fragment1_n_alpha  fragment1_n_beta  fragment1_spin  fragment2_n_alpha  fragment2_n_beta  fragment2_spin
    0      0.00       50.99768124       50.00240369        0.99527755       51.00231254       50.99758922        0.00472332
    1      4.00       50.99771795       50.00236196        0.99535599       51.00227227       50.99763894        0.00463333
    2      8.00       50.99776061       50.00232363        0.99543698       51.00223040       50.99768234        0.00454806
    3     12.00       50.99779880       50.00229250        0.99550631       51.00219973       50.99771177        0.00448796
    4     16.00       50.99779225       50.00228016        0.99551209       51.00220146       50.99771689        0.00448457
    5     20.00       50.99777956       50.00229831        0.99548125       51.00221992       50.99770918        0.00451075
    6     24.00       50.99773142       50.00235156        0.99537986       51.00226407       50.99765157        0.00461250
    7     28.00       50.99767819       50.00241422        0.99526397       51.00233015       50.99759241        0.00473775
    8     32.00       50.99759982       50.00249232        0.99510749       51.00239227       50.99750574        0.00488653
    9     36.00       50.99752141       50.00256373        0.99495768       51.00247872       50.99741974        0.00505898
