# Spin Populations from CDFTB Calculations (State B)
# Spin density = N_α - N_β on each fragment
# Frame  Time(fs)  fragment1_n_alpha  fragment1_n_beta  fragment1_spin  fragment2_n_alpha  fragment2_n_beta  fragment2_spin
    0      0.00       51.00352418       50.99656982        0.00695436       50.99648062       50.00344431        0.99303630
    1      4.00       51.00342720       50.99665388        0.00677332       50.99657406       50.00334003        0.99323403
    2      8.00       51.00331378       50.99676310        0.00655067       50.99668664       50.00323824        0.99344840
    3     12.00       51.00322264       50.99685212        0.00637052       50.99677145       50.00315465        0.99361680
    4     16.00       51.00318209       50.99689347        0.00628862       50.99682680       50.00309615        0.99373065
    5     20.00       51.00317149       50.99688495        0.00628654       50.99683329       50.00310842        0.99372487
    6     24.00       51.00321803       50.99684571        0.00637231       50.99678554       50.00315074        0.99363480
    7     28.00       51.00329750       50.99675917        0.00653833       50.99669891       50.00323172        0.99346719
    8     32.00       51.00342107       50.99664344        0.00677763       50.99657423       50.00335400        0.99322022
    9     36.00       51.00356302       50.99651929        0.00704372       50.99645178       50.00349036        0.99296141
