# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00       55.1310    -85.6026880788    -85.5875339122    0.412366
    1      4.00       54.9878    -85.6072712467    -85.5929431002    0.389889
    2      8.00      -54.9220    -85.6053092870    -85.5925742239    0.346539
    3     12.00       57.9762    -85.5940368746    -85.5815482504    0.339833
    4     16.00      -62.1621    -85.5935271944    -85.5818578135    0.317540
    5     20.00      -65.0886    -85.6071463597    -85.5962320683    0.296993
    6     24.00      -59.0887    -85.6023803735    -85.5913713104    0.299572
    7     28.00       53.8627    -85.5940768147    -85.5834776039    0.288419
    8     32.00      -54.1814    -85.5913778666    -85.5805123920    0.295665
    9     36.00      -59.8395    -85.6028099408    -85.5941293584    0.236211
   10     40.00       67.8394    -85.6097552448    -85.6026838365    0.192423
   11     44.00       72.3000    -85.5978009706    -85.5895703979    0.223965
   12     48.00      -68.1826    -85.6019128019    -85.5919254045    0.271771
   13     52.00      -60.1465    -85.6101518234    -85.5993129677    0.294940
   14     56.00      -57.7437    -85.5924319114    -85.5815522687    0.296050
   15     60.00       57.9805    -85.5966801410    -85.5873138321    0.254870
   16     64.00       55.4427    -85.6139413608    -85.6053782656    0.233014
   17     68.00      -46.5311    -85.6112136104    -85.5999786415    0.305719
   18     72.00       39.6245    -85.6062820076    -85.5913043049    0.407564
   19     76.00      -37.4663    -85.6020562138    -85.5837711362    0.497562
   20     80.00      -38.6325    -85.6097994039    -85.5934561408    0.444723
   21     84.00       42.6150    -85.6091741038    -85.5961354995    0.354798
   22     88.00      -46.1281    -85.5941296170    -85.5822037686    0.324519
   23     92.00      -48.8121    -85.6018318999    -85.5906749376    0.303596
   24     96.00      -51.9707    -85.6171427540    -85.6063684555    0.293184
