# CDFTB-CI Sub Values
# Frame  Time(fs)      E_A(Ha)      E_B(Ha)        H_AB(Ha)        J_direct(meV)        V_A(Ha)        V_B(Ha)      N_A      N_B        S_AB        S_AB_alpha      S_AB_beta        W_BA        W_BA_alpha      W_BA_beta        W_AB        W_AB_alpha      W_AB_beta
    0      0.00  -85.5878626475  -85.6024604833    2.1384933600       55.0966    0.1661271448    0.1521350285   101.0   101.0   -0.0249601561    0.9334195973   -0.0267405529   -2.5332549887   -1.2730226203   -1.2602323684   -2.5341851821   -1.2729274954   -1.2612576867
    1      4.00  -85.5932855575  -85.6070277720    2.0984848020       54.9549    0.1683033766    0.1549777733   101.0   101.0   -0.0244913716    0.9311766408   -0.0263015314   -2.4854401462   -1.2491251891   -1.2363149571   -2.4868638094   -1.2490099428   -1.2378538666
    2      8.00  -85.5929538788  -85.6050286145   -2.1009631541      -54.8890    0.1667786997    0.1551932669   101.0   101.0    0.0245206864   -0.9298848910   -0.0263695933    2.4889185824    1.2506124763    1.2383061061    2.4893347730    1.2505113124    1.2388234606
    3     12.00  -85.5819812381  -85.5937163229    2.2604621906       57.9358    0.1634294002    0.1522537419   101.0   101.0   -0.0263861415   -0.9268066081    0.0284699540   -2.6789194288   -1.3457495528   -1.3331698760   -2.6780272785   -1.3456515643   -1.3323757142
    4     16.00  -85.5823915667  -85.5931249151   -2.4651787035      -62.1106    0.1603280887    0.1501916437   101.0   101.0    0.0287762670    0.9293080080    0.0309652631    2.9219631457    1.4676642656    1.4542988802    2.9201874340    1.4675320482    1.4526553859
    5     20.00  -85.5968583401  -85.6066638937   -2.5755971471      -65.0298    0.1602594422    0.1510061019   101.0   101.0    0.0300602150   -0.9311718189   -0.0322821357    3.0523784139    1.5331510335    1.5192273804    3.0504380968    1.5330077791    1.5174303177
    6     24.00  -85.5918774791  -85.6019901165   -2.2867253137      -59.0466    0.1639333810    0.1541123857   101.0   101.0    0.0266896872   -0.9337426189   -0.0285835590    2.7096782402    1.3612603717    1.3484178685    2.7089054240    1.3611063774    1.3477990466
    7     28.00  -85.5839096067  -85.5937389605    2.0374437894       53.8323    0.1671689100    0.1578611009   101.0   101.0   -0.0237819074    0.9374240425   -0.0253694233   -2.4139097541   -1.2129575775   -1.2009521766   -2.4143954952   -1.2128165690   -1.2015789263
    8     32.00  -85.5809397179  -85.5910462095   -2.0580857937      -54.1501    0.1665475651    0.1572200804   101.0   101.0    0.0240237420    0.9372846483    0.0256312125    2.4382125055    1.2252729923    1.2129395133    2.4391970280    1.2251659275    1.2140311005
    9     36.00  -85.5947890034  -85.6022701412   -2.3346887105      -59.7951    0.1610976758    0.1541535782   101.0   101.0    0.0272491980   -0.9399897991   -0.0289888231    2.7658549171    1.3897996243    1.3760552928    2.7663761889    1.3896396595    1.3767365293
   10     40.00  -85.6037921787  -85.6088040267    2.7001502346       67.7720    0.1570106449    0.1523502155   101.0   101.0   -0.0315123971   -0.9378819041    0.0335995363   -3.1993026830   -1.6072432838   -1.5920593992   -3.1983906460   -1.6070419006   -1.5913487454
