# Spin Populations from CDFTB Calculations
# Spin density = N_α - N_β on each fragment
# For each constraint state (A or B):
#   frag1 = first fragment atoms, frag2 = second fragment atoms
# Frame  Time(fs)  fragment1_A_nalpha  fragment1_A_nbeta  fragment1_A_spin  fragment2_A_nalpha  fragment2_A_nbeta  fragment2_A_spin  fragment1_B_nalpha  fragment1_B_nbeta  fragment1_B_spin  fragment2_B_nalpha  fragment2_B_nbeta  fragment2_B_spin
    0      0.00     50.95287044     50.00107366      0.95179678     51.04713165     50.99892700      0.04820464     51.04793356     51.00216989      0.04576367     50.95206475     49.99784293      0.95422183
    1      4.00     50.95854145     50.00101150      0.95752995     51.04145746     50.99900338      0.04245408     51.06497391     51.00228867      0.06268524     50.93502869     49.99771461      0.93731408
    2      8.00     50.95356445     50.00090757      0.95265688     51.04642930     50.99908819      0.04734110     51.06737186     51.00195545      0.06541641     50.93263026     49.99804985      0.93458041
    3     12.00     50.94319618     50.00106089      0.94213529     51.05682002     50.99895181      0.05786821     51.06174408     51.00187085      0.05987323     50.93825609     49.99812255      0.94013354
    4     16.00     50.94934692     50.00145125      0.94789566     51.05065292     50.99854798      0.05210494     51.05553204     51.00226284      0.05326920     50.94447842     49.99772860      0.94674982
    5     20.00     50.95818270     50.00143361      0.95674909     51.04181077     50.99856331      0.04324746     51.05480810     51.00211591      0.05269219     50.94519162     49.99788188      0.94730974
    6     24.00     50.96198938     50.00161982      0.96036957     51.03802030     50.99838174      0.03963857     51.05820100     51.00288254      0.05531846     50.94178748     49.99710119      0.94468629
    7     28.00     50.95727082     50.00173106      0.95553976     51.04272779     50.99826415      0.04446365     51.05504781     51.00355706      0.05149075     50.94495499     49.99644130      0.94851370
    8     32.00     50.94910730     50.00143151      0.94767579     51.05089554     50.99857514      0.05232040     51.04744279     51.00298780      0.04445499     50.95255260     49.99701675      0.95553585
    9     36.00     50.95774491     50.00200070      0.95574421     51.04225435     50.99799180      0.04426255     51.04311890     51.00359382      0.03952508     50.95687070     49.99639562      0.96047508
   10     40.00     50.96768438     50.00193334      0.96575105     51.03231540     50.99806018      0.03425522     51.05340594     51.00295568      0.05045026     50.94658534     49.99703694      0.94954840
   11     44.00     50.96963807     50.00182150      0.96781657     51.03036246     50.99818356      0.03217890     51.06263920     51.00270631      0.05993289     50.93735728     49.99728803      0.94006926
   12     48.00     50.96434935     50.00156228      0.96278707     51.03564948     50.99844621      0.03720327     51.06906468     51.00262152      0.06644315     50.93093074     49.99737745      0.93355329
   13     52.00     50.94858320     50.00121098      0.94737222     51.05142336     50.99879298      0.05263039     51.06298895     51.00232776      0.06066118     50.93700255     49.99765976      0.93934278
   14     56.00     50.94648946     50.00129206      0.94519740     51.05350954     50.99870408      0.05480546     51.05313378     51.00251941      0.05061437     50.94687057     49.99748471      0.94938586
   15     60.00     50.95015373     50.00137781      0.94877593     51.04984409     50.99862298      0.05122111     51.05295837     51.00239663      0.05056174     50.94704663     49.99759382      0.94945281
   16     64.00     50.95240698     50.00140583      0.95100115     51.04759340     50.99860067      0.04899273     51.05473408     51.00245617      0.05227791     50.94526514     49.99753894      0.94772620
   17     68.00     50.93926896     50.00126602      0.93800294     51.06073778     50.99871210      0.06202568     51.04519312     51.00259744      0.04259568     50.95480024     49.99740752      0.95739273
   18     72.00     50.92271890     50.00105745      0.92166145     51.07726912     50.99895041      0.07831871     51.03594662     51.00232470      0.03362192     50.96406794     49.99766667      0.96640127
   19     76.00     50.93106647     50.00127035      0.92979612     51.06893198     50.99872402      0.07020796     51.02636634     51.00285911      0.02350723     50.97363820     49.99714220      0.97649601
   20     80.00     50.94208805     50.00128860      0.94079945     51.05790653     50.99870485      0.05920168     51.02277804     51.00271236      0.02006569     50.97721501     49.99728969      0.97992532
   21     84.00     50.95105062     50.00134141      0.94970921     51.04895870     50.99865952      0.05029918     51.02690606     51.00271140      0.02419466     50.97309488     49.99728552      0.97580937
   22     88.00     50.95680183     50.00135622      0.95544561     51.04320811     50.99864586      0.04456225     51.03244339     51.00279322      0.02965018     50.96754898     49.99719846      0.97035051
   23     92.00     50.96016864     50.00118972      0.95897893     51.03983638     50.99881534      0.04102104     51.03091731     51.00231955      0.02859777     50.96907492     49.99768437      0.97139055
   24     96.00     50.95818660     50.00132246      0.95686414     51.04181576     50.99868635      0.04312941     51.02758353     51.00230471      0.02527882     50.97242110     49.99769857      0.97472253
