# Mulliken charges from constrained DFT calculations
# Qn|calcm = charge on fragment n when constraint applied to fragment m
# Frame      Time[fs]      Q1|calc1      Q2|calc1      Q1|calc2      Q2|calc2
    0         0.000     +0.999991     -0.999991     -1.000010     +1.000010
    1         4.000     +0.999989     -0.999989     -0.999968     +0.999968
    2         8.000     +1.000001     -1.000001     -0.999989     +0.999989
    3        12.000     +1.000091     -1.000091     -1.000035     +1.000035
    4        16.000     +0.999999     -0.999999     -1.000003     +1.000003
    5        20.000     +1.000004     -1.000004     -1.000014     +1.000014
    6        24.000     +1.000069     -1.000069     -1.000016     +1.000016
    7        28.000     +1.000038     -1.000038     -1.000010     +1.000010
    8        32.000     +0.999920     -0.999920     -1.000010     +1.000010
    9        36.000     +0.999990     -0.999990     -0.999991     +0.999991
   10        40.000     +1.000088     -1.000088     -1.000016     +1.000016
   11        44.000     +0.999965     -0.999965     -0.999983     +0.999983
   12        48.000     +1.000020     -1.000020     -1.000001     +1.000001
   13        52.000     +0.999959     -0.999959     -1.000027     +1.000027
   14        56.000     +0.999983     -0.999983     -1.000006     +1.000006
   15        60.000     +0.999910     -0.999910     -1.000010     +1.000010
   16        64.000     +0.999974     -0.999974     -1.000042     +1.000042
   17        68.000     +0.999925     -0.999925     -0.999945     +0.999945
   18        72.000     +1.000026     -1.000026     -0.999992     +0.999992
   19        76.000     +0.999911     -0.999911     -0.999987     +0.999987
   20        80.000     +1.000045     -1.000045     -1.000034     +1.000034
   21        84.000     +0.999964     -0.999964     -1.000033     +1.000033
   22        88.000     +1.000052     -1.000052     -1.000039     +1.000039
   23        92.000     +0.999989     -0.999989     -0.999993     +0.999993
   24        96.000     +1.000059     -1.000059     -1.000000     +1.000000
