# Frame  Time[fs]  Energy_fragment1[a.u.]  Energy_fragment2[a.u.]
    0         0.000      -85.5914557548      -85.6016301500
    1         4.000      -85.5861942481      -85.5963343889
    2         8.000      -85.5797302835      -85.5914786602
    3        12.000      -85.5805091773      -85.5942437473
    4        16.000      -85.5877968664      -85.6010557335
    5        20.000      -85.5827644388      -85.5943810256
    6        24.000      -85.5884896295      -85.5966995160
    7        28.000      -85.5971870696      -85.6039130467
    8        32.000      -85.5991376840      -85.6069574005
    9        36.000      -85.5983093917      -85.6066951377
   10        40.000      -85.6000569017      -85.6098291836
   11        44.000      -85.5974001540      -85.6072884116
   12        48.000      -85.5990874253      -85.6084457297
   13        52.000      -85.5969878565      -85.6066815472
   14        56.000      -85.5951360273      -85.6039728605
   15        60.000      -85.5971258278      -85.6056824751
   16        64.000      -85.5977110417      -85.6062575794
   17        68.000      -85.5922375179      -85.5999277192
   18        72.000      -85.5874537945      -85.5951858593
   19        76.000      -85.5887778890      -85.5952019177
   20        80.000      -85.5895670668      -85.5953185195
   21        84.000      -85.5955817423      -85.6023983901
   22        88.000      -85.6045017298      -85.6124399028
   23        92.000      -85.5937696448      -85.6022768400
   24        96.000      -85.5850123974      -85.5941368473
