# DFTB Trajectory Analysis (Closed-shell, Non-constrained)
# Frame  Time(fs)        Energy(a.u.)
    0         0.000      -85.6975121622
    1         4.000      -85.7053405491
    2         8.000      -85.7038678299
    3        12.000      -85.6896284592
    4        16.000      -85.6863169782
    5        20.000      -85.7001964770
    6        24.000      -85.6991932197
    7        28.000      -85.6952892666
    8        32.000      -85.6922282183
    9        36.000      -85.7003067899
   10        40.000      -85.7045601044
   11        44.000      -85.6923854977
   12        48.000      -85.6988803775
   13        52.000      -85.7093953135
   14        56.000      -85.6906298856
   15        60.000      -85.6936545648
   16        64.000      -85.7107283106
   17        68.000      -85.7061395354
   18        72.000      -85.6987957738
   19        76.000      -85.6931535509
   20        80.000      -85.7030384002
   21        84.000      -85.7051149728
   22        88.000      -85.6905619195
   23        92.000      -85.6966189084
   24        96.000      -85.7099727250
   25       100.000      -85.6940990685
   26       104.000      -85.6908528111
   27       108.000      -85.6889899028
   28       112.000      -85.6922886208
   29       116.000      -85.6977620236
   30       120.000      -85.6898098303
   31       124.000      -85.6928193414
   32       128.000      -85.7013562910
   33       132.000      -85.7045762890
   34       136.000      -85.7039725110
   35       140.000      -85.7062286828
   36       144.000      -85.7040150575
   37       148.000      -85.7063376185
   38       152.000      -85.7036824693
   39       156.000      -85.6986938259
   40       160.000      -85.6992730521
   41       164.000      -85.7016086706
   42       168.000      -85.6994880379
   43       172.000      -85.6974425593
   44       176.000      -85.6955450620
   45       180.000      -85.6910659196
   46       184.000      -85.6964336214
   47       188.000      -85.7083504235
   48       192.000      -85.7011317590
   49       196.000      -85.6942603440
   50       200.000      -85.6948969651
   51       204.000      -85.6947276868
   52       208.000      -85.6983562276
   53       212.000      -85.6931002774
   54       216.000      -85.6948882975
   55       220.000      -85.7130778377
   56       224.000      -85.7059806071
   57       228.000      -85.7021981540
   58       232.000      -85.6983111705
   59       236.000      -85.6994825543
   60       240.000      -85.6992837325
   61       244.000      -85.6976654941
   62       248.000      -85.7070962092
   63       252.000      -85.6943829787
   64       256.000      -85.6882155976
   65       260.000      -85.6990103352
   66       264.000      -85.6859876694
   67       268.000      -85.6854509919
   68       272.000      -85.6934820397
   69       276.000      -85.6972167361
   70       280.000      -85.7044219706
   71       284.000      -85.6958810349
   72       288.000      -85.6874698037
   73       292.000      -85.6939664509
   74       296.000      -85.7065075981
   75       300.000      -85.7139553784
   76       304.000      -85.7002423601
   77       308.000      -85.6993298596
   78       312.000      -85.7037268610
   79       316.000      -85.7016920219
   80       320.000      -85.7045859547
   81       324.000      -85.7038262935
   82       328.000      -85.7005317041
   83       332.000      -85.6958257887
   84       336.000      -85.6960550164
   85       340.000      -85.6920314701
   86       344.000      -85.6906041874
   87       348.000      -85.6931426080
   88       352.000      -85.6972781676
   89       356.000      -85.7109301374
   90       360.000      -85.7020184215
   91       364.000      -85.6969931401
   92       368.000      -85.7048360690
   93       372.000      -85.7026770494
   94       376.000      -85.6958227692
   95       380.000      -85.6878421314
   96       384.000      -85.6982050131
   97       388.000      -85.6965603717
   98       392.000      -85.6930096917
   99       396.000      -85.6989469017
  100       400.000      -85.6968766485
  101       404.000      -85.6967259349
  102       408.000      -85.6932875377
  103       412.000      -85.6943921004
  104       416.000      -85.7099312822
  105       420.000      -85.7065579003
  106       424.000      -85.6949419995
  107       428.000      -85.7069674219
  108       432.000      -85.7083214036
  109       436.000      -85.7002900032
  110       440.000      -85.7034348737
  111       444.000      -85.6949780830
  112       448.000      -85.6866780828
  113       452.000      -85.6900804003
  114       456.000      -85.6905509924
  115       460.000      -85.6869986270
  116       464.000      -85.6881872448
  117       468.000      -85.6991846581
  118       472.000      -85.6935635298
  119       476.000      -85.6927884276
  120       480.000      -85.6983245348
  121       484.000      -85.6930672705
  122       488.000      -85.7036814734
  123       492.000      -85.6961127995
  124       496.000      -85.7005857937
  125       500.000      -85.7133633163
  126       504.000      -85.6962835929
  127       508.000      -85.7015087024
  128       512.000      -85.6959911076
  129       516.000      -85.6888556364
  130       520.000      -85.6782136185
  131       524.000      -85.6742719057
  132       528.000      -85.6981323959
  133       532.000      -85.6905942673
  134       536.000      -85.6905054596
  135       540.000      -85.6943229722
  136       544.000      -85.6959016398
  137       548.000      -85.7092849722
  138       552.000      -85.7050477399
  139       556.000      -85.7107386353
  140       560.000      -85.7077888292
  141       564.000      -85.6933811720
  142       568.000      -85.7080010872
  143       572.000      -85.7028402744
  144       576.000      -85.6998012003
  145       580.000      -85.6971790358
  146       584.000      -85.6903753292
  147       588.000      -85.6880982792
  148       592.000      -85.6883112021
  149       596.000      -85.6857307215
  150       600.000      -85.6892287285
  151       604.000      -85.6965365644
  152       608.000      -85.7069333714
  153       612.000      -85.7177119556
  154       616.000      -85.6992324919
  155       620.000      -85.6898854817
  156       624.000      -85.7021751625
  157       628.000      -85.7017471230
  158       632.000      -85.7006104348
  159       636.000      -85.6971060341
  160       640.000      -85.6990534832
  161       644.000      -85.6969804127
  162       648.000      -85.6932086889
  163       652.000      -85.6957912403
  164       656.000      -85.6890460135
  165       660.000      -85.6978296254
  166       664.000      -85.6934768153
  167       668.000      -85.6913653455
  168       672.000      -85.6985987577
  169       676.000      -85.6887740946
  170       680.000      -85.6972185316
  171       684.000      -85.7006853109
  172       688.000      -85.7058593157
  173       692.000      -85.7054324034
  174       696.000      -85.6937072299
  175       700.000      -85.7090979079
  176       704.000      -85.6994444799
  177       708.000      -85.6998275329
  178       712.000      -85.7010255162
  179       716.000      -85.6937980085
  180       720.000      -85.7018799774
  181       724.000      -85.6908397240
  182       728.000      -85.6890462685
  183       732.000      -85.7001377226
  184       736.000      -85.7034713545
  185       740.000      -85.7098671840
  186       744.000      -85.7080497251
  187       748.000      -85.7064666687
  188       752.000      -85.6988313640
  189       756.000      -85.6943592940
  190       760.000      -85.6967183646
  191       764.000      -85.6988964255
  192       768.000      -85.7041449379
  193       772.000      -85.6986487024
  194       776.000      -85.6920201621
  195       780.000      -85.6861121778
  196       784.000      -85.6989896554
  197       788.000      -85.7048722596
  198       792.000      -85.6950040995
  199       796.000      -85.6884627866
  200       800.000      -85.6935036973
  201       804.000      -85.7015248444
  202       808.000      -85.7047221253
  203       812.000      -85.7067137117
  204       816.000      -85.6949352010
  205       820.000      -85.6995725301
  206       824.000      -85.6959540307
  207       828.000      -85.6966646817
  208       832.000      -85.7118434417
  209       836.000      -85.6967395874
  210       840.000      -85.6999628563
  211       844.000      -85.7132580175
  212       848.000      -85.7053023048
  213       852.000      -85.6928596615
  214       856.000      -85.6806198327
  215       860.000      -85.6899741070
  216       864.000      -85.6933768909
  217       868.000      -85.6955996507
  218       872.000      -85.7054233078
  219       876.000      -85.6975672826
  220       880.000      -85.6963044045
  221       884.000      -85.6943334755
  222       888.000      -85.6982322793
  223       892.000      -85.7036468513
  224       896.000      -85.7029050626
  225       900.000      -85.7080819652
  226       904.000      -85.7024131383
  227       908.000      -85.6927232137
  228       912.000      -85.6805996379
  229       916.000      -85.6970130600
  230       920.000      -85.7078894295
  231       924.000      -85.6962053524
  232       928.000      -85.7028517476
  233       932.000      -85.6975959989
  234       936.000      -85.6900507992
  235       940.000      -85.7001700495
  236       944.000      -85.7060945199
  237       948.000      -85.7044435815
  238       952.000      -85.6971739837
  239       956.000      -85.7027697894
  240       960.000      -85.7047996965
  241       964.000      -85.7000218206
  242       968.000      -85.6912182953
  243       972.000      -85.6979970514
  244       976.000      -85.7166720787
  245       980.000      -85.7073964798
  246       984.000      -85.6931729755
  247       988.000      -85.6992076158
  248       992.000      -85.7025100778
  249       996.000      -85.7061889117
