# DFTB Trajectory Analysis (Closed-shell, Non-constrained)
# Frame  Time(fs)        Energy(a.u.)
    0         0.000      -85.6975121622
    1         4.000      -85.7053405491
    2         8.000      -85.7038678298
    3        12.000      -85.6896283413
    4        16.000      -85.6863169782
    5        20.000      -85.7001964770
    6        24.000      -85.6991932197
    7        28.000      -85.6952892665
    8        32.000      -85.6922282185
    9        36.000      -85.7003067899
   10        40.000      -85.7045601046
   11        44.000      -85.6923854976
   12        48.000      -85.6988803776
   13        52.000      -85.7093953146
   14        56.000      -85.6906298871
   15        60.000      -85.6936545649
   16        64.000      -85.7107283095
   17        68.000      -85.7061395347
   18        72.000      -85.6987957732
   19        76.000      -85.6931535496
   20        80.000      -85.7030384511
   21        84.000      -85.7051149727
   22        88.000      -85.6905619192
   23        92.000      -85.6966189075
   24        96.000      -85.7099727248
