# DFTB Trajectory Analysis (Closed-shell, Non-constrained)
# Frame  Time(fs)        Electronic(a.u.)      Repulsive(a.u.)       Total(a.u.)           PointCharges(a.u.)
    0       100.000      -86.3175897934        0.8213155322      -85.4962742612       -0.0427586982
    1       104.000      -86.2497205020        0.7694574017      -85.4802631003       -0.0404585777
    2       108.000      -86.3546711747        0.8674556369      -85.4872155378       -0.0405272524
    3       112.000      -86.3082496580        0.8154163929      -85.4928332651       -0.0401732122
    4       116.000      -86.3102018960        0.8141649255      -85.4960369705       -0.0402239165
    5       120.000      -86.4132963336        0.9357229142      -85.4775734195       -0.0411039908
    6       124.000      -86.3417619591        0.8521207976      -85.4896411615       -0.0416185146
    7       128.000      -86.3905443404        0.8894128474      -85.5011314930       -0.0416166197
    8       132.000      -86.3653628282        0.8739206858      -85.4914421423       -0.0414196190
    9       136.000      -86.2272336695        0.7279395480      -85.4992941215       -0.0425714049
   10       140.000      -86.2779031851        0.7810947508      -85.4968084343       -0.0447148000
   11       144.000      -86.2280525008        0.7310507014      -85.4970017994       -0.0454738942
   12       148.000      -86.2380800366        0.7387692017      -85.4993108348       -0.0439504715
   13       152.000      -86.3632317611        0.8789014218      -85.4843303393       -0.0417225610
   14       156.000      -86.2607733731        0.7696642443      -85.4911091288       -0.0407425867
   15       160.000      -86.2697016911        0.7801875457      -85.4895141454       -0.0408224291
   16       164.000      -86.2956178276        0.8083874526      -85.4872303750       -0.0411068423
   17       168.000      -86.2006397695        0.7150741351      -85.4855656344       -0.0402752866
   18       172.000      -86.2788455634        0.8021685539      -85.4766770095       -0.0393931490
   19       176.000      -86.2313687608        0.7401210012      -85.4912477596       -0.0396517201
   20       180.000      -86.1737742638        0.6770961777      -85.4966780861       -0.0411360360
   21       184.000      -86.2855143934        0.7951085887      -85.4904058046       -0.0421180003
   22       188.000      -86.2428480165        0.7517190369      -85.4911289796       -0.0424959124
   23       192.000      -86.2991218923        0.8044410222      -85.4946808701       -0.0425809943
   24       196.000      -86.3541617431        0.8512094131      -85.5029523300       -0.0433880888
   25       200.000      -86.2476642329        0.7579907517      -85.4896734812       -0.0446497693
   26       204.000      -86.3253100257        0.8276753288      -85.4976346968       -0.0454496842
   27       208.000      -86.3280480276        0.8281968288      -85.4998511988       -0.0447737942
   28       212.000      -86.2984662305        0.8105633922      -85.4879028383       -0.0434153096
   29       216.000      -86.4094880604        0.9149825742      -85.4945054862       -0.0428626863
   30       220.000      -86.3110317976        0.8123883394      -85.4986434582       -0.0434532108
   31       224.000      -86.2896600627        0.8006609039      -85.4889991588       -0.0443023708
   32       228.000      -86.3557764649        0.8687193527      -85.4870571122       -0.0439170222
   33       232.000      -86.2780807420        0.7957401673      -85.4823405747       -0.0422060044
   34       236.000      -86.3564771810        0.8752279212      -85.4812492599       -0.0411313224
   35       240.000      -86.3581633926        0.8625718444      -85.4955915483       -0.0415343494
   36       244.000      -86.2892869790        0.7962977171      -85.4929892620       -0.0424308935
   37       248.000      -86.4159329266        0.9301041564      -85.4858287702       -0.0424382728
   38       252.000      -86.3869097775        0.8886350829      -85.4982746946       -0.0423780467
   39       256.000      -86.3479312472        0.8513436904      -85.4965875567       -0.0429634280
   40       260.000      -86.3431569680        0.8556876640      -85.4874693040       -0.0451509706
   41       264.000      -86.1780810651        0.6972380480      -85.4808430172       -0.0471189808
   42       268.000      -86.2287712704        0.7308093819      -85.4979618885       -0.0468286989
   43       272.000      -86.2989981118        0.7905830868      -85.5084150250       -0.0452635703
   44       276.000      -86.2523242043        0.7573290405      -85.4949951637       -0.0435166283
   45       280.000      -86.3284215774        0.8290880882      -85.4993334892       -0.0426724750
   46       284.000      -86.2584029011        0.7661506964      -85.4922522047       -0.0423670314
   47       288.000      -86.2267912172        0.7402164009      -85.4865748163       -0.0412019943
   48       292.000      -86.3174137590        0.8272955118      -85.4901182473       -0.0395678761
   49       296.000      -86.2449158713        0.7553773579      -85.4895385134       -0.0388379930
   50       300.000      -86.2460327576        0.7536347527      -85.4923980049       -0.0396104085
   51       304.000      -86.2282253921        0.7390192929      -85.4892060992       -0.0411703146
   52       308.000      -86.1623094864        0.6774876316      -85.4848218548       -0.0415345295
   53       312.000      -86.2927798774        0.7943706690      -85.4984092084       -0.0409352047
   54       316.000      -86.3210908836        0.8314503203      -85.4896405633       -0.0406758929
   55       320.000      -86.3044910397        0.8083261401      -85.4961648996       -0.0411086693
   56       324.000      -86.3441749681        0.8420528697      -85.5021220984       -0.0420226574
   57       328.000      -86.2551011047        0.7703132474      -85.4847878574       -0.0428091168
   58       332.000      -86.2896506797        0.7988456333      -85.4908050463       -0.0425996473
   59       336.000      -86.3623319424        0.8648600732      -85.4974718692       -0.0422974318
   60       340.000      -86.3341284611        0.8356674257      -85.4984610354       -0.0422587032
   61       344.000      -86.3820961571        0.8950581608      -85.4870379963       -0.0428273231
   62       348.000      -86.3441604014        0.8595283744      -85.4846320269       -0.0438182407
   63       352.000      -86.3205888026        0.8178397018      -85.5027491008       -0.0437628338
   64       356.000      -86.3890649175        0.8994042983      -85.4896606192       -0.0420751909
   65       360.000      -86.3372511701        0.8501451311      -85.4871060390       -0.0399942165
   66       364.000      -86.3235594020        0.8400941194      -85.4834652826       -0.0373221855
   67       368.000      -86.3400873126        0.8653833546      -85.4747039580       -0.0366592380
   68       372.000      -86.3175043461        0.8291282010      -85.4883761452       -0.0386711622
   69       376.000      -86.3939471489        0.8991678824      -85.4947792665       -0.0412627025
   70       380.000      -86.3929091972        0.8947382317      -85.4981709656       -0.0436973680
   71       384.000      -86.3211175238        0.8217086052      -85.4994089186       -0.0450907383
   72       388.000      -86.2915330402        0.8001701370      -85.4913629031       -0.0451955579
   73       392.000      -86.2298823408        0.7457667869      -85.4841155539       -0.0450172916
   74       396.000      -86.2373479856        0.7427755570      -85.4945724287       -0.0442806345
   75       400.000      -86.2900849784        0.7890223901      -85.5010625883       -0.0436043359
   76       404.000      -86.2773397231        0.7834624404      -85.4938772826       -0.0431984773
   77       408.000      -86.2908390180        0.8020645257      -85.4887744923       -0.0431078291
   78       412.000      -86.3041417287        0.7993181413      -85.5048235874       -0.0433668239
   79       416.000      -86.2846994240        0.7833906658      -85.5013087582       -0.0431938686
   80       420.000      -86.2792643800        0.7927814192      -85.4864829609       -0.0421121020
   81       424.000      -86.2497126612        0.7573283412      -85.4923843201       -0.0410586199
   82       428.000      -86.2125638973        0.7206027723      -85.4919611250       -0.0410122445
   83       432.000      -86.2281512577        0.7375338145      -85.4906174431       -0.0425808747
   84       436.000      -86.2565846326        0.7643470727      -85.4922375599       -0.0448136627
   85       440.000      -86.3141808497        0.8229364142      -85.4912444355       -0.0454831884
   86       444.000      -86.3621273347        0.8616011648      -85.5005261699       -0.0443683468
   87       448.000      -86.3365601460        0.8415648797      -85.4949952663       -0.0432307379
   88       452.000      -86.3310139908        0.8411354363      -85.4898785544       -0.0431444036
   89       456.000      -86.3379898290        0.8404472539      -85.4975425750       -0.0447369811
   90       460.000      -86.3340735064        0.8400524535      -85.4940210530       -0.0464556158
   91       464.000      -86.3799860689        0.8900160745      -85.4899699944       -0.0474003138
   92       468.000      -86.3850282682        0.8945699944      -85.4904582738       -0.0482522509
   93       472.000      -86.3483677102        0.8575500064      -85.4908177038       -0.0479452236
   94       476.000      -86.3403486955        0.8522958673      -85.4880528282       -0.0461888154
   95       480.000      -86.3267566760        0.8425251438      -85.4842315322       -0.0429841099
   96       484.000      -86.3329640026        0.8449063762      -85.4880576265       -0.0390903538
   97       488.000      -86.3507787815        0.8723433347      -85.4784354468       -0.0374086770
   98       492.000      -86.3590885822        0.8741012069      -85.4849873753       -0.0385006804
   99       496.000      -86.3878691281        0.8950784989      -85.4927906293       -0.0406705690
  100       500.000      -86.3804750132        0.9003079917      -85.4801670216       -0.0427454581
  101       504.000      -86.3324440860        0.8410308879      -85.4914131981       -0.0435021499
  102       508.000      -86.3062452151        0.8049604869      -85.5012847283       -0.0442136428
  103       512.000      -86.2756903063        0.7927731987      -85.4829171076       -0.0452623468
  104       516.000      -86.2447251720        0.7581557935      -85.4865693785       -0.0449578160
  105       520.000      -86.2397615330        0.7415306534      -85.4982308797       -0.0435739605
  106       524.000      -86.2311195799        0.7391803860      -85.4919391938       -0.0423073768
  107       528.000      -86.2412761129        0.7582533876      -85.4830227252       -0.0420508722
  108       532.000      -86.2795368916        0.7960187450      -85.4835181466       -0.0430727776
  109       536.000      -86.2941753395        0.8014990736      -85.4926762659       -0.0437185615
  110       540.000      -86.2752645276        0.7801005862      -85.4951639414       -0.0432326951
  111       544.000      -86.2420820655        0.7576374429      -85.4844446226       -0.0420349463
  112       548.000      -86.2032962805        0.7152386279      -85.4880576527       -0.0408162811
  113       552.000      -86.2088214128        0.7154905354      -85.4933308774       -0.0403362893
  114       556.000      -86.2490683811        0.7528298727      -85.4962385084       -0.0405507289
  115       560.000      -86.2664183374        0.7753950342      -85.4910233032       -0.0401799842
  116       564.000      -86.2823927701        0.7933788735      -85.4890138966       -0.0401702746
  117       568.000      -86.2833521791        0.7902732531      -85.4930789260       -0.0413332325
  118       572.000      -86.2759099346        0.7848535722      -85.4910563624       -0.0436556194
  119       576.000      -86.3031855981        0.8257443971      -85.4774412010       -0.0453465347
  120       580.000      -86.3341366747        0.8529433715      -85.4811933031       -0.0451891804
  121       584.000      -86.3446909091        0.8435621436      -85.5011287655       -0.0451311778
  122       588.000      -86.3419546646        0.8469837124      -85.4949709522       -0.0462740650
  123       592.000      -86.3309025502        0.8462024220      -85.4847001282       -0.0480945515
  124       596.000      -86.3542458995        0.8561125900      -85.4981333095       -0.0489281471
  125       600.000      -86.3989076402        0.9060312773      -85.4928763629       -0.0476091782
  126       604.000      -86.3856685446        0.8984131517      -85.4872553929       -0.0448596028
  127       608.000      -86.3413390416        0.8584714011      -85.4828676405       -0.0429262403
  128       612.000      -86.3178052511        0.8336047385      -85.4842005126       -0.0420217424
  129       616.000      -86.3140646989        0.8180623882      -85.4960023106       -0.0423073340
  130       620.000      -86.3530624886        0.8734000650      -85.4796624236       -0.0425978128
  131       624.000      -86.3732684645        0.8907105238      -85.4825579408       -0.0425347283
  132       628.000      -86.3250745572        0.8226569349      -85.5024176223       -0.0433727038
  133       632.000      -86.2990120736        0.8143667517      -85.4846453218       -0.0443521038
  134       636.000      -86.2721426790        0.7910831564      -85.4810595227       -0.0446074435
  135       640.000      -86.2574469005        0.7600584654      -85.4973884352       -0.0447402472
  136       644.000      -86.2633710780        0.7716938685      -85.4916772095       -0.0451723327
  137       648.000      -86.2034680973        0.7270511224      -85.4764169748       -0.0459287712
  138       652.000      -86.2131198390        0.7256088698      -85.4875109692       -0.0471548739
  139       656.000      -86.2741765978        0.7786301977      -85.4955464001       -0.0469969405
  140       660.000      -86.2763038115        0.7881816388      -85.4881221728       -0.0446260359
  141       664.000      -86.3194786895        0.8377030291      -85.4817756604       -0.0420238242
  142       668.000      -86.2822942996        0.7947888645      -85.4875054351       -0.0405773589
  143       672.000      -86.1890922668        0.7008545964      -85.4882376704       -0.0406679887
  144       676.000      -86.2098942834        0.7177859298      -85.4921083535       -0.0418127931
  145       680.000      -86.2311471159        0.7321480007      -85.4989991152       -0.0420121556
  146       684.000      -86.2872570771        0.8020993460      -85.4851577311       -0.0414834583
  147       688.000      -86.3565952283        0.8730890108      -85.4835062175       -0.0409429809
  148       692.000      -86.3145617690        0.8194917507      -85.4950700183       -0.0406400734
