# CDFTB-CI Results (Online Calculation)
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00       90.9386    -85.4917696313    -85.4821857105    0.260792
    1      4.00       89.5903    -85.5100846426    -85.5005010919    0.260782
    2      8.00      -87.8480    -85.5261609139    -85.5165328326    0.261993
    3     12.00       85.9805    -85.5347639116    -85.5250214791    0.265105
    4     16.00      -84.2237    -85.5360300918    -85.5261030917    0.270127
    5     20.00      -82.7755    -85.5337334026    -85.5235818969    0.276237
    6     24.00       81.8422    -85.5314178390    -85.5210463752    0.282222
    7     28.00       81.3789    -85.5296309127    -85.5190951866    0.286692
    8     32.00      -81.4346    -85.5267858393    -85.5161754953    0.288722
    9     36.00       81.9305    -85.5219622900    -85.5113745935    0.288106
