# CDFTB-CI Sub Values
# Frame  Time(fs)      E_A(Ha)      E_B(Ha)        H_AB(Ha)        J_direct(meV)        V_A(Ha)        V_B(Ha)      N_A      N_B        S_AB        S_AB_alpha      S_AB_beta        W_BA        W_BA_alpha      W_BA_beta        W_AB        W_AB_alpha      W_AB_beta
    0      0.00  -85.4838857295  -85.4907215639    8.3418373800       90.0734    0.1061581274    0.0573407786   101.0   101.0   -0.0975411188   -0.9919868333    0.0983290459   -9.8716741445   -4.9748396010   -4.8968345434   -9.9300416406   -4.9743885586   -4.9556530820
    1      4.00  -85.5021445273  -85.5090753081    8.2372994111       88.7595    0.1062014718    0.0571882017   101.0   101.0   -0.0962982145    0.9922451151   -0.0970508325   -9.7458646334   -4.9114416346   -4.8344229989   -9.8035264430   -4.9110091100   -4.8925173330
    2      8.00  -85.5180980603  -85.5252080560   -8.1142800230      -87.0578    0.1062945862    0.0568823087   101.0   101.0    0.0948424220    0.9925316733    0.0955560659    9.5984399835    4.8371856044    4.7612543791    9.6554046245    4.8367730644    4.8186315601
    3     12.00  -85.5264970027  -85.5338793327    8.0012368780       85.2286    0.1064516262    0.0563921392   101.0   101.0   -0.0935120681   -0.9928090517    0.0941893791   -9.4636009072   -4.7693290427   -4.6942718645   -9.5201578655   -4.7689325623   -4.7512253032
    4     16.00  -85.5274894728  -85.5352166504   -7.9193399845      -83.5022    0.1066825747    0.0557378065   101.0   101.0    0.0925540290    0.9929901917    0.0932073950    9.3663074932    4.7204643868    4.6458431065    9.4229439962    4.7200767551    4.7028672411
    5     20.00  -85.5248918775  -85.5329837956   -7.8809045393      -82.0732    0.1069567009    0.0549946487   101.0   101.0    0.0921078714   -0.9931099876   -0.0927468986    9.3206980900    4.6977103993    4.6229876907    9.3779588844    4.6973227720    4.6806361123
    6     24.00  -85.5223034173  -85.5307162015    7.8998224911       81.1445    0.1072532151    0.0542431014   101.0   101.0   -0.0923320793    0.9931445498   -0.0929694266   -9.3428128738   -4.7091500894   -4.6336627844   -9.4013365959   -4.7087530444   -4.6925835515
    7     28.00  -85.5203233025  -85.5289590273    7.9564037714       80.6751    0.1075739606    0.0536035684   101.0   101.0   -0.0929958771   -0.9930870658    0.0936432265   -9.4093706434   -4.7430130129   -4.6663576305   -9.4695124252   -4.7425988335   -4.7269135917
    8     32.00  -85.5174010783  -85.5261232403   -8.0471956128      -80.7141    0.1078648786    0.0531334244   101.0   101.0    0.0940606136    0.9930014582    0.0947235402    9.5165107967    4.7973275202    4.7191832765    9.5785020018    4.7968892934    4.7816127085
    9     36.00  -85.5126210791  -85.5212898882    8.1557091587       81.1858    0.1081269937    0.0528693917   101.0   101.0   -0.0953346104    0.9928903965   -0.0960172550   -9.6448952004   -4.8623162288   -4.7825789716   -9.7087332353   -4.8618504178   -4.8468828175
