# Mulliken charges from constrained DFT calculations
# Qn|calcm = charge on fragment n when constraint applied to fragment m
# Frame      Time[fs]      Q1|calc1      Q2|calc1      Q1|calc2      Q2|calc2
    0         0.000     +0.999905     +0.000095     -0.000081     +1.000081
    1         4.000     +0.999904     +0.000096     -0.000078     +1.000078
    2         8.000     +0.999908     +0.000092     -0.000079     +1.000079
    3        12.000     +0.999911     +0.000089     -0.000082     +1.000082
    4        16.000     +0.999922     +0.000078     -0.000085     +1.000085
    5        20.000     +0.999921     +0.000079     -0.000088     +1.000088
    6        24.000     +0.999911     +0.000089     -0.000072     +1.000072
    7        28.000     +0.999924     +0.000076     -0.000067     +1.000067
    8        32.000     +0.999917     +0.000083     -0.000069     +1.000069
    9        36.000     +0.999907     +0.000093     -0.000077     +1.000077
