# Frame  Time[fs]  Energy_fragment1[a.u.]  Energy_fragment2[a.u.]
    0         0.000      -85.4838857295      -85.4907215639
    1         4.000      -85.5021445273      -85.5090753081
    2         8.000      -85.5180980603      -85.5252080560
    3        12.000      -85.5264970027      -85.5338793327
    4        16.000      -85.5274894728      -85.5352166504
    5        20.000      -85.5248918775      -85.5329837956
    6        24.000      -85.5223034173      -85.5307162015
    7        28.000      -85.5203233025      -85.5289590273
    8        32.000      -85.5174010783      -85.5261232403
    9        36.000      -85.5126210791      -85.5212898882
