# Spin Populations from CDFTB Calculations
# Spin density = N_α - N_β on each fragment
# For each constraint state (A or B):
#   frag1 = first fragment atoms, frag2 = second fragment atoms
# Frame  Time(fs)  fragment1_A_nalpha  fragment1_A_nbeta  fragment1_A_spin  fragment2_A_nalpha  fragment2_A_nbeta  fragment2_A_spin  fragment1_B_nalpha  fragment1_B_nbeta  fragment1_B_spin  fragment2_B_nalpha  fragment2_B_nbeta  fragment2_B_spin
    0      0.00     50.99768188     50.00240064      0.99528124     51.00231830     50.99758786      0.00473044     51.00351700     50.99656222      0.00695478     50.99647990     50.00343500      0.99304490
    1      4.00     50.99773855     50.00236550      0.99537306     51.00226641     50.99762691      0.00463950     51.00342323     50.99665755      0.00676568     50.99658003     50.00335137      0.99322866
    2      8.00     50.99777385     50.00231328      0.99546057     51.00222237     50.99767384      0.00454853     51.00331199     50.99675408      0.00655791     50.99669039     50.00323168      0.99345871
    3     12.00     50.99780484     50.00229285      0.99551200     51.00220608     50.99771327      0.00449282     51.00323617     50.99684720      0.00638898     50.99677242     50.00315697      0.99361546
    4     16.00     50.99779772     50.00228780      0.99550992     51.00220101     50.99771285      0.00448816     51.00317708     50.99690565      0.00627143     50.99681585     50.00309327      0.99372258
    5     20.00     50.99777949     50.00229695      0.99548254     51.00222677     50.99769888      0.00452789     51.00317068     50.99690997      0.00626071     50.99683060     50.00309650      0.99373410
    6     24.00     50.99774087     50.00233730      0.99540357     51.00226390     50.99765267      0.00461123     51.00321825     50.99685038      0.00636788     50.99679481     50.00313124      0.99366357
    7     28.00     50.99767516     50.00240813      0.99526703     51.00233520     50.99759058      0.00474462     51.00329036     50.99676530      0.00652507     50.99670542     50.00322876      0.99347666
    8     32.00     50.99758980     50.00248598      0.99510382     51.00240855     50.99751738      0.00489117     51.00343015     50.99665107      0.00677908     50.99658813     50.00335666      0.99323147
    9     36.00     50.99752680     50.00256017      0.99496663     51.00248084     50.99743023      0.00505061     51.00356180     50.99651599      0.00704581     50.99645387     50.00348505      0.99296881
