# call_index  Electronic(H)         Repulsive(H)          Total(H)
       0        -86.5098378762          0.8248933857        -85.6849444905
       1        -86.5045414302          0.8151635020        -85.6893779282
       2        -86.4918775075          0.7953547313        -85.6965227762
       3        -86.4782582718          0.7788284123        -85.6994298595
       4        -86.4688776870          0.7713658643        -85.6975118227
       5        -86.4667362372          0.7712589217        -85.6954773155
       6        -86.4726713857          0.7750212047        -85.6976501810
       7        -86.4859336973          0.7828702964        -85.7030634009
       8        -86.5046435414          0.7993030249        -85.7053405165
       9        -86.5242121759          0.8227739009        -85.7014382750
      10        -86.5376464356          0.8414253343        -85.6962211012
      11        -86.5388561455          0.8416068255        -85.6972493199
      12        -86.5273495999          0.8234821498        -85.7038674501
      13        -86.5082809866          0.8004550394        -85.7078259471
      14        -86.4881051204          0.7839414063        -85.7041637141
      15        -86.4717965138          0.7759561988        -85.6958403150
      16        -86.4624800621          0.7728518872        -85.6896281749
      17        -86.4615982929          0.7720902417        -85.6895080512
      18        -86.4694430517          0.7770041899        -85.6924388618
      19        -86.4846892446          0.7929981963        -85.6916910482
      20        -86.5027033868          0.8163864871        -85.6863168996
      21        -86.5167277778          0.8337894388        -85.6829383390
      22        -86.5219268203          0.8342382253        -85.6876885951
      23        -86.5194338206          0.8231692193        -85.6962646013
      24        -86.5144472717          0.8142511568        -85.7001961149
      25        -86.5120046662          0.8150328022        -85.6969718640
      26        -86.5150255094          0.8230024427        -85.6920230667
      27        -86.5243631244          0.8321616915        -85.6922014329
      28        -86.5394409986          0.8402470609        -85.6991939377
      29        -86.5590377365          0.8525370584        -85.7065006781
      30        -86.5801778678          0.8735456350        -85.7066322328
      31        -86.5968666674          0.8966518484        -85.7002148190
      32        -86.6020460513          0.9067555622        -85.6952904892
      33        -86.5922508292          0.8950520743        -85.6971987549
      34        -86.5705927677          0.8696402270        -85.7009525408
      35        -86.5435584373          0.8441007186        -85.6994577187
      36        -86.5171047132          0.8248749686        -85.6922297446
      37        -86.4952096529          0.8095087347        -85.6857009182
      38        -86.4801318101          0.7938503973        -85.6862814128
      39        -86.4732952017          0.7796642976        -85.6936309041
      40        -86.4751423671          0.7748372918        -85.7003050754
      41        -86.4832369272          0.7825817938        -85.7006551334
      42        -86.4918522283          0.7946379652        -85.6972142631
      43        -86.4943219666          0.7964426696        -85.6978792970
      44        -86.4881666453          0.7836067618        -85.7045598835
      45        -86.4767348863          0.7668709559        -85.7098639305
      46        -86.4653547302          0.7578475933        -85.7075071369
      47        -86.4582397256          0.7590415091        -85.6991982165
      48        -86.4576658786          0.7652794920        -85.6923863866
      49        -86.4645246602          0.7718777161        -85.6926469442
      50        -86.4789891278          0.7809656674        -85.6980234604
      51        -86.4998022745          0.7984888773        -85.7013133972
      52        -86.5226836109          0.8238022714        -85.6988813395
      53        -86.5408060005          0.8457290358        -85.6950769647
      54        -86.5478311071          0.8504685056        -85.6973626015
      55        -86.5429108727          0.8379615781        -85.7049492946
      56        -86.5307143686          0.8213202826        -85.7093940860
      57        -86.5170260268          0.8114865320        -85.7055394948
      58        -86.5061455127          0.8095293650        -85.6966161478
      59        -86.5004962811          0.8102846482        -85.6902116330
      60        -86.5013780901          0.8107487021        -85.6906293881
      61        -86.5094157708          0.8144972451        -85.6949185257
      62        -86.5235892606          0.8267459950        -85.6968432656
      63        -86.5400199210          0.8453500056        -85.6946699154
      64        -86.5527376493          0.8590842511        -85.6936533982
      65        -86.5568822105          0.8573182743        -85.6995639362
      66        -86.5527723041          0.8436478759        -85.7091244282
      67        -86.5447689643          0.8307715425        -85.7139974218
      68        -86.5373228447          0.8265937440        -85.7107291007
      69        -86.5328975942          0.8289603375        -85.7039372567
      70        -86.5321157637          0.8315146154        -85.7006011483
      71        -86.5349081086          0.8320753191        -85.7028327894
      72        -86.5407021453          0.8345627022        -85.7061394431
      73        -86.5475371630          0.8425532230        -85.7049839399
      74        -86.5514098422          0.8518906031        -85.6995192391
      75        -86.5471904457          0.8511387880        -85.6960516577
      76        -86.5323788724          0.8335829081        -85.6987959644
      77        -86.5095010491          0.8057710708        -85.7037299783
      78        -86.4838067132          0.7795024336        -85.7043042795
      79        -86.4603509806          0.7612909400        -85.6990600406
      80        -86.4424653568          0.7493120155        -85.6931533413
      81        -86.4320151099          0.7395783765        -85.6924367334
      82        -86.4301698782          0.7329935896        -85.6971762886
      83        -86.4366593000          0.7343865313        -85.7022727687
      84        -86.4487487576          0.7457093227        -85.7030394349
      85        -86.4612673563          0.7609302778        -85.7003370786
      86        -86.4684261197          0.7689410305        -85.6994850892
      87        -86.4677599498          0.7652645076        -85.7024954422
      88        -86.4615915265          0.7564764183        -85.7051151082
      89        -86.4544891130          0.7517385671        -85.7027505460
      90        -86.4505852663          0.7545014960        -85.6960837703
      91        -86.4521452067          0.7615549258        -85.6905902809
      92        -86.4600891498          0.7695266233        -85.6905625265
      93        -86.4744669647          0.7798464833        -85.6946204814
      94        -86.4935418883          0.7955399198        -85.6980019685
      95        -86.5132437449          0.8154737830        -85.6977699619
      96        -86.5275788128          0.8309597099        -85.6966191029
      97        -86.5312947905          0.8316060385        -85.6996887520
      98        -86.5236584189          0.8169808895        -85.7066775294
      99        -86.5086747862          0.7969993816        -85.7116754046
