# call_index  time[fs]  energy[a.u.]
       4         0.000  -85.6975118227
       8         4.000  -85.7053405165
      12         8.000  -85.7038674501
      16        12.000  -85.6896281749
      20        16.000  -85.6863168996
      24        20.000  -85.7001961149
      28        24.000  -85.6991939377
      32        28.000  -85.6952904892
      36        32.000  -85.6922297446
      40        36.000  -85.7003050754
      44        40.000  -85.7045598835
      48        44.000  -85.6923863866
      52        48.000  -85.6988813395
      56        52.000  -85.7093940860
      60        56.000  -85.6906293881
      64        60.000  -85.6936533982
      68        64.000  -85.7107291007
      72        68.000  -85.7061394431
      76        72.000  -85.6987959644
      80        76.000  -85.6931533413
      84        80.000  -85.7030394349
      88        84.000  -85.7051151082
      92        88.000  -85.6905625265
      96        92.000  -85.6966191029
