# call_index  Electronic(H)         Repulsive(H)          Total(H)
       0        -86.5098378762          0.8248933857        -85.6849444905
       1        -86.5045414301          0.8151635019        -85.6893779282
       2        -86.4918775074          0.7953547312        -85.6965227762
       3        -86.4782582716          0.7788284121        -85.6994298596
       4        -86.4688776869          0.7713658641        -85.6975118228
       5        -86.4667362370          0.7712589215        -85.6954773155
       6        -86.4726713855          0.7750212045        -85.6976501810
       7        -86.4859336974          0.7828702965        -85.7030634009
       8        -86.5046435414          0.7993030249        -85.7053405165
       9        -86.5242121757          0.8227739006        -85.7014382751
      10        -86.5376464354          0.8414253340        -85.6962211014
      11        -86.5388561455          0.8416068255        -85.6972493201
      12        -86.5273496001          0.8234821499        -85.7038674501
      13        -86.5082809869          0.8004550396        -85.7078259472
      14        -86.4881051206          0.7839414063        -85.7041637143
      15        -86.4717965141          0.7759561988        -85.6958403153
      16        -86.4624800625          0.7728518873        -85.6896281752
      17        -86.4615982934          0.7720902419        -85.6895080515
      18        -86.4694430521          0.7770041900        -85.6924388621
      19        -86.4846892450          0.7929981964        -85.6916910486
      20        -86.5027033872          0.8163864872        -85.6863169000
      21        -86.5167277784          0.8337894390        -85.6829383394
      22        -86.5219268200          0.8342382246        -85.6876885954
      23        -86.5194338199          0.8231692186        -85.6962646014
      24        -86.5144472710          0.8142511563        -85.7001961147
      25        -86.5120046658          0.8150328019        -85.6969718639
      26        -86.5150255093          0.8230024427        -85.6920230666
      27        -86.5243631247          0.8321616920        -85.6922014328
      28        -86.5394409993          0.8402470618        -85.6991939374
      29        -86.5590377373          0.8525370596        -85.7065006777
      30        -86.5801778683          0.8735456360        -85.7066322323
      31        -86.5968666674          0.8966518487        -85.7002148187
      32        -86.6020460507          0.9067555615        -85.6952904891
      33        -86.5922508281          0.8950520731        -85.6971987549
      34        -86.5705927667          0.8696402259        -85.7009525407
      35        -86.5435584329          0.8441007145        -85.6994577185
      36        -86.5171047063          0.8248749603        -85.6922297460
      37        -86.4952096498          0.8095087285        -85.6857009214
