# call_index  time[fs]  energy[a.u.]
       4         0.000  -85.7006144966
       8         4.000  -85.7079960119
      12         8.000  -85.7137666018
      16        12.000  -85.7157129346
      20        16.000  -85.6951208131
      24        20.000  -85.7068670611
      28        24.000  -85.7184532429
      32        28.000  -85.7089341094
      36        32.000  -85.7160246643
      40        36.000  -85.7120483095
      44        40.000  -85.7128050370
      48        44.000  -85.7169272484
      52        48.000  -85.7027618852
      56        52.000  -85.7095627330
      60        56.000  -85.7065393203
      64        60.000  -85.7040727372
      68        64.000  -85.7038874063
      72        68.000  -85.6960084175
      76        72.000  -85.7107542226
      80        76.000  -85.7147831321
      84        80.000  -85.7074792357
      88        84.000  -85.7090560886
      92        88.000  -85.7131679313
      96        92.000  -85.7211425140
     100        96.000  -85.7064269104
     104       100.000  -85.7128670780
     108       104.000  -85.7160962610
     112       108.000  -85.7064067222
     116       112.000  -85.7135535294
     120       116.000  -85.7168780798
     124       120.000  -85.7065127349
     128       124.000  -85.7056402362
     132       128.000  -85.7043600529
     136       132.000  -85.7046467762
     140       136.000  -85.7172188908
     144       140.000  -85.7119235667
     148       144.000  -85.7028235523
     152       148.000  -85.7162119487
     156       152.000  -85.7158874422
     160       156.000  -85.7064048675
     164       160.000  -85.6989550680
     168       164.000  -85.7156637968
     172       168.000  -85.7272158352
     176       172.000  -85.7148461858
     180       176.000  -85.7179369875
     184       180.000  -85.7099427062
     188       184.000  -85.7045272066
     192       188.000  -85.7096537214
     196       192.000  -85.7108635161
     200       196.000  -85.7134656013
     204       200.000  -85.7095191516
     208       204.000  -85.7045285509
     212       208.000  -85.7176177744
     216       212.000  -85.7086490520
     220       216.000  -85.7138025305
     224       220.000  -85.7176860341
     228       224.000  -85.6999651994
     232       228.000  -85.7066568524
     236       232.000  -85.7140428722
     240       236.000  -85.7149235782
     244       240.000  -85.7026526183
     248       244.000  -85.7004688401
     252       248.000  -85.7193184379
     256       252.000  -85.7077252369
     260       256.000  -85.7069310325
     264       260.000  -85.7034883935
     268       264.000  -85.6941732226
     272       268.000  -85.7074297987
     276       272.000  -85.7127227422
     280       276.000  -85.7152786450
     284       280.000  -85.7154618989
     288       284.000  -85.7063076537
     292       288.000  -85.6993959402
     296       292.000  -85.7107377390
     300       296.000  -85.7180047845
     304       300.000  -85.7107902051
     308       304.000  -85.7041907073
     312       308.000  -85.7192889863
     316       312.000  -85.7167773750
     320       316.000  -85.7043597106
     324       320.000  -85.7129277600
     328       324.000  -85.7129672103
     332       328.000  -85.7094266083
     336       332.000  -85.7085972333
     340       336.000  -85.7070888729
     344       340.000  -85.7175992445
     348       344.000  -85.7135762613
     352       348.000  -85.7082180013
     356       352.000  -85.7143330284
     360       356.000  -85.7096072110
     364       360.000  -85.7048549929
     368       364.000  -85.7046636704
     372       368.000  -85.7045894238
     376       372.000  -85.7033813512
     380       376.000  -85.7028380188
     384       380.000  -85.7097116668
     388       384.000  -85.7013674923
     392       388.000  -85.7064288981
     396       392.000  -85.7114641000
     400       396.000  -85.6970775333
     404       400.000  -85.7075926222
     408       404.000  -85.7176048848
     412       408.000  -85.6997755259
     416       412.000  -85.7040011542
     420       416.000  -85.7161368468
     424       420.000  -85.7092997132
     428       424.000  -85.6988587273
     432       428.000  -85.6979457247
     436       432.000  -85.7071126949
     440       436.000  -85.7118092582
     444       440.000  -85.7038912127
     448       444.000  -85.7086520317
     452       448.000  -85.7134238917
     456       452.000  -85.7156037600
     460       456.000  -85.7097437144
     464       460.000  -85.7070567401
     468       464.000  -85.7105712610
     472       468.000  -85.7081409126
     476       472.000  -85.6947028625
     480       476.000  -85.6991585732
     484       480.000  -85.7181948374
     488       484.000  -85.7089156455
     492       488.000  -85.6957434565
     496       492.000  -85.7086130455
     500       496.000  -85.7059759007
     504       500.000  -85.7041523156
     508       504.000  -85.7009271008
     512       508.000  -85.7016170701
     516       512.000  -85.7133139106
     520       516.000  -85.6974459834
     524       520.000  -85.7004626665
     528       524.000  -85.7191673406
     532       528.000  -85.6994677971
     536       532.000  -85.6950739047
     540       536.000  -85.7116572339
     544       540.000  -85.7062108005
     548       544.000  -85.6902720304
     552       548.000  -85.6999793459
     556       552.000  -85.7075651228
     560       556.000  -85.7029538372
     564       560.000  -85.6999934384
     568       564.000  -85.7063444818
     572       568.000  -85.7058453046
     576       572.000  -85.7077028557
     580       576.000  -85.7138971155
     584       580.000  -85.7016916816
     588       584.000  -85.7016776547
     592       588.000  -85.7140136911
     596       592.000  -85.7048864927
     600       596.000  -85.6936318853
     604       600.000  -85.7010889943
     608       604.000  -85.7005227541
     612       608.000  -85.6932893225
     616       612.000  -85.6934814335
     620       616.000  -85.6967686694
     624       620.000  -85.7093415729
     628       624.000  -85.7065980286
     632       628.000  -85.6983339425
     636       632.000  -85.6983217781
     640       636.000  -85.7023527492
     644       640.000  -85.7019147910
     648       644.000  -85.7057777055
     652       648.000  -85.7082695923
     656       652.000  -85.6989982553
     660       656.000  -85.6891745546
     664       660.000  -85.7036250312
     668       664.000  -85.7206162973
     672       668.000  -85.7110128322
     676       672.000  -85.6949510661
     680       676.000  -85.6983314095
     684       680.000  -85.7095351946
     688       684.000  -85.7023630906
     692       688.000  -85.6963529406
     696       692.000  -85.7044035259
     700       696.000  -85.7204715855
     704       700.000  -85.7036994058
     708       704.000  -85.6903058765
     712       708.000  -85.7180232523
     716       712.000  -85.7099817433
     720       716.000  -85.6987787656
     724       720.000  -85.7039458932
     728       724.000  -85.6970928856
     732       728.000  -85.7084361958
     736       732.000  -85.7198838100
     740       736.000  -85.7100524806
     744       740.000  -85.7027944701
     748       744.000  -85.7067749562
     752       748.000  -85.7087677012
     756       752.000  -85.7053479460
     760       756.000  -85.7098149210
     764       760.000  -85.7140920115
     768       764.000  -85.7056424417
     772       768.000  -85.7061011542
     776       772.000  -85.7207000461
     780       776.000  -85.7209808310
     784       780.000  -85.7029026700
     788       784.000  -85.7132695585
     792       788.000  -85.7133289893
     796       792.000  -85.7018886574
     800       796.000  -85.7106140405
     804       800.000  -85.7088315242
     808       804.000  -85.7171433442
     812       808.000  -85.7162417952
     816       812.000  -85.7098781311
     820       816.000  -85.7111991734
     824       820.000  -85.7067029066
     828       824.000  -85.7126271502
     832       828.000  -85.7173055583
     836       832.000  -85.7045302305
     840       836.000  -85.7066408841
     844       840.000  -85.7152838804
     848       844.000  -85.7148255232
     852       848.000  -85.7095453796
     856       852.000  -85.7108231485
     860       856.000  -85.7118476791
     864       860.000  -85.6965966092
     868       864.000  -85.6908650623
     872       868.000  -85.7069430440
     876       872.000  -85.7158828376
     880       876.000  -85.7094391312
     884       880.000  -85.7064755919
     888       884.000  -85.7024827948
     892       888.000  -85.7123437806
     896       892.000  -85.7148649097
     900       896.000  -85.7008791239
     904       900.000  -85.7024917419
     908       904.000  -85.7087268519
     912       908.000  -85.7112471281
     916       912.000  -85.7155977897
     920       916.000  -85.7126143532
     924       920.000  -85.7140609341
     928       924.000  -85.7018074341
     932       928.000  -85.7028834310
     936       932.000  -85.7191311351
     940       936.000  -85.7122578048
     944       940.000  -85.7035379798
     948       944.000  -85.7059037586
     952       948.000  -85.7063622542
     956       952.000  -85.7167409234
     960       956.000  -85.7132383394
     964       960.000  -85.7036804071
     968       964.000  -85.7049744277
     972       968.000  -85.7076783911
     976       972.000  -85.7081871105
     980       976.000  -85.7139125939
     984       980.000  -85.7156666945
     988       984.000  -85.7161946736
     992       988.000  -85.7087017469
     996       992.000  -85.7018253645
    1000       996.000  -85.7144554053
    1004      1000.000  -85.7178180129
    1008      1004.000  -85.7060925178
    1012      1008.000  -85.7063065300
    1016      1012.000  -85.7161458293
    1020      1016.000  -85.7115243348
    1024      1020.000  -85.7088144275
    1028      1024.000  -85.7097473615
    1032      1028.000  -85.7037945114
    1036      1032.000  -85.7087808690
    1040      1036.000  -85.7073765123
    1044      1040.000  -85.7110531429
    1048      1044.000  -85.7170126252
    1052      1048.000  -85.7076218648
    1056      1052.000  -85.7140292744
    1060      1056.000  -85.7088330316
    1064      1060.000  -85.7076355171
    1068      1064.000  -85.7121544782
    1072      1068.000  -85.7060007082
    1076      1072.000  -85.7111555216
    1080      1076.000  -85.7114292015
    1084      1080.000  -85.7061516393
    1088      1084.000  -85.7101083122
    1092      1088.000  -85.7167700960
    1096      1092.000  -85.7197281444
    1100      1096.000  -85.6990174261
    1104      1100.000  -85.6963063761
    1108      1104.000  -85.7145778640
    1112      1108.000  -85.7132397651
    1116      1112.000  -85.7035440761
    1120      1116.000  -85.7122578418
    1124      1120.000  -85.7111385666
    1128      1124.000  -85.7086854977
    1132      1128.000  -85.7129001319
    1136      1132.000  -85.7109676358
    1140      1136.000  -85.7178529058
    1144      1140.000  -85.7044324863
    1148      1144.000  -85.7051450438
    1152      1148.000  -85.7233067649
    1156      1152.000  -85.7109961289
