# call_index  Electronic(H)         Repulsive(H)          Total(H)
       0        -86.5410870430          0.8432994778        -85.6977875652
       1        -86.5335529468          0.8349600157        -85.6985929310
       2        -86.5325681615          0.8361499744        -85.6964181872
       3        -86.5350799321          0.8429615985        -85.6921183336
       4        -86.5354997852          0.8465168371        -85.6889829480
       5        -86.5287282910          0.8400097010        -85.6887185900
       6        -86.5120479142          0.8219268643        -85.6901210498
       7        -86.4865375686          0.7962979002        -85.6902396683
       8        -86.4566902613          0.7694627055        -85.6872275558
       9        -86.4283054823          0.7449889203        -85.6833165620
      10        -86.4069582977          0.7244837518        -85.6824745459
      11        -86.3969893182          0.7112687116        -85.6857206066
      12        -86.4004137561          0.7106719548        -85.6897418013
      13        -86.4156589310          0.7248131985        -85.6908457326
      14        -86.4371981453          0.7478623787        -85.6893357666
      15        -86.4575175805          0.7687802654        -85.6887373150
      16        -86.4705470909          0.7797933878        -85.6907537032
      17        -86.4737896239          0.7807756302        -85.6930139937
      18        -86.4690559749          0.7779337755        -85.6911221994
      19        -86.4604717435          0.7758687494        -85.6846029941
      20        -86.4524650320          0.7738622239        -85.6786028081
      21        -86.4490191332          0.7704050410        -85.6786140922
      22        -86.4529864451          0.7681951168        -85.6847913283
      23        -86.4650965038          0.7731256542        -85.6919708496
      24        -86.4826336362          0.7870791616        -85.6955544746
      25        -86.4994487257          0.8031126765        -85.6963360492
      26        -86.5085661227          0.8099427465        -85.6986233762
      27        -86.5056162136          0.8013097192        -85.7043064944
      28        -86.4909395008          0.7807509429        -85.7101885579
      29        -86.4692486755          0.7583002636        -85.7109484119
      30        -86.4464799846          0.7402003495        -85.7062796351
      31        -86.4280701403          0.7268617477        -85.7012083926
      32        -86.4183873586          0.7179031003        -85.7004842583
      33        -86.4201739221          0.7167647107        -85.7034092113
      34        -86.4334511782          0.7283788855        -85.7050722927
      35        -86.4543647411          0.7519666999        -85.7023980412
      36        -86.4756020248          0.7775519775        -85.6980500473
      37        -86.4897348147          0.7929294170        -85.6968053977
      38        -86.4926526621          0.7930175451        -85.6996351170
      39        -86.4854834053          0.7834618364        -85.7020215688
      40        -86.4731427963          0.7739590520        -85.6991837443
      41        -86.4607975230          0.7678439666        -85.6929535564
      42        -86.4527406923          0.7633884701        -85.6893522223
      43        -86.4523074021          0.7606324881        -85.6916749140
      44        -86.4614373527          0.7646352953        -85.6968020574
      45        -86.4793887305          0.7804248151        -85.6989639154
      46        -86.5016437248          0.8049866080        -85.6966571168
      47        -86.5207997413          0.8258946201        -85.6949051212
      48        -86.5303338661          0.8314079681        -85.6989258980
      49        -86.5281218432          0.8205135928        -85.7076082504
      50        -86.5175205030          0.8038844621        -85.7136360409
      51        -86.5041292555          0.7913732641        -85.7127559914
      52        -86.4925197592          0.7838959190        -85.7086238402
      53        -86.4860264553          0.7786686294        -85.7073578260
      54        -86.4869727234          0.7768344959        -85.7101382275
      55        -86.4962877610          0.7844762449        -85.7118115160
      56        -86.5122847488          0.8054018384        -85.7068829104
      57        -86.5298976117          0.8335919436        -85.6963056681
      58        -86.5421459724          0.8546449344        -85.6875010380
      59        -86.5439163391          0.8577053335        -85.6862110056
      60        -86.5350476214          0.8450986086        -85.6899490128
      61        -86.5201107762          0.8295201001        -85.6905906761
      62        -86.5044712973          0.8189765150        -85.6854947823
      63        -86.4920537868          0.8119049529        -85.6801488339
      64        -86.4856001795          0.8046601361        -85.6809400434
