# call_index  Electronic(H)         Repulsive(H)          Total(H)
       4        -86.4688776869          0.7713658641        -85.6975118228
       8        -86.5046435414          0.7993030249        -85.7053405165
      12        -86.5273496001          0.8234821499        -85.7038674501
      16        -86.4624800625          0.7728518873        -85.6896281752
      20        -86.5027033872          0.8163864872        -85.6863169000
      24        -86.5144472710          0.8142511563        -85.7001961147
      28        -86.5394409993          0.8402470618        -85.6991939374
      32        -86.6020460507          0.9067555615        -85.6952904891
      36        -86.5171047063          0.8248749603        -85.6922297460
      40        -86.4751423768          0.7748373032        -85.7003050736
      44        -86.4881666395          0.7836067544        -85.7045598851
      48        -86.4576658780          0.7652794872        -85.6923863908
      52        -86.5226836193          0.8238022775        -85.6988813418
      56        -86.5307143586          0.8213202736        -85.7093940850
      60        -86.5013780991          0.8107487099        -85.6906293892
      64        -86.5527376516          0.8590842485        -85.6936534031
      68        -86.5373228343          0.8265937317        -85.7107291026
      72        -86.5407021534          0.8345627108        -85.7061394427
      76        -86.5323788601          0.8335828965        -85.6987959637
      80        -86.4424653594          0.7493120162        -85.6931533432
      84        -86.4487487672          0.7457093299        -85.7030394373
      88        -86.4615915193          0.7564764115        -85.7051151078
      92        -86.4600891585          0.7695266316        -85.6905625269
      96        -86.5275788081          0.8309597038        -85.6966191044
     100        -86.4919825693          0.7820107446        -85.7099718247
     104        -86.4748884603          0.7807908023        -85.6940976580
     108        -86.5082114084          0.8173582285        -85.6908531798
     112        -86.4700414200          0.7810517429        -85.6889896770
     116        -86.5049410044          0.8126522342        -85.6922887703
     120        -86.4924684658          0.7947062031        -85.6977622628
     124        -86.4238576765          0.7340459953        -85.6898116812
     128        -86.4787731254          0.7859541778        -85.6928189476
     132        -86.4831522130          0.7817953337        -85.7013568793
     136        -86.4756313430          0.7710544264        -85.7045769166
     140        -86.5243742865          0.8204028016        -85.7039714849
     144        -86.4790416951          0.7728130031        -85.7062286920
     148        -86.5001186219          0.7961027464        -85.7040158754
     152        -86.5525807595          0.8462442820        -85.7063364775
     156        -86.5071190477          0.8034364198        -85.7036826279
     160        -86.5079497844          0.8092546299        -85.6986951545
     164        -86.4732143171          0.7739418461        -85.6992724710
     168        -86.4275356769          0.7259260919        -85.7016095850
     172        -86.4868889768          0.7874001775        -85.6994887993
     176        -86.4699669127          0.7725244163        -85.6974424963
     180        -86.4552779146          0.7597319901        -85.6955459245
     184        -86.4999716733          0.8089061623        -85.6910655109
     188        -86.4752770831          0.7788443413        -85.6964327418
     192        -86.5221833369          0.8138324054        -85.7083509315
     196        -86.5573665358          0.8562358766        -85.7011306591
     200        -86.4941933257          0.7999325022        -85.6942608235
     204        -86.4781718607          0.7832741553        -85.6948977054
     208        -86.4124214174          0.7176924911        -85.6947289263
     212        -86.3803417430          0.6819843034        -85.6983574396
     216        -86.4638287124          0.7707281084        -85.6931006040
     220        -86.4847920525          0.7899043525        -85.6948877000
     224        -86.5282189554          0.8151415770        -85.7130773784
     228        -86.5509404443          0.8449602484        -85.7059801959
