# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00       50.5672    -85.4606332307    -85.4531811243    0.202782
    1      4.00       57.9779    -85.4681028858    -85.4635707359    0.123326
    2      8.00       61.9828    -85.4610757157    -85.4564727999    0.125252
    3     12.00      -66.4189    -85.4541668313    -85.4490587966    0.138997
    4     16.00       62.1621    -85.4574909983    -85.4499241327    0.205905
    5     20.00      -60.7096    -85.4620190435    -85.4522227226    0.266571
    6     24.00       63.7301    -85.4737084781    -85.4656045215    0.220520
    7     28.00      -63.0688    -85.4764226730    -85.4702403576    0.168229
    8     32.00       63.4727    -85.4659304733    -85.4590645924    0.186830
    9     36.00      -55.7566    -85.4624981285    -85.4536454874    0.240893
   10     40.00       49.7247    -85.4774373396    -85.4664993009    0.297639
   11     44.00       54.0109    -85.4796996175    -85.4703559755    0.254253
   12     48.00       55.5565    -85.4708257888    -85.4649578041    0.159676
   13     52.00       61.7489    -85.4685623799    -85.4633408005    0.142086
   14     56.00       65.8017    -85.4685990069    -85.4634128830    0.141122
   15     60.00       67.2640    -85.4701734563    -85.4643776482    0.157712
   16     64.00       68.6907    -85.4595834559    -85.4529148955    0.181461
   17     68.00       70.6610    -85.4604392442    -85.4535076002    0.188620
   18     72.00       64.5126    -85.4599979500    -85.4510916147    0.242354
   19     76.00      -60.2147    -85.4557235531    -85.4441099897    0.316021
   20     80.00       62.8024    -85.4565407294    -85.4450910023    0.311563
   21     84.00       66.4674    -85.4504406759    -85.4414026926    0.245936
   22     88.00       66.5403    -85.4662088772    -85.4600444767    0.167742
   23     92.00      -64.3312    -85.4769093335    -85.4715447870    0.145977
   24     96.00       69.2656    -85.4679902111    -85.4608908780    0.193183
   25    100.00      -76.6362    -85.4576727335    -85.4473701564    0.280347
   26    104.00      -79.5281    -85.4609976913    -85.4498061101    0.304538
   27    108.00       82.5052    -85.4735749417    -85.4637386105    0.267660
   28    112.00       80.4482    -85.4721461748    -85.4631813578    0.243945
   29    116.00       74.5552    -85.4640355855    -85.4556227645    0.228925
   30    120.00      -73.5654    -85.4591564996    -85.4510340560    0.221023
   31    124.00       72.7089    -85.4589572416    -85.4515787457    0.200779
   32    128.00      -74.0238    -85.4646564333    -85.4583241088    0.172311
   33    132.00      -75.8536    -85.4629481157    -85.4563137254    0.180531
   34    136.00      -73.7027    -85.4550371310    -85.4469851691    0.219105
   35    140.00       74.6235    -85.4666169009    -85.4577412194    0.241520
   36    144.00       76.8078    -85.4629885887    -85.4545461110    0.229732
   37    148.00       71.3548    -85.4549479869    -85.4472857788    0.208499
   38    152.00       68.9452    -85.4580669434    -85.4492097660    0.241016
   39    156.00      -66.9421    -85.4744518560    -85.4637717773    0.290620
   40    160.00       62.9683    -85.4787920245    -85.4679462350    0.295129
   41    164.00      -62.6574    -85.4634770492    -85.4548121892    0.235783
   42    168.00      -56.5042    -85.4606888528    -85.4547808889    0.160764
   43    172.00       56.6781    -85.4578350568    -85.4528187785    0.136500
   44    176.00       52.2233    -85.4603498396    -85.4546678341    0.154615
   45    180.00       44.6642    -85.4681188462    -85.4606451467    0.203370
   46    184.00      -46.1476    -85.4671295752    -85.4598691795    0.197565
   47    188.00      -44.3453    -85.4620614414    -85.4566463590    0.147352
   48    192.00      -37.8597    -85.4548474111    -85.4495609594    0.143852
   49    196.00       38.9368    -85.4598498262    -85.4545847606    0.143270
   50    200.00       42.5457    -85.4522917452    -85.4467247257    0.151486
   51    204.00      -46.4666    -85.4495012229    -85.4434783707    0.163890
   52    208.00      -50.2407    -85.4552585230    -85.4498276288    0.147782
   53    212.00       44.4894    -85.4624917785    -85.4566139345    0.159944
   54    216.00       42.5098    -85.4567554147    -85.4474690812    0.252694
   55    220.00      -40.5340    -85.4456733925    -85.4340018384    0.317599
   56    224.00       39.9850    -85.4595476474    -85.4498964066    0.262624
   57    228.00      -47.3566    -85.4692928960    -85.4628433398    0.175501
   58    232.00      -46.2798    -85.4738070222    -85.4685978382    0.141749
   59    236.00      -45.7196    -85.4678393727    -85.4620641700    0.157151
   60    240.00      -43.5160    -85.4539277385    -85.4456738279    0.224600
   61    244.00       42.8056    -85.4634107610    -85.4539609343    0.257143
   62    248.00       46.3726    -85.4626186099    -85.4537426107    0.241528
   63    252.00       47.9950    -85.4649543124    -85.4567335238    0.223699
   64    256.00       44.3220    -85.4693451896    -85.4615205013    0.212921
   65    260.00      -46.4995    -85.4625292177    -85.4555486314    0.189951
   66    264.00       43.1294    -85.4677815123    -85.4617671981    0.163658
   67    268.00      -40.7870    -85.4564208756    -85.4486295834    0.212012
   68    272.00      -39.9436    -85.4520801113    -85.4406212113    0.311813
   69    276.00       35.5032    -85.4778277394    -85.4637227957    0.383815
   70    280.00       42.8499    -85.4732439080    -85.4605224834    0.346168
   71    284.00       45.9030    -85.4446369478    -85.4371842717    0.202798
   72    288.00       43.1092    -85.4438898814    -85.4393577624    0.123325
   73    292.00      -45.0804    -85.4626914774    -85.4574014107    0.143950
   74    296.00      -41.8353    -85.4672380165    -85.4589533165    0.225438
   75    300.00      -44.1352    -85.4748500728    -85.4651080336    0.265094
   76    304.00      -45.4420    -85.4681150681    -85.4596183214    0.231208
   77    308.00       42.9254    -85.4598494910    -85.4527937617    0.191996
   78    312.00       46.7157    -85.4730009301    -85.4654497760    0.205477
   79    316.00       42.8345    -85.4572282179    -85.4499479730    0.198106
   80    320.00       44.6581    -85.4574706964    -85.4513853097    0.165592
   81    324.00      -48.9793    -85.4682512998    -85.4631870950    0.137804
   82    328.00       48.9216    -85.4643721530    -85.4606002143    0.102640
   83    332.00      -44.5649    -85.4437710296    -85.4394549933    0.117445
   84    336.00      -40.3705    -85.4427083071    -85.4355540846    0.194676
   85    340.00       37.9876    -85.4612129985    -85.4529704496    0.224291
   86    344.00       40.0457    -85.4643139308    -85.4580085486    0.171578
   87    348.00      -44.7188    -85.4699055396    -85.4651521098    0.129347
   88    352.00       45.1963    -85.4563384664    -85.4516411417    0.127821
   89    356.00       45.2603    -85.4378803132    -85.4314933279    0.173799
   90    360.00      -36.1320    -85.4594868565    -85.4508563212    0.234849
   91    364.00       32.3817    -85.4706433159    -85.4611087513    0.259449
   92    368.00      -29.1876    -85.4744018405    -85.4670658032    0.199624
   93    372.00       33.5154    -85.4713184341    -85.4648251439    0.176691
   94    376.00       35.1663    -85.4502021750    -85.4435371684    0.181364
   95    380.00       34.5439    -85.4581791793    -85.4517448358    0.175087
   96    384.00       35.4767    -85.4772440952    -85.4699881278    0.197445
   97    388.00       37.6933    -85.4736026135    -85.4655289085    0.219697
   98    392.00      -36.6146    -85.4708266819    -85.4617621987    0.246657
   99    396.00      -30.8872    -85.4646858018    -85.4544845517    0.277590
  100    400.00      -37.5678    -85.4460424081    -85.4348468604    0.304646
  101    404.00       32.5914    -85.4592301079    -85.4481660005    0.301070
  102    408.00      -36.8503    -85.4740419699    -85.4630730416    0.298480
  103    412.00      -36.1298    -85.4677689739    -85.4565716050    0.304696
  104    416.00      -28.1068    -85.4550875797    -85.4423403183    0.346871
  105    420.00      -21.7230    -85.4454704775    -85.4324266745    0.354940
  106    424.00       26.0185    -85.4672034104    -85.4557711084    0.311089
  107    428.00       36.3175    -85.4728145527    -85.4623049761    0.285980
  108    432.00      -36.7025    -85.4678839099    -85.4590789014    0.239596
  109    436.00       31.4141    -85.4744991839    -85.4676566687    0.186194
  110    440.00       24.5538    -85.4697570333    -85.4613629449    0.228415
  111    444.00      -37.8909    -85.4737087149    -85.4628599131    0.295211
  112    448.00      -36.5676    -85.4750165040    -85.4626491547    0.336533
  113    452.00       26.6041    -85.4823739585    -85.4692098404    0.358214
  114    456.00       29.9349    -85.4770701588    -85.4653653397    0.318504
  115    460.00       28.3365    -85.4561899225    -85.4473127215    0.241561
  116    464.00       35.5569    -85.4521628768    -85.4437670358    0.228462
  117    468.00       45.9740    -85.4565903545    -85.4466542662    0.270375
  118    472.00      -50.2726    -85.4546922333    -85.4438661267    0.294593
  119    476.00      -46.5708    -85.4692795534    -85.4585431610    0.292152
  120    480.00       42.3960    -85.4691907749    -85.4600776854    0.247980
  121    484.00      -46.5882    -85.4646736924    -85.4574690032    0.196050
  122    488.00       41.9480    -85.4649827562    -85.4574465842    0.205070
  123    492.00       43.0675    -85.4656226710    -85.4547346019    0.296279
  124    496.00       42.3019    -85.4701778841    -85.4571922638    0.353357
  125    500.00      -41.3602    -85.4693721160    -85.4582051247    0.303869
  126    504.00      -45.7368    -85.4646544140    -85.4570690182    0.206409
  127    508.00      -42.6348    -85.4609510556    -85.4558259783    0.139460
  128    512.00      -43.5121    -85.4783767234    -85.4725367426    0.158914
  129    516.00      -47.2573    -85.4685734773    -85.4605127651    0.219343
  130    520.00       48.6742    -85.4583445887    -85.4506150156    0.210332
  131    524.00      -51.5740    -85.4705452744    -85.4640888255    0.175689
  132    528.00       49.5671    -85.4600862180    -85.4540941416    0.163053
  133    532.00      -43.7306    -85.4613392299    -85.4524905229    0.240786
  134    536.00      -47.0413    -85.4712502249    -85.4575732441    0.372170
  135    540.00      -48.6437    -85.4643504240    -85.4504822546    0.377372
  136    544.00       50.8909    -85.4645657506    -85.4539023803    0.290165
  137    548.00       51.1341    -85.4632213978    -85.4569117331    0.171695
  138    552.00       50.8033    -85.4636009447    -85.4593834337    0.114764
  139    556.00      -51.8173    -85.4703900688    -85.4646623223    0.155860
  140    560.00       47.5076    -85.4671510337    -85.4586194176    0.232157
  141    564.00       45.5564    -85.4626385808    -85.4528680236    0.265870
  142    568.00      -43.1642    -85.4689749649    -85.4599541007    0.245470
  143    572.00       42.1423    -85.4723485856    -85.4646976320    0.208193
  144    576.00      -31.3926    -85.4749610035    -85.4679354721    0.191174
  145    580.00      -29.3890    -85.4719402595    -85.4637562865    0.222697
  146    584.00      -28.1955    -85.4657857728    -85.4559994389    0.266300
  147    588.00       30.5570    -85.4628001576    -85.4537333302    0.246721
  148    592.00      -28.6307    -85.4680305091    -85.4606942953    0.199629
  149    596.00      -34.1916    -85.4640298433    -85.4573292127    0.182333
  150    600.00       40.0229    -85.4693920936    -85.4611766657    0.223553
  151    604.00      -43.7021    -85.4721653833    -85.4619256149    0.278638
  152    608.00       47.8477    -85.4578226425    -85.4461912847    0.316505
  153    612.00       49.4375    -85.4670831801    -85.4555767154    0.313107
  154    616.00      -47.3828    -85.4786111452    -85.4700236999    0.233676
  155    620.00      -50.1104    -85.4903845715    -85.4842983836    0.165614
  156    624.00      -53.1587    -85.4771219488    -85.4709442878    0.168103
  157    628.00      -49.9566    -85.4587848122    -85.4524591263    0.172131
  158    632.00       45.5252    -85.4719372388    -85.4645191879    0.201855
  159    636.00      -49.8382    -85.4680145403    -85.4602069612    0.212455
  160    640.00       58.4041    -85.4776687341    -85.4702605741    0.201586
  161    644.00      -63.9645    -85.4803778990    -85.4718255304    0.232722
  162    648.00       66.6053    -85.4720123665    -85.4618296071    0.277087
  163    652.00      -77.2405    -85.4629175907    -85.4507974636    0.329805
  164    656.00           nan               nan               nan         nan
  165    660.00      -98.4862    -85.4762307289    -85.4660685917    0.276526
