# CDFTB-CI Extracted Data with Energy Fluctuations
# Frame  Time(fs)   J_lowdin(meV)      dE1(Ha)           dE2(Ha)
# dE1 = E1(CDFTB-CI) - E(QM/MM)
# dE2 = E2(CDFTB-CI) - E(QM/MM)
     0       0.00       -69.9948       0.2297844942       0.2389978084
     1       4.00       -74.1885       0.2307860576       0.2387449148
     2       8.00       -82.1463       0.2315387204       0.2382403848
     3      12.00       -89.1978       0.2303931927       0.2374184977
     4      16.00       -89.1699       0.2281414306       0.2357353090
     5      20.00        91.0119       0.2273773350       0.2357333589
     6      24.00        92.1354       0.2276590639       0.2353404746
     7      28.00        90.8875       0.2279179190       0.2351812668
     8      32.00       -90.4598       0.2267182811       0.2349540259
     9      36.00       -81.4946       0.2247259004       0.2340268569
    10      40.00        82.5101       0.2251290972       0.2345403253
    11      44.00       -95.2628       0.2276597559       0.2354109255
    12      48.00        99.3140       0.2288243781       0.2361238662
    13      52.00       -98.1509       0.2288070141       0.2360214961
    14      56.00        96.6688       0.2273328517       0.2347989718
    15      60.00        95.8267       0.2267557025       0.2353473867
    16      64.00      -104.6724       0.2279593442       0.2373116269
    17      68.00       110.1492       0.2292388289       0.2380265308
    18      72.00       102.1950       0.2294055996       0.2377442096
    19      76.00        97.9963       0.2275712904       0.2367004412
    20      80.00        91.2636       0.2267077861       0.2351826975
    21      84.00       -97.5818       0.2278026976       0.2359126278
    22      88.00      -102.6572       0.2282847291       0.2368628733
    23      92.00       -89.7260       0.2274582321       0.2369756700
    24      96.00       -82.4244       0.2249704054       0.2368793313
    25     100.00       -73.1118       0.2232129243       0.2354986121
    26     104.00        64.9152       0.2253916693       0.2344544124
    27     108.00       -66.3502       0.2288174367       0.2348442245
    28     112.00        57.1912       0.2295463382       0.2348197431
    29     116.00       -52.6982       0.2273099117       0.2354804135
    30     120.00       -51.4260       0.2255719036       0.2361266287
    31     124.00        54.1290       0.2271338085       0.2368047309
    32     128.00       -66.6365       0.2315647571       0.2395280575
    33     132.00        60.9990       0.2330040190       0.2408148802
    34     136.00       -50.7911       0.2296955152       0.2410389480
    35     140.00        48.3106       0.2257311447       0.2405572471
    36     144.00        49.4230       0.2242507694       0.2381419666
    37     148.00        50.6938       0.2264960509       0.2369735141
    38     152.00        51.5502       0.2282576717       0.2377754661
    39     156.00        42.1484       0.2269238354       0.2385760577
    40     160.00       -43.7871       0.2249136770       0.2396496045
    41     164.00        45.1131       0.2246153195       0.2390422549
    42     168.00       -47.2325       0.2265978111       0.2388063976
    43     172.00        48.4911       0.2286487097       0.2385698681
    44     176.00       -45.6708       0.2272603010       0.2377299608
    45     180.00        45.0809       0.2254930169       0.2383016939
    46     184.00       -47.3249       0.2258553923       0.2385349442
    47     188.00        49.8529       0.2286273351       0.2383273308
    48     192.00        50.3674       0.2311155775       0.2389824152
    49     196.00        49.2236       0.2300227474       0.2398502513
    50     200.00       -50.2279       0.2282704244       0.2410866767
    51     204.00       -53.3429       0.2278415625       0.2404048633
    52     208.00       -57.7059       0.2284593259       0.2384052731
    53     212.00       -62.2220       0.2294661769       0.2365717647
    54     216.00       -64.3778       0.2277518271       0.2358666348
    55     220.00       -63.9579       0.2239439624       0.2367570895
    56     224.00        60.6640       0.2231908539       0.2371476613
    57     228.00        66.6495       0.2251959266       0.2356550493
    58     232.00       -69.6530       0.2275886765       0.2340668493
    59     236.00       -73.3912       0.2277356217       0.2336539737
    60     240.00        74.5751       0.2262547073       0.2337045859
    61     244.00       -68.8046       0.2254560188       0.2353390522
    62     248.00        69.2461       0.2259491129       0.2363391571
    63     252.00        66.9988       0.2282671459       0.2365210517
    64     256.00       -69.5706       0.2302553020       0.2382852211
    65     260.00       -69.0479       0.2302596085       0.2389464588
    66     264.00       -67.2219       0.2295020096       0.2386842559
    67     268.00        67.1203       0.2291957156       0.2379109955
    68     272.00       -71.8954       0.2282861314       0.2365127630
    69     276.00       -70.6001       0.2273998196       0.2358984403
    70     280.00        71.4763       0.2260338237       0.2352807709
    71     284.00        73.4219       0.2243362118       0.2349842041
    72     288.00       -74.5980       0.2247660165       0.2350316001
    73     292.00       -78.7259       0.2260516403       0.2354885291
    74     296.00        78.7446       0.2269977796       0.2361700029
    75     300.00        75.7809       0.2271658451       0.2360783398
    76     304.00        79.5495       0.2258658986       0.2344559842
    77     308.00       -78.4455       0.2254693701       0.2324293755
    78     312.00       -77.0900       0.2264658960       0.2332271090
    79     316.00       -74.5147       0.2282221479       0.2362211344
    80     320.00        67.6495       0.2302953694       0.2397658195
    81     324.00       -65.2626       0.2301681796       0.2410228547
    82     328.00        69.3390       0.2278793510       0.2390600021
    83     332.00       -68.1018       0.2258709188       0.2359056881
    84     336.00       -68.8746       0.2249130249       0.2360602327
    85     340.00        65.9561       0.2254872929       0.2386468635
    86     344.00       -68.0734       0.2273357024       0.2398189964
    87     348.00        75.5706       0.2284777111       0.2376597464
    88     352.00        73.3199       0.2279881258       0.2346288701
    89     356.00       -68.6924       0.2265075319       0.2334405198
    90     360.00       -69.0884       0.2243488721       0.2347043082
    91     364.00        66.8188       0.2228437669       0.2354411639
    92     368.00       -74.4566       0.2231506507       0.2341897376
    93     372.00        73.0675       0.2259300809       0.2340006076
    94     376.00       -67.9144       0.2293306955       0.2368899951
    95     380.00        64.4327       0.2312280278       0.2414552230
    96     384.00        64.5365       0.2316367847       0.2442555462
    97     388.00        66.4350       0.2310918943       0.2416354605
    98     392.00        67.5481       0.2298432961       0.2368049513
    99     396.00       -61.4420       0.2284857783       0.2343206567
   100     400.00       -58.2779       0.2263838490       0.2350615862
   101     404.00        55.5751       0.2245888330       0.2382784372
   102     408.00       -59.0315       0.2246781137       0.2396978072
   103     412.00        58.5381       0.2259754095       0.2390501717
   104     416.00        55.8917       0.2274314275       0.2378972531
   105     420.00        49.3058       0.2271447895       0.2371230925
   106     424.00        62.1841       0.2251747926       0.2364143028
   107     428.00        61.2083       0.2245511014       0.2342588581
   108     432.00        65.4250       0.2256038201       0.2328505645
   109     436.00       -63.7850       0.2279950693       0.2342898976
   110     440.00        60.7591       0.2302019269       0.2378713843
   111     444.00       -60.1729       0.2298784125       0.2410851778
   112     448.00        59.3063       0.2287497126       0.2419499890
   113     452.00        58.9242       0.2288551435       0.2400570031
   114     456.00        58.0334       0.2290009356       0.2379984329
   115     460.00       -48.7281       0.2288812506       0.2363607989
   116     464.00        58.9055       0.2276259628       0.2367428911
   117     468.00       -55.0527       0.2263345619       0.2378285918
   118     472.00        51.6826       0.2266775509       0.2381366801
   119     476.00       -50.7297       0.2281215573       0.2374935417
   120     480.00        47.1721       0.2277589779       0.2354165020
   121     484.00        49.5541       0.2247977780       0.2319316103
   122     488.00       -45.8342       0.2216790931       0.2295444809
   123     492.00       -45.0666       0.2207178039       0.2299655131
   124     496.00       -43.8627       0.2233989759       0.2327551634
   125     500.00       -41.8606       0.2269109826       0.2364413563
   126     504.00        46.4868       0.2283299662       0.2369149317
   127     508.00        43.6492       0.2284459326       0.2354328588
   128     512.00        44.3766       0.2287230458       0.2350650090
   129     516.00        47.1109       0.2294265690       0.2353621574
   130     520.00        41.6868       0.2284133260       0.2367153837
   131     524.00       -45.5863       0.2261823660       0.2368061582
   132     528.00       -48.0235       0.2242726745       0.2349448291
   133     532.00       -43.4061       0.2235590494       0.2340759586
   134     536.00        45.5487       0.2242469169       0.2339679150
   135     540.00        43.1443       0.2243011257       0.2344767545
   136     544.00       -40.6858       0.2232049905       0.2340038425
   137     548.00        41.4397       0.2228092478       0.2310842590
   138     552.00       -36.8132       0.2231985951       0.2294445375
   139     556.00        42.4337       0.2263180045       0.2322191014
   140     560.00       -44.9251       0.2289148552       0.2367307269
   141     564.00       -37.3077       0.2281118256       0.2389830925
   142     568.00       -39.9174       0.2271253108       0.2371056245
   143     572.00       -36.6373       0.2267023718       0.2328074347
   144     576.00        35.3331       0.2268755400       0.2310675084
   145     580.00        29.9588       0.2276319796       0.2338536176
   146     584.00       -19.5255       0.2271417291       0.2382189612
   147     588.00        19.0918       0.2263170406       0.2412212747
   148     592.00        23.1843       0.2282506634       0.2401588664
   149     596.00        22.6506       0.2309904064       0.2369401597
   150     600.00        19.7411       0.2311024849       0.2353121032
   151     604.00        28.3977       0.2269063420       0.2344252201
   152     608.00       -22.3542       0.2215235587       0.2335165867
   153     612.00       -23.2122       0.2202938543       0.2322209547
   154     616.00        22.2401       0.2239135263       0.2310584913
   155     620.00       -15.8228       0.2282310851       0.2322432312
   156     624.00        -4.9263       0.2299076039       0.2350736768
   157     628.00       -15.3556       0.2281484568       0.2385216984
   158     632.00         9.0635       0.2274421941       0.2396709109
   159     636.00         6.2685       0.2298430114       0.2383803608
   160     640.00        25.8149       0.2324141818       0.2373897316
   161     644.00        26.8794       0.2319393643       0.2373053768
   162     648.00       -28.7036       0.2278885671       0.2374116031
   163     652.00       -34.3588       0.2248958972       0.2369387659
   164     656.00       -37.6672       0.2261878880       0.2359986855
   165     660.00        37.1161       0.2298025640       0.2355735791
   166     664.00       -27.7234       0.2313756004       0.2363385116
   167     668.00        18.0938       0.2293845329       0.2378903165
   168     672.00        28.5076       0.2262436645       0.2386236896
   169     676.00        29.2659       0.2259787636       0.2373018455
   170     680.00        38.8423       0.2287045316       0.2353415521
   171     684.00       -42.2979       0.2302617103       0.2342059658
   172     688.00        36.2574       0.2302786114       0.2349065591
   173     692.00        23.3881       0.2288304606       0.2358037702
   174     696.00       -32.7597       0.2273731304       0.2366990680
   175     700.00        40.0680       0.2280255311       0.2367447839
   176     704.00       -43.7615       0.2293847119       0.2367825647
   177     708.00        48.4131       0.2296538603       0.2378919769
   178     712.00       -55.2059       0.2299672734       0.2383954556
   179     716.00        68.5698       0.2315365389       0.2395777502
   180     720.00       -64.0087       0.2329066301       0.2399401602
   181     724.00        57.2132       0.2316559732       0.2388009450
   182     728.00        48.3952       0.2281107611       0.2365337131
   183     732.00        50.5450       0.2244714987       0.2336113766
   184     736.00        52.5925       0.2232871250       0.2312689603
   185     740.00        59.4777       0.2255766795       0.2322345953
   186     744.00       -53.7521       0.2287212450       0.2352055384
