# CDFTB-CI Spectral Densities
# nu(cm-1)      SD_J(cm-1)      SD_dE1(cm-1)    SD_dE2(cm-1)
      1.0000        0.228178        1.033993        1.536250
      5.0060        1.520054        6.519428        9.886560
      9.0120        3.013417       13.031052       28.660418
     13.0180        6.140947       26.131302       45.419937
     17.0240       27.072257       41.327950       94.709996
     21.0301       19.925807       36.622171       92.197662
     25.0361       20.238003       63.323001      127.026404
     29.0421       29.123803       95.249408      159.701687
     33.0481       48.725416      104.867213      150.111305
     37.0541       54.197247      127.975097      242.110939
     41.0601       48.862809      151.600660      285.535741
     45.0661      102.184165      168.587258      359.765636
     49.0721       79.623693      155.322996      337.309141
     53.0782       77.420517      225.838630      339.280028
     57.0842       67.012304      197.202851      289.864137
     61.0902       39.476995      201.415083      241.777704
     65.0962       41.457013      220.990190      233.634311
     69.1022       31.780438      204.548922      197.193025
     73.1082       48.323229      158.852332      203.385445
     77.1142       56.025775      152.382692      215.640776
     81.1202       50.317327      147.271120      220.356678
     85.1263       60.438238      119.959642      250.136041
     89.1323       68.234154      111.059834      256.210220
     93.1383       46.729580      138.521989      243.307119
     97.1443       38.172001      114.548586      180.964440
    101.1503       57.267179      140.202090      217.583132
    105.1563       64.462867      139.457163      189.422650
    109.1623       56.424371      134.407897      224.607400
    113.1683       43.619604      157.927691      189.003095
    117.1743       41.983729      185.731814      218.994481
    121.1804       35.427132      223.290805      261.589228
    125.1864       38.096676      217.241712      286.037236
    129.1924       27.204614      231.572149      291.638012
    133.1984       27.441561      160.963760      203.843667
    137.2044       29.825959      210.119940      248.393942
    141.2104       33.966928      255.821328      281.662791
    145.2164       30.774776      257.889342      299.659597
    149.2224       34.320795      311.332100      287.423390
    153.2285       32.085464      231.872649      199.203282
    157.2345       30.978384      181.326945      203.070858
    161.2405       20.397022      161.023949      152.543139
    165.2465       10.201355      134.859762      118.976587
    169.2525       12.558122      102.055151       87.368535
    173.2585       16.576262       80.659989       70.996227
    177.2645       12.864678       46.442376       57.870262
    181.2705       17.476934       47.340726       44.678874
    185.2766       26.822811       51.697608       41.169026
    189.2826       30.027162       47.440504       37.908328
    193.2886       19.965829       38.220820       32.206683
    197.2946       13.648515       30.661795       29.406625
    201.3006        9.346234       28.726801       31.007241
    205.3066        4.278296       24.839229       22.737126
    209.3126        4.215182       21.051790       24.612741
    213.3186        4.645791       27.535920       27.407585
    217.3246        3.742553       38.307873       40.468348
    221.3307        3.512394       61.420855       60.738551
    225.3367        4.497720      147.488251      182.297668
