# call_index  Electronic(H)         Repulsive(H)          Total(H)
       0        -86.4706231078          0.7862141646        -85.6844089432
       1        -86.4768018561          0.7866610052        -85.6901408510
       2        -86.4795262671          0.7726658500        -85.7068604171
       3        -86.4825081962          0.7612819051        -85.7212262911
       4        -86.4884990653          0.7656678587        -85.7228312066
       5        -86.4970240734          0.7832279176        -85.7137961558
       6        -86.5051033727          0.7989475657        -85.7061558070
       7        -86.5111445790          0.8021998197        -85.7089447593
       8        -86.5183317758          0.8041337308        -85.7141980451
       9        -86.5296894569          0.8178771637        -85.7118122932
      10        -86.5437145215          0.8409262823        -85.7027882391
      11        -86.5556331419          0.8584178712        -85.6972152707
      12        -86.5612698598          0.8586709359        -85.7025989239
      13        -86.5613056565          0.8477945202        -85.7135111363
      14        -86.5594140738          0.8417475131        -85.7176665607
      15        -86.5575336238          0.8470336545        -85.7104999693
      16        -86.5549003426          0.8558526063        -85.6990477363
      17        -86.5495601663          0.8541924435        -85.6953677228
      18        -86.5428751598          0.8419967991        -85.7008783607
      19        -86.5394806153          0.8351251095        -85.7043555058
      20        -86.5412621489          0.8412862629        -85.6999758860
      21        -86.5455613120          0.8528112316        -85.6927500804
      22        -86.5473203935          0.8548649302        -85.6924554633
      23        -86.5433522886          0.8412722614        -85.7020800272
      24        -86.5349140097          0.8224513163        -85.7124626933
      25        -86.5250242673          0.8125250329        -85.7124992344
      26        -86.5144851608          0.8120649790        -85.7024201818
      27        -86.5019172566          0.8087256640        -85.6931915926
      28        -86.4867082961          0.7912978350        -85.6954104611
      29        -86.4730961902          0.7695968864        -85.7034993038
      30        -86.4665065571          0.7604532530        -85.7060533041
      31        -86.4680031121          0.7671015982        -85.7009015139
      32        -86.4742787877          0.7787353045        -85.6955434832
      33        -86.4804298629          0.7820076295        -85.6984222334
      34        -86.4839258728          0.7748058984        -85.7091199744
      35        -86.4860148906          0.7692223990        -85.7167924916
      36        -86.4879810949          0.7744974287        -85.7134836662
      37        -86.4884129397          0.7849049869        -85.7035079528
      38        -86.4845687157          0.7857286668        -85.6988400489
      39        -86.4767649117          0.7724446422        -85.7043202695
      40        -86.4700812978          0.7601872814        -85.7098940163
      41        -86.4685568956          0.7610241425        -85.7075327532
      42        -86.4719332109          0.7725348785        -85.6993983323
      43        -86.4766669146          0.7818393476        -85.6948275670
      44        -86.4791035367          0.7790280997        -85.7000754370
      45        -86.4785646500          0.7674683853        -85.7110962647
      46        -86.4771995205          0.7610948679        -85.7161046526
      47        -86.4759402642          0.7654771699        -85.7104630943
      48        -86.4730109072          0.7710802638        -85.7019306434
      49        -86.4665321753          0.7638296199        -85.7027025554
      50        -86.4599802914          0.7498229732        -85.7101573182
      51        -86.4599141630          0.7476812754        -85.7122328876
      52        -86.4693214312          0.7642475792        -85.7050738520
      53        -86.4865587056          0.7915865012        -85.6949722044
      54        -86.5072745120          0.8159620439        -85.6913124681
      55        -86.5274672478          0.8303549998        -85.6971122480
      56        -86.5459960938          0.8410187991        -85.7049772947
      57        -86.5630852034          0.8583471956        -85.7047380077
      58        -86.5765118136          0.8789737900        -85.6975380235
      59        -86.5820157143          0.8869411947        -85.6950745197
      60        -86.5786006452          0.8744346678        -85.7041659775
      61        -86.5717716139          0.8576851531        -85.7140864608
      62        -86.5675381159          0.8537352380        -85.7138028779
      63        -86.5677519153          0.8640890631        -85.7036628522
      64        -86.5701226373          0.8764152508        -85.6937073865
      65        -86.5711289575          0.8782249679        -85.6929039896
