# Normal mode statistics
# Reference: normal_mode/opt.gen
# Temperature: 300 K
#
#  Mode   Freq(cm-1)            Mean             Std        Variance
      7      34.7296  1.44881640e-01  1.00083160e+00  1.00166388e+00
      8      68.8592  1.79720742e-01  7.65422655e-01  5.85871841e-01
      9      95.1875 -3.26167199e-02  5.01064377e-01  2.51065510e-01
     10     122.8045 -3.35825667e-02  8.52598680e-01  7.26924510e-01
     11     144.2198 -3.74038090e-02  4.52053619e-01  2.04352474e-01
     12     180.8312 -1.62888080e-02  3.30478897e-01  1.09216302e-01
     13     232.9622 -1.82751472e-03  2.80159400e-01  7.84892893e-02
     14     243.0530 -4.42063054e-02  1.76897235e-01  3.12926316e-02
     15     269.3265  3.58564142e-01  5.60325727e-01  3.13964920e-01
     16     275.4969 -3.39609192e-02  2.06242326e-01  4.25358968e-02
     17     338.8500  1.82781657e-02  1.39203830e-01  1.93777064e-02
     18     351.8642  2.12205997e-03  2.10348885e-01  4.42466536e-02
     19     366.8319  1.50626959e-02  2.22939904e-01  4.97022009e-02
     20     435.9594  1.95492798e-02  1.68856011e-01  2.85123525e-02
     21     443.9969 -1.49796131e-02  1.57702586e-01  2.48701055e-02
     22     453.5353 -2.28028477e-03  3.03581894e-01  9.21619666e-02
     23     457.7020 -5.08855622e-03  1.10249710e-01  1.21549985e-02
     24     458.0558 -1.45335531e-02  1.76412348e-01  3.11213166e-02
     25     497.3181 -1.04333491e-02  1.81570696e-01  3.29679177e-02
     26     498.2214  2.03042653e-03  1.61135028e-01  2.59644974e-02
     27     515.9867 -2.04718102e-02  1.67189925e-01  2.79524711e-02
     28     530.1993  1.46593455e-02  6.75334572e-02  4.56076784e-03
     29     590.2566 -3.82357213e-04  1.64351433e-01  2.70113934e-02
     30     617.2135 -2.40785019e-02  8.61611991e-02  7.42375222e-03
     31     640.0368  1.58237583e-02  1.95712026e-01  3.83031973e-02
     32     644.3759 -1.62414485e-02  1.71241418e-01  2.93236231e-02
     33     683.7953  3.21921334e-03  1.48334491e-01  2.20031213e-02
     34     709.4083 -3.20625865e-03  1.52997567e-01  2.34082554e-02
     35     720.4565  7.75226646e-04  1.49116955e-01  2.22358663e-02
     36     724.6222 -4.93137398e-04  1.31910148e-01  1.74002872e-02
     37     741.0630  2.84888085e-03  1.99819966e-01  3.99280186e-02
     38     745.1134  1.54951114e-03  8.66500470e-02  7.50823065e-03
     39     754.0695 -1.72025210e-02  6.90881279e-02  4.77316942e-03
     40     780.7312  3.34014299e-03  1.24446149e-01  1.54868439e-02
     41     785.9752  3.28589348e-02  1.42282217e-01  2.02442293e-02
     42     792.5944 -1.80823796e-01  2.30372853e-01  5.30716515e-02
     43     821.0142 -8.36493647e-03  1.30016371e-01  1.69042568e-02
     44     823.0355  1.37909942e-03  6.12160766e-02  3.74740803e-03
     45     824.3248 -1.18352421e-02  8.65270371e-02  7.48692815e-03
     46     824.3916  5.12219837e-03  6.68149396e-02  4.46423616e-03
     47     831.7735 -1.28473387e-02  9.99531626e-02  9.99063471e-03
     48     831.9244  1.85590394e-02  1.43093329e-01  2.04757008e-02
     49     839.0880  8.98001776e-02  8.90572516e-02  7.93119406e-03
     50     846.1045 -8.04796742e-03  4.58780426e-02  2.10479479e-03
     51     850.1793  3.25135437e-04  1.05639903e-01  1.11597891e-02
     52     903.4274  3.60136011e-04  1.17455070e-01  1.37956935e-02
     53     903.5449 -6.15177960e-03  4.64642352e-02  2.15892516e-03
     54     905.6419  5.00040330e-03  1.01295186e-01  1.02607146e-02
     55     905.7070 -6.72979767e-03  8.28772768e-02  6.86864301e-03
     56     916.9138  4.35542595e-03  8.72058564e-02  7.60486138e-03
     57     930.8894 -8.29871079e-04  9.95701334e-02  9.91421146e-03
     58     941.4825 -5.63314176e-03  4.91007409e-02  2.41088276e-03
     59    1058.8252  2.16449392e-02  7.64196420e-02  5.83996169e-03
     60    1059.8417 -1.10404196e-01  1.54839512e-01  2.39752746e-02
     61    1135.2203 -5.54455087e-03  6.10081901e-02  3.72199926e-03
     62    1144.6224 -4.01352257e-04  9.36632964e-02  8.77281309e-03
     63    1146.1338 -1.01020036e-02  7.60411128e-02  5.78225083e-03
     64    1150.8416  5.11106714e-04  9.72877897e-02  9.46491403e-03
     65    1157.3170  5.67504793e-03  8.68832272e-02  7.54869518e-03
     66    1173.8353 -6.45995930e-03  5.31430892e-02  2.82418793e-03
     67    1194.1888 -1.20586543e-02  4.10012346e-02  1.68110124e-03
     68    1197.6143 -2.42367402e-04  5.19349138e-02  2.69723528e-03
     69    1253.3985  2.12278995e-03  5.09329149e-02  2.59416182e-03
     70    1260.5619  7.77944524e-04  1.05087979e-01  1.10434833e-02
     71    1265.2002 -6.51588117e-04  1.10091571e-01  1.21201539e-02
     72    1266.9136  1.72791836e-03  5.98708886e-02  3.58452330e-03
     73    1353.3547  3.87795207e-03  3.92315999e-02  1.53911843e-03
     74    1368.2917  2.72637640e-03  9.01970270e-02  8.13550367e-03
     75    1378.7073  1.84919546e-02  7.37290660e-02  5.43597517e-03
     76    1402.0996 -1.57738229e-03  4.35226014e-02  1.89421683e-03
     77    1418.8293 -2.24020036e-03  4.76552814e-02  2.27102585e-03
     78    1439.4586  4.85233424e-03  9.46714737e-02  8.96268792e-03
     79    1454.4777  9.64979147e-04  9.07619921e-02  8.23773920e-03
     80    1497.1981 -1.24107725e-02  7.22687466e-02  5.22277174e-03
     81    1519.4031 -5.42456219e-04  4.09066213e-02  1.67335166e-03
     82    1523.6959  4.05739233e-03  5.66949382e-02  3.21431601e-03
     83    1538.2652  2.77050615e-03  3.86615868e-02  1.49471830e-03
     84    1544.8551  2.14093284e-02  8.47491625e-02  7.18242055e-03
     85    1553.5016 -1.72236661e-03  5.54209968e-02  3.07148688e-03
     86    1620.0798 -1.02380780e-03  3.42252863e-02  1.17137022e-03
     87    1635.5110 -1.58365459e-02  6.18680544e-02  3.82765615e-03
     88    1665.6296  1.44694377e-02  3.33184951e-02  1.11012211e-03
     89    1665.9423  2.04061491e-03  3.57049545e-02  1.27484378e-03
     90    1690.0444 -1.27493236e-03  2.41043417e-02  5.81019287e-04
     91    1716.6369 -1.09446099e-04  6.78380286e-02  4.60199813e-03
     92    1739.8265  7.26227229e-04  5.76361799e-02  3.32192923e-03
