# Strongly correlated mode pairs (|r| > 0.5)
# mode_i  mode_j  correlation
      70       71    -0.929864
      46       51     0.851295
      43       48    -0.849614
      35       38     0.847193
      22       24    -0.817583
      37       38    -0.798700
      35       37    -0.767633
      52       57    -0.716253
      20       22     0.692707
      20       24    -0.682547
      42       49    -0.672720
      34       35     0.660449
      62       64    -0.651742
       8       10     0.649027
      63       66     0.648765
      52       56    -0.639646
      49       60    -0.623936
      31       32     0.617431
      23       66     0.605079
      36       37     0.597574
      35       36    -0.595041
     100      102     0.580333
      34       38     0.577621
      42       60     0.575524
      53       55    -0.574265
     101      106    -0.567499
      21       24     0.560944
      30       42     0.554172
      53       56     0.553776
      42       99     0.546861
     107      108    -0.542332
      95      101     0.540876
      45       51    -0.539579
      52       55     0.537444
      30       49    -0.529568
      96      101     0.527793
      88       89    -0.519902
      69       70    -0.516891
      69       71     0.510376
      74       75     0.504795
