# DFTB+ Mass-weighted Hessian eigenvalues and frequencies
# Matrix size: 108 x 108, Number of atoms: 36
# Atom types: C C C C C H C C C H C C H H C C C H C C C H C H H H C C H C C H C H H H
# Index    Eigenvalue           Freq(Hartree)      Freq(cm^-1)    Type
#--------------------------------------------------------------------------------
     1   -1.971341347231e-08  -3.2885228553e-06       -0.7217     rot/trans
     2   -2.446152819284e-12  -3.6632093732e-08       -0.0080     rot/trans
     3   +2.725866322372e-12  +3.8669826729e-08       +0.0085     rot/trans
     4   +9.779369293661e-12  +7.3244559647e-08       +0.0161     rot/trans
     5   +1.089065395764e-08  +2.4442573428e-06       +0.5365     rot/trans
     6   +3.582054638083e-07  +1.4017999885e-05       +3.0766     vibration
     7   +4.564485851164e-05  +1.5823985696e-04      +34.7296     vibration
     8   +1.794385631402e-04  +3.1374574204e-04      +68.8592     vibration
     9   +3.428870830211e-04  +4.3370608115e-04      +95.1875     vibration
    10   +5.707159628460e-04  +5.5953848036e-04     +122.8045     vibration
    11   +7.871210124363e-04  +6.5711397293e-04     +144.2198     vibration
    12   +1.237479811190e-03  +8.2392752248e-04     +180.8312     vibration
    13   +2.053819292858e-03  +1.0614537206e-03     +232.9622     vibration
    14   +2.235596841218e-03  +1.1074310416e-03     +243.0530     vibration
    15   +2.745044992476e-03  +1.2271416106e-03     +269.3265     vibration
    16   +2.872266598776e-03  +1.2552560494e-03     +275.4969     vibration
    17   +4.345167484706e-03  +1.5439143706e-03     +338.8500     vibration
    18   +4.685344465084e-03  +1.6032111029e-03     +351.8642     vibration
    19   +5.092436382840e-03  +1.6714090726e-03     +366.8319     vibration
    20   +7.192560716650e-03  +1.9863771807e-03     +435.9594     vibration
    21   +7.460214890726e-03  +2.0229987658e-03     +443.9969     vibration
    22   +7.784192349052e-03  +2.0664586933e-03     +453.5353     vibration
    23   +7.927880960493e-03  +2.0854438895e-03     +457.7020     vibration
    24   +7.940140976478e-03  +2.0870557766e-03     +458.0558     vibration
    25   +9.359657118093e-03  +2.2659478923e-03     +497.3181     vibration
    26   +9.393688934633e-03  +2.2700636602e-03     +498.2214     vibration
    27   +1.007554376402e-02  +2.3510084819e-03     +515.9867     vibration
    28   +1.063824058898e-02  +2.4157659355e-03     +530.1993     vibration
    29   +1.318478813640e-02  +2.6894069749e-03     +590.2566     vibration
    30   +1.441658278382e-02  +2.8122317957e-03     +617.2135     vibration
    31   +1.550248541470e-02  +2.9162222205e-03     +640.0368     vibration
    32   +1.571339622499e-02  +2.9359927575e-03     +644.3759     vibration
    33   +1.769471923274e-02  +3.1156006592e-03     +683.7953     vibration
    34   +1.904513220912e-02  +3.2323021046e-03     +709.4083     vibration
    35   +1.964296145313e-02  +3.2826413157e-03     +720.4565     vibration
    36   +1.987077230874e-02  +3.3016217933e-03     +724.6222     vibration
    37   +2.078268652063e-02  +3.3765313980e-03     +741.0630     vibration
    38   +2.101048790973e-02  +3.3949862366e-03     +745.1134     vibration
    39   +2.151861048891e-02  +3.4357935597e-03     +754.0695     vibration
    40   +2.306717933307e-02  +3.5572729922e-03     +780.7312     vibration
    41   +2.337809286434e-02  +3.5811662985e-03     +785.9752     vibration
    42   +2.377351921121e-02  +3.6113259348e-03     +792.5944     vibration
    43   +2.550895978154e-02  +3.7408157984e-03     +821.0142     vibration
    44   +2.563471876286e-02  +3.7500255583e-03     +823.0355     vibration
    45   +2.571509515362e-02  +3.7558999668e-03     +824.3248     vibration
    46   +2.571926314300e-02  +3.7562043390e-03     +824.3916     vibration
    47   +2.618192729035e-02  +3.7898389533e-03     +831.7735     vibration
    48   +2.619142510627e-02  +3.7905262963e-03     +831.9244     vibration
    49   +2.664442904858e-02  +3.8231660263e-03     +839.0880     vibration
    50   +2.709190124952e-02  +3.8551358892e-03     +846.1045     vibration
    51   +2.735347144496e-02  +3.8737017022e-03     +850.1793     vibration
    52   +3.088715543135e-02  +4.1163178835e-03     +903.4274     vibration
    53   +3.089519505292e-02  +4.1168535671e-03     +903.5449     vibration
    54   +3.103876931609e-02  +4.1264082746e-03     +905.6419     vibration
    55   +3.104322831417e-02  +4.1267046618e-03     +905.7070     vibration
    56   +3.181620924867e-02  +4.1777665297e-03     +916.9138     vibration
    57   +3.279348671484e-02  +4.2414440890e-03     +930.8894     vibration
    58   +3.354408344915e-02  +4.2897098093e-03     +941.4825     vibration
    59   +4.242677333268e-02  +4.8243626995e-03    +1058.8252     vibration
    60   +4.250827026065e-02  +4.8289939981e-03    +1059.8417     vibration
    61   +4.876988413684e-02  +5.1724441616e-03    +1135.2203     vibration
    62   +4.958107603990e-02  +5.2152835192e-03    +1144.6224     vibration
    63   +4.971209353410e-02  +5.2221696401e-03    +1146.1338     vibration
    64   +5.012132430832e-02  +5.2436200788e-03    +1150.8416     vibration
    65   +5.068694209937e-02  +5.2731241297e-03    +1157.3170     vibration
    66   +5.214417050967e-02  +5.3483870762e-03    +1173.8353     vibration
    67   +5.396813693987e-02  +5.4411244844e-03    +1194.1888     vibration
    68   +5.427819846647e-02  +5.4567324636e-03    +1197.6143     vibration
    69   +5.945245126591e-02  +5.7109036333e-03    +1253.3985     vibration
    70   +6.013395829514e-02  +5.7435425804e-03    +1260.5619     vibration
    71   +6.057730047148e-02  +5.7646760520e-03    +1265.2002     vibration
    72   +6.074149328771e-02  +5.7724832494e-03    +1266.9136     vibration
    73   +6.931300162163e-02  +6.1663376591e-03    +1353.3547     vibration
    74   +7.085146786373e-02  +6.2343958647e-03    +1368.2917     vibration
    75   +7.193422970279e-02  +6.2818526876e-03    +1378.7073     vibration
    76   +7.439593272996e-02  +6.3884359597e-03    +1402.0996     vibration
    77   +7.618189415323e-02  +6.4646621387e-03    +1418.8293     vibration
    78   +7.841331627013e-02  +6.5586561054e-03    +1439.4586     vibration
    79   +8.005815728705e-02  +6.6270880969e-03    +1454.4777     vibration
    80   +8.483010572725e-02  +6.8217367060e-03    +1497.1981     vibration
    81   +8.736500165842e-02  +6.9229101298e-03    +1519.4031     vibration
    82   +8.785936661400e-02  +6.9424695424e-03    +1523.6959     vibration
    83   +8.954758460083e-02  +7.0088519614e-03    +1538.2652     vibration
    84   +9.031646661217e-02  +7.0388776834e-03    +1544.8551     vibration
    85   +9.133029556390e-02  +7.0782741707e-03    +1553.5016     vibration
