#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
50,0.05000000000000004,17926.23939508303,584.1842658497725,17.002109481586956
100,0.10000000000000007,18411.958079748212,1067.1951600350792,31.059667317027923
150,0.1500000000000001,18888.810870910514,1524.9250482230352,44.38144629484018
200,0.20000000000000015,19360.5456023983,1936.8965506885593,56.37147238365296
250,0.25000000000000017,19780.9898832376,2328.4453947465986,67.76711705131598
300,0.3000000000000002,20126.88269524224,2757.904780855246,80.2661108232435
350,0.35000000000000026,20520.95010063058,3081.1252157960607,89.67312423117235
400,0.4000000000000003,20863.925293313667,3445.860606596829,100.28838966832598
450,0.45000000000000034,21186.68001069023,3818.3946919426526,111.13062845313667
500,0.5000000000000003,21587.776659691,4035.4485636124004,117.44776827572885
550,0.5500000000000004,21863.56266125996,4407.184256486931,128.26677063155688
600,0.6000000000000004,22164.709471335773,4664.253509486774,135.74851883902585
650,0.6500000000000005,22441.69265591757,4917.036462675034,143.1055184989429
700,0.7000000000000005,22705.898738791853,5180.313450511131,150.76793673381346
750,0.7500000000000006,23007.951277662192,5403.337992087914,157.2588470418023
800,0.8000000000000006,23207.21172264535,5689.840813593134,165.59723036154065
850,0.8500000000000006,23445.98678683678,5825.328931509349,169.54047900572448
900,0.9000000000000007,23714.429106163996,6035.625305124401,175.6609484822223
950,0.9500000000000007,23900.2179176149,6252.48136352225,181.97233114375703
1000,1.0000000000000007,24196.323393029015,6361.399616360872,185.14228995223618
1050,1.0499999999999952,24291.48717964493,6710.57050591174,195.3045658623745
1100,1.0999999999999897,24524.535400009867,6751.046457556242,196.48257869404532
1150,1.1499999999999841,24756.782468317186,6885.256194255947,200.38862130808954
1200,1.1999999999999786,24769.89856878698,7076.495718763815,205.95445990211553
1250,1.2499999999999731,24889.068280634958,7317.4019863609265,212.96580028891714
1300,1.2999999999999676,25145.061041532455,7347.672714031484,213.84680009673204
1350,1.3499999999999621,25200.182368570844,7648.510071884935,222.6023760226524
1400,1.3999999999999566,25334.699586761766,7693.234405992381,223.9040338546718
1450,1.449999999999951,25576.627061134437,7676.29642378583,223.41107051295285
