#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
50,0.05000000000000004,-22120.68939409674,396.4682907388705,18.315411955801103
100,0.10000000000000007,-21807.358560395463,694.4649433613741,32.081787682998204
150,0.1500000000000001,-21492.785275241262,983.4996203267693,45.43415230279527
200,0.20000000000000015,-21226.316140927465,1215.3587102192676,56.14521002487473
250,0.25000000000000017,-20988.492707025453,1559.8950592298456,72.06155267643025
300,0.3000000000000002,-20728.964440021366,1815.7862326653246,83.88280639785592
350,0.35000000000000026,-20507.463455974994,2034.7648110815724,93.99883072281477
400,0.4000000000000003,-20283.260211206627,2301.4274124420513,106.3176857516008
450,0.45000000000000034,-19979.439348192158,2465.9890409729383,113.91984231510226
500,0.5000000000000003,-19868.004198587983,2668.581921499915,123.27890621211365
550,0.5500000000000004,-19645.496418447212,2878.7365842167846,132.9872973041696
600,0.6000000000000004,-19393.16836292712,3005.4457109936884,138.84080415374348
650,0.6500000000000005,-19197.114704800246,3199.842953511866,147.82125899202777
700,0.7000000000000005,-19046.35724359762,3414.3356992649706,157.73005394931855
750,0.7500000000000006,-18828.961350712878,3541.136165932752,163.5877803739972
800,0.8000000000000006,-18607.24299310074,3603.9978773555385,166.49176580700455
850,0.8500000000000006,-18530.93094012527,3779.131896958649,174.5823288896875
900,0.9000000000000007,-18421.60572561846,3943.782472243499,182.18859447395812
950,0.9500000000000007,-18311.943173516953,4013.6045808184917,185.4141252718699
1000,1.0000000000000007,-18147.915854409483,4058.7605458182265,187.50016877282823
1050,1.0499999999999952,-18056.343860102737,4170.012211662409,192.63959641004973
1100,1.0999999999999897,-18012.641659602225,4338.74265818291,200.43433740118917
1150,1.1499999999999841,-17796.275108313424,4392.4654111345535,202.9161357560471
1200,1.1999999999999786,-17695.213931087415,4522.843161924453,208.93911986692666
1250,1.2499999999999731,-17610.209976762922,4681.496121424109,216.2683171296583
1300,1.2999999999999676,-17442.66030135547,4712.712887435277,217.7104196704614
1350,1.3499999999999621,-17339.826319745047,4842.75089310779,223.71770877639284
1400,1.3999999999999566,-17112.288655500837,4785.253689572801,221.0615443525311
1450,1.449999999999951,-17128.12814133513,5010.9009054528415,231.48563579202673
1500,1.4999999999999456,-16989.421991834177,5064.468026932806,233.960244531514
1550,1.54999999999994,-16955.23290808893,5284.459319970438,244.1230526369607
1600,1.5999999999999346,-17006.413003821144,5475.299449233995,252.93918161072148
1650,1.649999999999929,-16797.55064731493,5408.17546640996,249.8382945378987
1700,1.6999999999999236,-16759.38303288951,5488.993962295099,253.57181895929932
1750,1.749999999999918,-16624.69250300292,5423.185738628402,250.53171523678265
1800,1.7999999999999126,-16639.75258457916,5444.564221928264,251.51932442968294
1850,1.849999999999907,-16578.515071797145,5405.135188143371,249.6978445947038
1900,1.8999999999999015,-16617.42137579945,5588.473967249879,258.16743811642374
1950,1.949999999999896,-16415.78762649003,5440.576530234089,251.3351073867628
2000,1.9999999999998905,-16467.657864237728,5608.1123854287325,259.07466254649273
2050,2.0499999999998852,-16410.011314877323,5593.681205396745,258.40799382803965
2100,2.0999999999998797,-16561.81068900663,5730.011171198138,264.7059489076739
2150,2.1499999999998742,-16422.879759183023,5676.2975514781465,262.2245724753356
2200,2.1999999999998687,-16409.14550589231,5687.207228989562,262.7285604173577
2250,2.249999999999863,-16331.227479580546,5695.440254379592,263.10889663890003
2300,2.2999999999998577,-16252.453383941516,5624.44501970154,259.8291716258252
2350,2.349999999999852,-16381.547896661406,5746.580783451139,265.47140551908666
2400,2.3999999999998467,-16129.363141243408,5612.978758695175,259.29947152412745
2450,2.449999999999841,-16151.765410095872,5716.592309852596,264.08604567893565
2500,2.4999999999998357,-16058.570616119434,5724.269288513854,264.44069453747306
2550,2.54999999999983,-16061.967746585611,5787.228369548101,267.34917809703313
2600,2.5999999999998247,-16150.671711826242,5950.556612355216,274.8943566671894
2650,2.649999999999819,-16205.58721260068,6119.067565220859,282.6789578393211
2700,2.6999999999998137,-15930.255643861088,5901.129342503697,272.6109942134255
2750,2.749999999999808,-15972.637449501433,5966.5811543561995,275.63463298942463
2800,2.7999999999998026,-15907.06262244322,5875.329824167485,271.4191490706314
2850,2.849999999999797,-16016.213452457314,6074.367121340379,280.6139577790328
2900,2.8999999999997916,-16026.5098215819,6072.342064428872,280.52040741842495
2950,2.949999999999786,-16020.060474187598,6090.854527299336,281.37561675473063
3000,2.9999999999997806,-15936.128804810469,6052.301698957036,279.59461446616274
3050,3.049999999999775,-15862.455550956916,6022.548048616913,278.22010261768014
3100,3.0999999999997696,-15839.690264196928,5932.171363294482,274.0450241522743
3150,3.149999999999764,-15862.212441642923,6051.7823349353475,279.5706217125569
3200,3.1999999999997586,-15769.27706143675,5987.243027993963,276.5891373881222
3250,3.249999999999753,-15626.264620812588,5864.16191139825,270.9032315866031
3300,3.2999999999997476,-15851.327520783616,6104.328428149759,281.9980626110366
3350,3.349999999999742,-15595.072227057575,5742.4447991861425,265.28033789167324
3400,3.3999999999997366,-15832.933425606907,6020.83006563539,278.1407379704318
3450,3.449999999999731,-15685.961677529343,6002.62878503053,277.29990413784486
3500,3.4999999999997256,-15487.047756772703,5902.327328505103,272.6663368666604
3550,3.54999999999972,-15692.925178060268,6069.8171368130725,280.40376482550596
3600,3.5999999999997145,-15589.459462952942,5986.8030517398265,276.56881206442415
3650,3.649999999999709,-15713.784738906174,6100.117533248544,281.8035343811128
3700,3.6999999999997035,-15637.06370563258,5966.321931393103,275.6226578189799
3750,3.749999999999698,-15493.8842876215,5936.940688965556,274.26534987934394
3800,3.7999999999996925,-15498.594127977089,6027.526414543951,278.4500852542499
3850,3.849999999999687,-15489.29820047053,6156.629563813131,284.4141873499046
3900,3.8999999999996815,-15523.689352134541,6223.156766728388,287.48750533301313
3950,3.949999999999676,-15562.966726904338,6250.974393843925,288.7725798576477
4000,3.9999999999996705,-15395.913569460772,6180.734380128149,285.52774334225313
4050,4.049999999999687,-15411.993885873982,6172.517606414641,285.1481578898326
4100,4.099999999999704,-15382.636553972086,6094.5355917736315,281.5456687206947
4150,4.149999999999721,-15516.683404762705,6281.343201474224,290.17550976490156
4200,4.199999999999737,-15551.884348512382,6298.219484349306,290.9551334582964
4250,4.249999999999754,-15531.732521636828,6382.799282802967,294.86241655760927
4300,4.299999999999771,-15276.383413504005,6141.715157976853,283.72519533377545
4350,4.349999999999787,-15324.13067066463,6195.696733136173,286.2189503456162
4400,4.399999999999804,-15389.583877269375,6196.85376887424,286.272401243671
4450,4.449999999999821,-15342.285684981358,6342.114116897938,292.98290792741835
4500,4.4999999999998375,-15382.803978977341,6353.302961502884,293.49979238712416
4550,4.549999999999854,-15343.670625410132,6218.9319390792425,287.292333460145
4600,4.599999999999871,-15287.080304036477,6210.616247569278,286.908178360582
4650,4.649999999999888,-15361.023095463528,6403.355829071258,295.8120552098973
4700,4.699999999999904,-15346.119390098673,6340.422894992787,292.9047795458427
4750,4.749999999999921,-15370.903065769959,6390.114216290997,295.2003402286621
4800,4.799999999999938,-15274.833041557591,6401.428808771369,295.7230337888554
4850,4.849999999999954,-15269.6464433381,6382.413492371724,294.84459442443523
4900,4.899999999999971,-15267.48521779515,6471.46120626857,298.95827918016585
4950,4.949999999999988,-15228.842284714117,6375.970620267882,294.54695685916994
5000,5.000000000000004,-15267.332249793144,6389.476673164516,295.17088802460484
5050,5.050000000000021,-15354.053196212386,6329.809412775908,292.41447476326994
5100,5.100000000000038,-15391.635128102622,6340.2469537026545,292.89665168975915
5150,5.1500000000000545,-15228.40523673614,6197.321425806759,286.2940053153539
5200,5.200000000000071,-15378.706179718392,6337.5849977639455,292.77367888016875
5250,5.250000000000088,-15304.590222675888,6303.102433434535,291.1807081792621
5300,5.300000000000105,-15269.805229161733,6301.33684711233,291.09914442854085
5350,5.350000000000121,-15200.18507558863,6205.125350917582,286.6545186442018
5400,5.400000000000138,-15260.138822312354,6234.237848125068,287.9994115193004
5450,5.450000000000155,-15319.30348326616,6349.733836736173,293.334911633856
5500,5.500000000000171,-15316.817866536587,6435.997719609703,297.31999338854365
5550,5.550000000000188,-15134.257626599065,6326.522980227321,292.2626533757886
