#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
50,0.05000000000000004,5576.136865016338,4746.282500272144,223.81751578349684
100,0.10000000000000007,13775.019045855584,2941.6947150405917,138.71968288362
150,0.1500000000000001,11619.52301251956,4312.461196775891,203.36007220804126
200,0.20000000000000015,-1409.2097074883977,3149.2101267495027,148.50535913294038
250,0.25000000000000017,-3444.36237773048,4005.7904092137187,188.8985870706525
300,0.3000000000000002,7663.983590714419,3356.655378461994,158.28772689059278
350,0.35000000000000026,4916.390390865499,4816.82617830325,227.14410048852608
400,0.4000000000000003,6477.553925044591,4144.559295067886,195.4424258114233
450,0.45000000000000034,2854.742648996041,4547.999745026241,214.46721821918194
500,0.5000000000000003,4610.160665807794,3513.566976668106,165.68711032512212
