# DFTB+ Mass-weighted Hessian eigenvalues and frequencies
# Matrix size: 108 x 108, Number of atoms: 36
# Atom types: C C C C C H C C C H C C H H C C C H C C C H C H H H C C H C C H C H H H
# Index    Eigenvalue           Freq(Hartree)      Freq(cm^-1)    Type
#--------------------------------------------------------------------------------
     1   -2.473759959238e-08  -3.6838227611e-06       -0.8085     rot/trans
     2   -1.830461376392e-08  -3.1688394333e-06       -0.6955     rot/trans
     3   -7.508180226738e-12  -6.4178164714e-08       -0.0141     rot/trans
     4   -1.421396290772e-12  -2.7923994126e-08       -0.0061     rot/trans
     5   +6.771110358904e-12  +6.0946657865e-08       +0.0134     rot/trans
     6   +1.055510794183e-08  +2.4063084081e-06       +0.5281     rot/trans
     7   +4.342556429105e-05  +1.5434504239e-04      +33.8748     vibration
     8   +1.661934704860e-04  +3.0194436396e-04      +66.2691     vibration
     9   +3.213646267557e-04  +4.1987400220e-04      +92.1517     vibration
    10   +5.674621535442e-04  +5.5794115872e-04     +122.4539     vibration
    11   +7.489210626864e-04  +6.4097039594e-04     +140.6767     vibration
    12   +1.154623921227e-03  +7.9586649993e-04     +174.6725     vibration
    13   +1.985675943080e-03  +1.0436962816e-03     +229.0649     vibration
    14   +2.226387580756e-03  +1.1051477261e-03     +242.5519     vibration
    15   +2.701620531613e-03  +1.2173967084e-03     +267.1877     vibration
    16   +2.718890119451e-03  +1.2212814968e-03     +268.0403     vibration
    17   +4.268966024971e-03  +1.5303166319e-03     +335.8657     vibration
    18   +4.763740570559e-03  +1.6165680836e-03     +354.7957     vibration
    19   +5.078496467854e-03  +1.6691198670e-03     +366.3295     vibration
    20   +6.627745178970e-03  +1.9067899327e-03     +418.4920     vibration
    21   +7.204927029637e-03  +1.9880840563e-03     +436.3340     vibration
    22   +7.308029417896e-03  +2.0022582535e-03     +439.4449     vibration
    23   +7.735918314905e-03  +2.0600411078e-03     +452.1268     vibration
    24   +7.753013381791e-03  +2.0623160223e-03     +452.6260     vibration
    25   +8.961889719520e-03  +2.2172759520e-03     +486.6358     vibration
    26   +9.252045883866e-03  +2.2528840382e-03     +494.4509     vibration
    27   +9.839696721970e-03  +2.3233294930e-03     +509.9119     vibration
    28   +1.022433207065e-02  +2.3683038567e-03     +519.7826     vibration
    29   +1.317716820018e-02  +2.6886297129e-03     +590.0860     vibration
    30   +1.425066318983e-02  +2.7960020595e-03     +613.6515     vibration
    31   +1.528585282011e-02  +2.8957748100e-03     +635.5491     vibration
    32   +1.534614807771e-02  +2.9014804009e-03     +636.8013     vibration
    33   +1.708274404548e-02  +3.0612497734e-03     +671.8667     vibration
    34   +1.961685011192e-02  +3.2804587866e-03     +719.9775     vibration
    35   +1.963967106754e-02  +3.2823663672e-03     +720.3961     vibration
    36   +1.986741993976e-02  +3.3013432757e-03     +724.5611     vibration
    37   +2.077990989809e-02  +3.3763058336e-03     +741.0135     vibration
    38   +2.104948311974e-02  +3.3981353027e-03     +745.8045     vibration
    39   +2.139549998750e-02  +3.4259511727e-03     +751.9094     vibration
    40   +2.355934760705e-02  +3.5950222208e-03     +789.0162     vibration
