# DFTB+ Mass-weighted Hessian eigenvalues and frequencies
# Matrix size: 108 x 108, Number of atoms: 36
# Atom types: C C C C C H C C C H C C H H C C C H C C C H C H H H C C H C C H C H H H
# Index    Eigenvalue           Freq(Hartree)      Freq(cm^-1)    Type
#--------------------------------------------------------------------------------
     1   -3.260061509142e-08  -4.2289528801e-06       -0.9281     rot/trans
     2   -2.441840193475e-08  -3.6599787859e-06       -0.8033     rot/trans
     3   -7.121013665990e-12  -6.2501560215e-08       -0.0137     rot/trans
     4   +3.797713572016e-13  +1.4433812268e-08       +0.0032     rot/trans
     5   +7.459311921114e-12  +6.3968966346e-08       +0.0140     rot/trans
     6   +1.913467215193e-08  +3.2398914656e-06       +0.7111     rot/trans
     7   +4.557781690001e-05  +1.5812360561e-04      +34.7041     vibration
     8   +1.789263799961e-04  +3.1329764964e-04      +68.7609     vibration
     9   +3.426345625277e-04  +4.3354634949e-04      +95.1524     vibration
    10   +5.706447233869e-04  +5.5950355715e-04     +122.7968     vibration
    11   +7.862374212091e-04  +6.5674504416e-04     +144.1389     vibration
    12   +1.237130497865e-03  +8.2381122596e-04     +180.8057     vibration
    13   +2.053706382628e-03  +1.0614245431e-03     +232.9558     vibration
    14   +2.234895707339e-03  +1.1072573702e-03     +243.0149     vibration
    15   +2.744929758906e-03  +1.2271158533e-03     +269.3208     vibration
    16   +2.871839585991e-03  +1.2551627380e-03     +275.4764     vibration
    17   +4.344722524627e-03  +1.5438353175e-03     +338.8327     vibration
    18   +4.685135715922e-03  +1.6031753881e-03     +351.8563     vibration
    19   +5.092404412799e-03  +1.6714038260e-03     +366.8307     vibration
    20   +7.192270237900e-03  +1.9863370694e-03     +435.9506     vibration
    21   +7.460229636371e-03  +2.0230007651e-03     +443.9973     vibration
    22   +7.782518172467e-03  +2.0662364607e-03     +453.4865     vibration
    23   +7.927387110789e-03  +2.0853789345e-03     +457.6878     vibration
    24   +7.940475913699e-03  +2.0870997951e-03     +458.0655     vibration
    25   +9.359508801655e-03  +2.2659299387e-03     +497.3141     vibration
    26   +9.392378487360e-03  +2.2699053144e-03     +498.1866     vibration
    27   +1.007558800198e-02  +2.3510136431e-03     +515.9879     vibration
    28   +1.063717668748e-02  +2.4156451353e-03     +530.1728     vibration
    29   +1.318451444922e-02  +2.6893790617e-03     +590.2505     vibration
    30   +1.441653391433e-02  +2.8122270292e-03     +617.2125     vibration
    31   +1.550247538447e-02  +2.9162212770e-03     +640.0366     vibration
    32   +1.571349401392e-02  +2.9360018933e-03     +644.3779     vibration
    33   +1.769454348338e-02  +3.1155851866e-03     +683.7919     vibration
    34   +1.904104874592e-02  +3.2319555674e-03     +709.3323     vibration
    35   +1.963821334687e-02  +3.2822445509e-03     +720.3694     vibration
    36   +1.987039604176e-02  +3.3015905339e-03     +724.6154     vibration
    37   +2.078265255484e-02  +3.3765286388e-03     +741.0624     vibration
    38   +2.100997392517e-02  +3.3949447102e-03     +745.1042     vibration
    39   +2.151833029443e-02  +3.4357711909e-03     +754.0646     vibration
    40   +2.306306365981e-02  +3.5569556316e-03     +780.6615     vibration
    41   +2.337844549328e-02  +3.5811933071e-03     +785.9811     vibration
    42   +2.377431843545e-02  +3.6113866375e-03     +792.6078     vibration
    43   +2.550133293133e-02  +3.7402565287e-03     +820.8914     vibration
    44   +2.563826118651e-02  +3.7502846546e-03     +823.0923     vibration
    45   +2.571858329584e-02  +3.7561546941e-03     +824.3807     vibration
    46   +2.572156351928e-02  +3.7563723160e-03     +824.4284     vibration
    47   +2.618431460666e-02  +3.7900117316e-03     +831.8114     vibration
    48   +2.618570071483e-02  +3.7901120454e-03     +831.8334     vibration
    49   +2.664563427978e-02  +3.8232524936e-03     +839.1069     vibration
    50   +2.709080491305e-02  +3.8550578849e-03     +846.0874     vibration
    51   +2.735317754656e-02  +3.8736808918e-03     +850.1747     vibration
    52   +3.088488188344e-02  +4.1161663833e-03     +903.3941     vibration
    53   +3.088800242632e-02  +4.1163743224e-03     +903.4397     vibration
    54   +3.103431646754e-02  +4.1261122750e-03     +905.5770     vibration
    55   +3.103449038037e-02  +4.1261238361e-03     +905.5795     vibration
    56   +3.181661870727e-02  +4.1777934125e-03     +916.9197     vibration
    57   +3.279381751034e-02  +4.2414654811e-03     +930.8941     vibration
    58   +3.354448411169e-02  +4.2897354282e-03     +941.4881     vibration
    59   +4.243129981907e-02  +4.8246200468e-03    +1058.8817     vibration
    60   +4.251269611492e-02  +4.8292453830e-03    +1059.8969     vibration
    61   +4.876937110878e-02  +5.1724169561e-03    +1135.2143     vibration
    62   +4.957851620580e-02  +5.2151488868e-03    +1144.5929     vibration
    63   +4.970945056469e-02  +5.2220308186e-03    +1146.1033     vibration
    64   +5.011761776576e-02  +5.2434261887e-03    +1150.7990     vibration
    65   +5.068345783969e-02  +5.2729428873e-03    +1157.2772     vibration
    66   +5.214338043031e-02  +5.3483465571e-03    +1173.8264     vibration
    67   +5.397006352313e-02  +5.4412216036e-03    +1194.2101     vibration
    68   +5.427995083037e-02  +5.4568205478e-03    +1197.6337     vibration
    69   +5.945295487988e-02  +5.7109278214e-03    +1253.4038     vibration
    70   +6.013200339329e-02  +5.7434492209e-03    +1260.5414     vibration
    71   +6.057933342565e-02  +5.7647727815e-03    +1265.2214     vibration
    72   +6.073988388569e-02  +5.7724067752e-03    +1266.8968     vibration
    73   +6.931269138750e-02  +6.1663238594e-03    +1353.3517     vibration
    74   +7.085211032212e-02  +6.2344241304e-03    +1368.2979     vibration
    75   +7.193583026023e-02  +6.2819225738e-03    +1378.7226     vibration
    76   +7.439370516650e-02  +6.3883403177e-03    +1402.0786     vibration
    77   +7.618364287973e-02  +6.4647363352e-03    +1418.8456     vibration
    78   +7.841106893117e-02  +6.5585621186e-03    +1439.4380     vibration
    79   +8.006133071087e-02  +6.6272194411e-03    +1454.5065     vibration
    80   +8.483130007367e-02  +6.8217847284e-03    +1497.2087     vibration
    81   +8.736991529978e-02  +6.9231048085e-03    +1519.4459     vibration
    82   +8.786326111753e-02  +6.9426234086e-03    +1523.7297     vibration
    83   +8.954955221108e-02  +7.0089289630e-03    +1538.2821     vibration
    84   +9.031833622563e-02  +7.0389505378e-03    +1544.8711     vibration
    85   +9.133025084975e-02  +7.0782724380e-03    +1553.5012     vibration
    86   +9.932799836329e-02  +7.3816898004e-03    +1620.0936     vibration
    87   +1.012304055359e-01  +7.4520444620e-03    +1635.5347     vibration
    88   +1.049979098622e-01  +7.5894495086e-03    +1665.6916     vibration
    89   +1.050375529671e-01  +7.5908821131e-03    +1666.0061     vibration
    90   +1.080927560022e-01  +7.7004879234e-03    +1690.0617     vibration
    91   +1.115199697598e-01  +7.8216120378e-03    +1716.6454     vibration
    92   +1.145519718367e-01  +7.9272258889e-03    +1739.8250     vibration
    93   +1.181349790555e-01  +8.0502469569e-03    +1766.8250     vibration
    94   +1.185203285814e-01  +8.0633659892e-03    +1769.7043     vibration
    95   +3.398398697986e-01  +1.3653912438e-02    +2996.6874     vibration
    96   +3.400794665380e-01  +1.3658724788e-02    +2997.7436     vibration
    97   +3.402879785029e-01  +1.3662911414e-02    +2998.6624     vibration
    98   +3.404430340519e-01  +1.3666023879e-02    +2999.3456     vibration
    99   +3.406283088745e-01  +1.3669742013e-02    +3000.1616     vibration
   100   +3.406432460370e-01  +1.3670041731e-02    +3000.2274     vibration
   101   +3.406572339388e-01  +1.3670322396e-02    +3000.2890     vibration
   102   +3.408186038824e-01  +1.3673559841e-02    +3000.9995     vibration
   103   +3.409351600719e-01  +1.3675897744e-02    +3001.5126     vibration
   104   +3.410116043049e-01  +1.3677430858e-02    +3001.8491     vibration
   105   +3.431195154717e-01  +1.3719638209e-02    +3011.1125     vibration
   106   +3.431243722693e-01  +1.3719735309e-02    +3011.1338     vibration
   107   +3.447351377331e-01  +1.3751900614e-02    +3018.1933     vibration
   108   +3.447753325447e-01  +1.3752702301e-02    +3018.3693     vibration
