# Duschinsky Rotation Analysis
#
# Total reorganization energy (parallel mode): 0.0132 meV
# Total reorganization energy (cation modes):  0.0134 meV
#
# Mode comparison:
# Mode  Freq_N(cm-1)  Freq_C(cm-1)  D_N        D_C        lambda_N(meV)  lambda_C(meV)  S_N       S_C       Max_J
    8         68.76         66.27      0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    1.000
    9         95.15         92.15     -0.0001    -0.0001        0.0000         0.0000     0.0000    0.0000    1.000
   10        122.80        122.45      0.0000    -0.0000        0.0000         0.0000     0.0000    0.0000    1.000
   11        144.14        140.68     -0.0006     0.0006        0.0000         0.0000     0.0000    0.0000    1.000
   12        180.81        174.67     -0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    1.000
   13        232.96        229.06     -0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    0.999
   14        243.01        242.55      0.0002    -0.0002        0.0000         0.0000     0.0000    0.0000    1.000
   15        269.32        267.19      0.0134    -0.0007        0.0000         0.0000     0.0000    0.0000    0.998
   16        275.48        268.04      0.0005    -0.0130        0.0000         0.0000     0.0000    0.0000    1.000
   17        338.83        335.87     -0.0001    -0.0001        0.0000         0.0000     0.0000    0.0000    0.998
   18        351.86        354.80     -0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    0.996
   19        366.83        366.33     -0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    1.000
   20        435.95        418.49      0.0000    -0.0000        0.0000         0.0000     0.0000    0.0000    0.987
   21        444.00        436.33      0.0003     0.0001        0.0000         0.0000     0.0000    0.0000    0.995
   22        453.49        439.44      0.0000     0.0003        0.0000         0.0000     0.0000    0.0000    0.999
   23        457.69        452.13     -0.0001     0.0000        0.0000         0.0000     0.0000    0.0000    0.983
   24        458.07        452.63      0.0001     0.0001        0.0000         0.0000     0.0000    0.0000    0.998
   25        497.31        486.64      0.0000    -0.0000        0.0000         0.0000     0.0000    0.0000    0.997
   26        498.19        494.45     -0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    1.000
   27        515.99        509.91      0.0001    -0.0001        0.0000         0.0000     0.0000    0.0000    0.999
   28        530.17        519.78     -0.0001    -0.0001        0.0000         0.0000     0.0000    0.0000    0.993
   29        590.25        590.09     -0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    1.000
   30        617.21        613.65     -0.0040     0.0039        0.0000         0.0000     0.0000    0.0000    0.999
   31        640.04        635.55      0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    1.000
   32        644.38        636.80      0.0009    -0.0009        0.0000         0.0000     0.0000    0.0000    0.999
   33        683.79        671.87     -0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    0.994
   34        709.33        719.98     -0.0000    -0.0000        0.0000         0.0000     0.0000    0.0000    0.964
   35        720.37        720.40      0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    0.986
   36        724.62        724.56      0.0000    -0.0000        0.0000         0.0000     0.0000    0.0000    0.996
   37        741.06        741.01     -0.0000    -0.0000        0.0000         0.0000     0.0000    0.0000    1.000
   38        745.10        745.80     -0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    0.981
   39        754.06        751.91      0.0001    -0.0001        0.0000         0.0000     0.0000    0.0000    0.971
   40        780.66        789.02      0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    0.998
   41        785.98        789.88      0.0000     0.0040        0.0000         0.0000     0.0000    0.0000    0.999
   42        792.61        808.39     -0.0066     0.0000        0.0000         0.0000     0.0000    0.0000    0.814
   43        820.89        809.25      0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    0.983
   44        823.09        826.23      0.0000     0.0000        0.0000         0.0000     0.0000    0.0000    0.939
   45        824.38        842.37      0.0001     0.0115        0.0000         0.0000     0.0000    0.0000    0.998
   46        824.43        842.73     -0.0000     0.0002        0.0000         0.0000     0.0000    0.0000    0.764
   47        831.81        849.57     -0.0000     0.0001        0.0000         0.0000     0.0000    0.0000    0.997
