# Spectral Density for Pentacene (Neutral -> Cation)
# Total reorganization energy: 0.0132 meV
#
# Mode  Freq(cm-1)  Lambda(meV)  Huang-Rhys   Delta_Q
    8      68.7609     0.000000     0.000000     0.000004
    9      95.1524     0.000000     0.000000    -0.000084
   10     122.7968     0.000000     0.000000     0.000004
   11     144.1389     0.000000     0.000000    -0.000625
   12     180.8057     0.000000     0.000000    -0.000001
   13     232.9558     0.000000     0.000000    -0.000005
   14     243.0149     0.000000     0.000000     0.000212
   15     269.3208     0.000004     0.000000     0.013401
   16     275.4764     0.000000     0.000000     0.000541
   17     338.8327     0.000000     0.000000    -0.000089
   18     351.8563     0.000000     0.000000    -0.000000
   19     366.8307     0.000000     0.000000    -0.000000
   20     435.9506     0.000000     0.000000     0.000001
   21     443.9973     0.000000     0.000000     0.000269
   22     453.4865     0.000000     0.000000     0.000000
   23     457.6878     0.000000     0.000000    -0.000133
   24     458.0655     0.000000     0.000000     0.000054
   25     497.3141     0.000000     0.000000     0.000001
   26     498.1866     0.000000     0.000000    -0.000002
   27     515.9879     0.000000     0.000000     0.000077
   28     530.1728     0.000000     0.000000    -0.000124
   29     590.2505     0.000000     0.000000    -0.000000
   30     617.2125     0.000002     0.000000    -0.003968
   31     640.0366     0.000000     0.000000     0.000000
   32     644.3779     0.000000     0.000000     0.000900
   33     683.7919     0.000000     0.000000    -0.000000
   34     709.3323     0.000000     0.000000    -0.000000
   35     720.3694     0.000000     0.000000     0.000027
   36     724.6154     0.000000     0.000000     0.000044
   37     741.0624     0.000000     0.000000    -0.000028
   38     745.1042     0.000000     0.000000    -0.000001
   39     754.0646     0.000000     0.000000     0.000110
   40     780.6615     0.000000     0.000000     0.000000
   41     785.9811     0.000000     0.000000     0.000000
   42     792.6078     0.000008     0.000000    -0.006595
   43     820.8914     0.000000     0.000000     0.000032
   44     823.0923     0.000000     0.000000     0.000049
   45     824.3807     0.000000     0.000000     0.000119
   46     824.4284     0.000000     0.000000    -0.000001
   47     831.8114     0.000000     0.000000    -0.000001
   48     831.8334     0.000000     0.000000     0.000124
   49     839.1069     0.000048     0.000000     0.015539
   50     846.0874     0.000000     0.000000    -0.000000
   51     850.1747     0.000000     0.000000    -0.000000
   52     903.3941     0.000000     0.000000    -0.000201
   53     903.4397     0.000000     0.000000    -0.000000
   54     905.5770     0.000000     0.000000     0.000001
   55     905.5795     0.000000     0.000000    -0.000033
   56     916.9197     0.000000     0.000000     0.000000
   57     930.8941     0.000000     0.000000     0.000000
   58     941.4881     0.000000     0.000000     0.000016
   59    1058.8817     0.000000     0.000000    -0.000000
   60    1059.8969     0.000050     0.000000    -0.012531
   61    1135.2143     0.000000     0.000000    -0.000000
   62    1144.5929     0.000000     0.000000     0.000001
   63    1146.1033     0.000000     0.000000     0.000013
   64    1150.7990     0.000665     0.000005    -0.042149
   65    1157.2772     0.000000     0.000000    -0.000000
   66    1173.8264     0.000000     0.000000     0.000059
   67    1194.2101     0.001570     0.000011    -0.062426
   68    1197.6337     0.000000     0.000000    -0.000000
   69    1253.4038     0.000000     0.000000     0.000029
   70    1260.5414     0.000000     0.000000    -0.000003
   71    1265.2214     0.000000     0.000000     0.000000
   72    1266.8968     0.000000     0.000000     0.000000
   73    1353.3517     0.000000     0.000000     0.000012
   74    1368.2979     0.000000     0.000000    -0.000000
   75    1378.7226     0.000506     0.000003     0.030692
   76    1402.0786     0.000000     0.000000     0.000000
   77    1418.8456     0.000000     0.000000     0.000000
   78    1439.4380     0.000000     0.000000     0.000032
   79    1454.5065     0.000000     0.000000     0.000000
   80    1497.2087     0.006294     0.000034     0.099702
   81    1519.4459     0.000000     0.000000     0.000000
   82    1523.7297     0.000009     0.000000    -0.003706
   83    1538.2821     0.000000     0.000000    -0.000000
   84    1544.8711     0.000412     0.000002    -0.024710
   85    1553.5012     0.000000     0.000000     0.000000
   86    1620.0936     0.000000     0.000000    -0.000000
   87    1635.5347     0.002396     0.000012     0.056313
   88    1665.6916     0.001112     0.000005    -0.037673
   89    1666.0061     0.000000     0.000000    -0.000002
   90    1690.0617     0.000000     0.000000     0.000005
   91    1716.6454     0.000000     0.000000     0.000011
   92    1739.8250     0.000000     0.000000     0.000000
   93    1766.8250     0.000000     0.000000    -0.000000
   94    1769.7043     0.000000     0.000000     0.000010
   95    2996.6874     0.000000     0.000000     0.000000
   96    2997.7436     0.000000     0.000000    -0.000003
   97    2998.6624     0.000000     0.000000    -0.000000
   98    2999.3456     0.000000     0.000000    -0.000004
   99    3000.1616     0.000006     0.000000    -0.001507
  100    3000.2274     0.000000     0.000000     0.000000
  101    3000.2890     0.000000     0.000000     0.000000
  102    3000.9995     0.000003     0.000000    -0.001074
  103    3001.5126     0.000000     0.000000     0.000000
  104    3001.8491     0.000000     0.000000    -0.000026
  105    3011.1125     0.000000     0.000000     0.000000
  106    3011.1338     0.000000     0.000000    -0.000000
  107    3018.1933     0.000000     0.000000     0.000001
  108    3018.3693     0.000074     0.000000    -0.005368
