#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
50,0.05000000000000004,-3444.8590208134815,2039.6348328649267,96.18180151963993
100,0.10000000000000007,3934.6343531661896,2083.107552609141,98.23181774537962
150,0.1500000000000001,1827.1502061542396,2149.8393100049,101.37864606066204
200,0.20000000000000015,-11320.839049769358,2273.5319463684823,107.21154340506178
250,0.25000000000000017,-13458.579760189936,2600.4798446878012,122.62922374504775
300,0.3000000000000002,-2737.313637863892,2981.5792137862377,140.60049158537947
350,0.35000000000000026,-2332.3400034769347,3073.190496862739,144.92054834448422
400,0.4000000000000003,-2959.2715371948316,3140.2076848843053,148.08083653569963
450,0.45000000000000034,-5843.352911063652,3433.188489576992,161.8967515965514
500,0.5000000000000003,-5144.64853705189,3717.446160120534,175.30131520181746
550,0.5500000000000004,-3650.219900635112,3634.3433905121997,171.38248916324955
600,0.6000000000000004,-5995.616355235397,4147.766511242206,195.5936665259564
650,0.6500000000000005,-3907.891562477004,4307.596285448726,203.1306605858526
700,0.7000000000000005,-6574.118610088579,4361.965514664587,205.6945167864601
750,0.7500000000000006,-547.8452018864509,4303.810739527451,202.95214793222618
800,0.8000000000000006,-4987.767445230816,4353.7952831443,205.30923821904614
850,0.8500000000000006,-8359.044183170132,4576.838864190125,215.827166770132
900,0.9000000000000007,635.9490846787621,4489.320420469002,211.7001135115499
950,0.9500000000000007,-3924.5979435766926,4501.703006935119,212.28403150245367
1000,1.0000000000000007,-4238.951234207471,4539.9221902235395,214.08630995056495
