# call_index  Electronic(H)         Repulsive(H)          Total(H)
       0        -87.4117511105          2.0023495898        -85.4094015207
       1        -87.1002807716          1.4065581043        -85.6937226674
       2        -86.6992941856          0.9206879384        -85.7786062472
       3        -86.3590148162          0.7309076107        -85.6281072055
       4        -86.1455688219          0.7060587180        -85.4395101039
       5        -86.0808667994          0.6788257414        -85.4020410580
       6        -86.1703637253          0.6215348862        -85.5488288391
       7        -86.4052123503          0.6606484849        -85.7445638655
       8        -86.7428550703          0.9772126970        -85.7656423733
       9        -87.0764406048          1.5423701120        -85.5340704927
      10        -87.1963654574          1.8329721545        -85.3633933029
      11        -86.9759685348          1.3846814503        -85.5912870845
      12        -86.5900683296          0.8105688842        -85.7794994454
      13        -86.2298878657          0.5194676521        -85.7104202136
      14        -85.9882510087          0.4803541627        -85.5078968461
      15        -85.8986322551          0.5055940149        -85.3930382402
      16        -85.9673120061          0.4987009640        -85.4686110421
      17        -86.1873260655          0.5201548283        -85.6671712372
      18        -86.5300574477          0.7475172368        -85.7825402109
      19        -86.9174321210          1.2658632616        -85.6515688595
      20        -87.1841093604          1.7912407498        -85.3928686106
      21        -87.1257918426          1.6524108029        -85.4733810397
      22        -86.8016226237          1.0703898219        -85.7312328018
      23        -86.4310347380          0.6634023659        -85.7676323721
      24        -86.1405381293          0.5427603712        -85.5977777581
      25        -85.9846882696          0.5559715101        -85.4287167596
      26        -85.9810006089          0.5569625082        -85.4240381008
      27        -86.1309579488          0.5435192760        -85.5874386728
      28        -86.4191746629          0.6580888988        -85.7610857641
      29        -86.7933059448          1.0560664078        -85.7372395370
      30        -87.1320193261          1.6418506567        -85.4901686694
      31        -87.2207922337          1.8269468019        -85.3938454318
      32        -86.9873347980          1.3468851887        -85.6404496093
      33        -86.6250334764          0.8420277766        -85.7830056998
      34        -86.3011020704          0.6193472413        -85.6817548291
      35        -86.0955558563          0.6098136087        -85.4857422476
      36        -86.0374149471          0.6359848456        -85.4014301015
      37        -86.1315825105          0.6278212206        -85.5037612899
      38        -86.3692032191          0.6701886819        -85.6990145373
      39        -86.7152622362          0.9399888963        -85.7752733399
      40        -87.0795818904          1.4735515765        -85.6060303139
      41        -87.2807649054          1.8951428523        -85.3856220531
      42        -87.1490527112          1.6255744483        -85.5234782629
      43        -86.7908787289          1.0426177880        -85.7482609410
      44        -86.4120507400          0.6709230278        -85.7411277123
      45        -86.1251864817          0.5661766682        -85.5590098135
      46        -85.9778356572          0.5659268920        -85.4119087651
      47        -85.9842208388          0.5463175036        -85.4379033352
      48        -86.1433472387          0.5293978654        -85.6139493733
      49        -86.4364371647          0.6697475618        -85.7666896030
      50        -86.8022594014          1.0956753053        -85.7065840961
      51        -87.1036027371          1.6445245951        -85.4590781420
      52        -87.1313243099          1.7048334898        -85.4264908200
      53        -86.8604390091          1.1869747539        -85.6734642552
      54        -86.4927896623          0.7167918084        -85.7759978539
      55        -86.1822136202          0.5317317067        -85.6504819135
      56        -85.9988930871          0.5324999101        -85.4663931770
      57        -85.9651082331          0.5534676647        -85.4116405684
      58        -86.0831460369          0.5491587140        -85.5339873229
      59        -86.3406205294          0.6227318943        -85.7178886351
      60        -86.6961649340          0.9391107017        -85.7570542322
      61        -87.0491378909          1.4851442364        -85.5639936545
      62        -87.2087163763          1.8160292666        -85.3926871097
      63        -87.0437191949          1.4812199408        -85.5624992541
      64        -86.6871910515          0.9331941238        -85.7539969277
      65        -86.3273798999          0.6093688787        -85.7180110212
      66        -86.0652371161          0.5261086962        -85.5391284199
      67        -85.9429594327          0.5234364326        -85.4195230001
      68        -85.9728760271          0.5008960123        -85.4719800148
      69        -86.1519751952          0.5037655389        -85.6482096563
      70        -86.4557244888          0.6889883434        -85.7667361454
      71        -86.8134579458          1.1433449169        -85.6701130288
      72        -87.0765414500          1.6304374005        -85.4461040495
      73        -87.0595385359          1.5891659984        -85.4703725376
      74        -86.7814547456          1.0880089462        -85.6934457994
      75        -86.4340141714          0.6758382521        -85.7581759193
      76        -86.1535558288          0.5296664064        -85.6238894224
      77        -86.0025860962          0.5410124175        -85.4615736787
      78        -86.0009698252          0.5662369061        -85.4347329192
      79        -86.1480091688          0.5816208087        -85.5663883601
      80        -86.4272923317          0.6988348487        -85.7284574830
      81        -86.7915103743          1.0575333922        -85.7339769821
      82        -87.1308346694          1.5926892016        -85.5381454679
      83        -87.2574844485          1.8339106932        -85.4235737552
      84        -87.0797727680          1.4801736559        -85.5995991121
      85        -86.7391230734          0.9846595808        -85.7544634926
      86        -86.4065373921          0.7095967263        -85.6969406657
      87        -86.1740251998          0.6474495739        -85.5265756259
      88        -86.0798472425          0.6490425304        -85.4308047120
      89        -86.1337773144          0.6337393802        -85.5000379342
      90        -86.3303639437          0.6623183294        -85.6680456143
