# call_index  iSCC  SCC_error(a.u.)
       0    12  5.240781800000e-06
       1    12  7.085517100000e-06
       2    11  9.047741200000e-06
       3    11  9.027296700000e-06
       4    11  9.833313500000e-06
       5    11  9.962002300000e-06
       6    12  4.791208600000e-06
       7    12  6.116815100000e-06
       8    12  8.032318100000e-06
       9    13  2.814666400000e-06
      10    13  3.045443700000e-06
      11    13  3.010333200000e-06
      12    12  7.878526600000e-06
      13    12  5.594665600000e-06
      14    11  9.975252900000e-06
      15    11  8.655521000000e-06
      16    11  8.573749800000e-06
      17    11  9.320597400000e-06
      18    12  5.953755400000e-06
      19    12  6.242661100000e-06
      20    12  6.828628600000e-06
      21    12  7.272885900000e-06
      22    12  7.584251100000e-06
      23    12  5.147840200000e-06
      24    12  4.367625200000e-06
      25    12  4.031460300000e-06
      26    12  4.132878200000e-06
      27    12  4.770734000000e-06
      28    12  5.734579100000e-06
      29    12  7.692430600000e-06
      30    12  9.717939600000e-06
      31    13  3.273061400000e-06
      32    12  9.913600100000e-06
      33    12  7.947867900000e-06
      34    12  5.482153500000e-06
      35    12  3.604221800000e-06
      36    11  8.525551500000e-06
      37    11  6.817570200000e-06
      38    11  6.876386300000e-06
      39    11  7.616003200000e-06
      40    12  6.278377300000e-06
      41    12  7.511689800000e-06
      42    12  7.497673200000e-06
      43    12  6.314071700000e-06
      44    12  5.477433300000e-06
      45    12  4.742199200000e-06
      46    12  4.046160000000e-06
      47    12  3.708871700000e-06
      48    12  4.104901300000e-06
      49    12  4.943681700000e-06
      50    12  7.054280600000e-06
      51    12  9.096940900000e-06
      52    13  3.173644100000e-06
      53    12  9.029030900000e-06
      54    12  8.548744500000e-06
      55    12  6.884837700000e-06
      56    11  9.677340700000e-06
      57    11  8.726998400000e-06
      58    11  8.003592300000e-06
      59    11  9.411858000000e-06
      60    12  5.204048800000e-06
      61    11  9.822108600000e-06
      62    12  6.540923800000e-06
      63    12  7.899599800000e-06
      64    12  6.669274300000e-06
      65    12  5.332222500000e-06
      66    12  5.223706900000e-06
      67    12  4.752001300000e-06
      68    12  4.451100400000e-06
      69    12  5.049159000000e-06
      70    12  6.135907000000e-06
      71    12  8.023920700000e-06
      72    12  9.429309500000e-06
      73    13  3.063152600000e-06
      74    12  9.606783600000e-06
      75    12  7.916715200000e-06
      76    12  4.679076700000e-06
      77    12  3.838331100000e-06
      78    11  8.254030300000e-06
      79    11  7.925310800000e-06
      80    11  9.400234900000e-06
      81    12  4.699684700000e-06
      82    12  5.795261500000e-06
      83    12  7.438348400000e-06
      84    12  7.686150000000e-06
      85    12  6.650773400000e-06
      86    12  5.451096300000e-06
      87    12  4.630709800000e-06
      88    12  4.209635300000e-06
      89    12  4.345390400000e-06
      90    12  5.174873300000e-06
      91    12  6.558501400000e-06
      92    12  7.186165600000e-06
      93    12  7.357759300000e-06
      94    12  8.854576500000e-06
      95    13  3.580326100000e-06
      96    12  9.357237600000e-06
      97    12  7.553547300000e-06
      98    12  6.097089200000e-06
      99    12  5.131487500000e-06
     100    12  4.764543600000e-06
     101    12  5.184740500000e-06
     102    12  5.910331800000e-06
     103    12  7.035088200000e-06
     104    12  8.380827800000e-06
     105    12  7.843957100000e-06
     106    12  6.376497000000e-06
     107    12  5.651179800000e-06
     108    12  5.478643100000e-06
     109    12  4.577180700000e-06
     110    12  4.120203000000e-06
     111    12  4.579417300000e-06
     112    12  5.715397400000e-06
     113    12  6.433681900000e-06
     114    12  8.211571100000e-06
     115    12  7.559548700000e-06
     116    12  8.426729100000e-06
     117    12  7.397379800000e-06
     118    12  6.694909500000e-06
     119    12  5.886682100000e-06
     120    12  4.499795900000e-06
     121    12  4.125266100000e-06
     122    12  4.738071400000e-06
     123    12  5.534535700000e-06
     124    12  6.844455900000e-06
     125    12  7.967187300000e-06
     126    12  7.806462500000e-06
     127    12  6.853228200000e-06
     128    12  6.595850400000e-06
     129    12  5.737056900000e-06
     130    12  4.590613500000e-06
     131    12  4.333426400000e-06
     132    12  4.888205200000e-06
     133    12  5.657804800000e-06
     134    12  6.750157400000e-06
     135    12  7.515094100000e-06
     136    12  9.910143100000e-06
     137    12  8.311573700000e-06
     138    12  7.087349000000e-06
     139    12  6.018088500000e-06
     140    11  9.216938400000e-06
     141    11  9.315963100000e-06
     142    12  4.390888400000e-06
     143    12  5.790221900000e-06
     144    12  5.725430500000e-06
     145    12  6.175455200000e-06
     146    12  7.436922100000e-06
     147    12  8.226551600000e-06
     148    12  8.345632400000e-06
     149    12  7.533541600000e-06
     150    12  6.864305500000e-06
     151    12  5.692597100000e-06
     152    12  5.321483400000e-06
     153    12  6.574547300000e-06
     154    12  7.294630200000e-06
     155    12  6.240459800000e-06
     156    12  7.626796300000e-06
     157    12  7.801118900000e-06
