# DFTB+ Mass-weighted Hessian eigenvalues and frequencies
# Matrix size: 108 x 108, Number of atoms: 36
# Atom types: C C C C C H C C C H C C H H C C C H C C C H C H H H C C H C C H C H H H
# Index    Eigenvalue           Freq(Hartree)      Freq(cm^-1)    Type
#--------------------------------------------------------------------------------
     1   -1.854961000580e-05  -1.0087588101e-04      -22.1397     imaginary
     2   -1.221592030613e-05  -8.1862130748e-05      -17.9667     imaginary
     3   +9.141179162857e-07  +2.2393452690e-05       +4.9148     vibration
     4   +6.583521315839e-06  +6.0096485128e-05      +13.1897     vibration
     5   +8.418240866970e-06  +6.7956440528e-05      +14.9147     vibration
     6   +4.894139434762e-05  +1.6385440385e-04      +35.9619     vibration
     7   +9.074002850174e-05  +2.2311018933e-04      +48.9670     vibration
     8   +2.451175716023e-04  +3.6669684365e-04      +80.4807     vibration
     9   +3.241343359134e-04  +4.2167948079e-04      +92.5479     vibration
    10   +5.690067408599e-04  +5.5869997866e-04     +122.6205     vibration
    11   +8.140879271549e-04  +6.6827560261e-04     +146.6695     vibration
    12   +1.157220067813e-03  +7.9676074173e-04     +174.8688     vibration
    13   +2.029781586453e-03  +1.0552238616e-03     +231.5949     vibration
    14   +2.247248439996e-03  +1.1103131742e-03     +243.6856     vibration
    15   +2.717965496967e-03  +1.2210738164e-03     +267.9947     vibration
    16   +2.728317060377e-03  +1.2233968795e-03     +268.5046     vibration
    17   +4.297510133627e-03  +1.5354242796e-03     +336.9867     vibration
    18   +4.816385080522e-03  +1.6254759578e-03     +356.7507     vibration
    19   +5.137256903591e-03  +1.6787483209e-03     +368.4427     vibration
    20   +6.866256874205e-03  +1.9407963756e-03     +425.9556     vibration
    21   +7.259520740113e-03  +1.9956019712e-03     +437.9840     vibration
    22   +7.568553151721e-03  +2.0376349525e-03     +447.2092     vibration
    23   +7.814240967618e-03  +2.0704433340e-03     +454.4098     vibration
    24   +7.938704097473e-03  +2.0868669272e-03     +458.0143     vibration
    25   +9.083579786153e-03  +2.2322789640e-03     +489.9286     vibration
    26   +9.248270935913e-03  +2.2524243892e-03     +494.3500     vibration
    27   +9.918010258416e-03  +2.3325567872e-03     +511.9370     vibration
    28   +1.036122665516e-02  +2.3841058652e-03     +523.2508     vibration
    29   +1.321125518693e-02  +2.6921049699e-03     +590.8487     vibration
    30   +1.416815451941e-02  +2.7878961455e-03     +611.8725     vibration
    31   +1.513955822727e-02  +2.8818843619e-03     +632.5005     vibration
    32   +1.516950309132e-02  +2.8847330252e-03     +633.1257     vibration
    33   +1.709617619818e-02  +3.0624530664e-03     +672.1308     vibration
    34   +1.962953644024e-02  +3.2815193608e-03     +720.2103     vibration
    35   +2.006760784904e-02  +3.3179340694e-03     +728.2024     vibration
    36   +2.029590515899e-02  +3.3367537827e-03     +732.3328     vibration
    37   +2.075797758479e-02  +3.3745235895e-03     +740.6223     vibration
    38   +2.107976155941e-02  +3.4005784331e-03     +746.3407     vibration
    39   +2.143438817384e-02  +3.4290632417e-03     +752.5924     vibration
    40   +2.329179621071e-02  +3.5745505238e-03     +784.5232     vibration
    41   +2.333713349619e-02  +3.5780277488e-03     +785.2863     vibration
    42   +2.524012001397e-02  +3.7210512953e-03     +816.6764     vibration
    43   +2.536902459940e-02  +3.7305411414e-03     +818.7591     vibration
    44   +2.641788591573e-02  +3.8068781768e-03     +835.5132     vibration
    45   +2.667803252835e-02  +3.8255761211e-03     +839.6169     vibration
    46   +2.722512041928e-02  +3.8646027071e-03     +848.1823     vibration
    47   +2.741060007015e-02  +3.8777447691e-03     +851.0666     vibration
    48   +2.786083532912e-02  +3.9094621767e-03     +858.0278     vibration
    49   +2.820711396295e-02  +3.9336822460e-03     +863.3435     vibration
    50   +2.880941972416e-02  +3.9754583198e-03     +872.5122     vibration
    51   +2.974401889708e-02  +4.0394270858e-03     +886.5518     vibration
    52   +3.155715487257e-02  +4.1607236330e-03     +913.1733     vibration
    53   +3.163322642681e-02  +4.1657355265e-03     +914.2733     vibration
    54   +3.166931595489e-02  +4.1681111390e-03     +914.7947     vibration
    55   +3.174934453450e-02  +4.1733742389e-03     +915.9498     vibration
    56   +3.184914183807e-02  +4.1799281493e-03     +917.3882     vibration
    57   +3.245422896096e-02  +4.2194475909e-03     +926.0617     vibration
    58   +3.324629183928e-02  +4.2706261548e-03     +937.2941     vibration
    59   +4.310868413088e-02  +4.8629783076e-03    +1067.3004     vibration
    60   +4.315716349654e-02  +4.8657119547e-03    +1067.9003     vibration
    61   +4.879782727461e-02  +5.1739257483e-03    +1135.5454     vibration
    62   +4.888192137843e-02  +5.1783819852e-03    +1136.5235     vibration
    63   +4.923608762973e-02  +5.1971077028e-03    +1140.6333     vibration
    64   +4.984085623271e-02  +5.2289284160e-03    +1147.6171     vibration
    65   +5.058018951488e-02  +5.2675682971e-03    +1156.0976     vibration
    66   +5.061981125835e-02  +5.2696310551e-03    +1156.5503     vibration
    67   +5.338562264873e-02  +5.4116799626e-03    +1187.7265     vibration
    68   +5.354353531083e-02  +5.4196778255e-03    +1189.4818     vibration
    69   +5.885931827591e-02  +5.6823445397e-03    +1247.1305     vibration
    70   +5.933028548303e-02  +5.7050330950e-03    +1252.1100     vibration
    71   +5.981355057659e-02  +5.7282206780e-03    +1257.1991     vibration
    72   +6.006481939506e-02  +5.7402398174e-03    +1259.8370     vibration
    73   +6.874047154269e-02  +6.1408176677e-03    +1347.7537     vibration
    74   +7.023468396768e-02  +6.2072003789e-03    +1362.3230     vibration
    75   +7.088636247309e-02  +6.2359309072e-03    +1368.6286     vibration
    76   +7.371505151382e-02  +6.3591348670e-03    +1395.6688     vibration
    77   +7.855080872937e-02  +6.5644036675e-03    +1440.7201     vibration
    78   +7.901532598647e-02  +6.5837846520e-03    +1444.9737     vibration
    79   +8.199703121580e-02  +6.7068564863e-03    +1471.9849     vibration
    80   +8.447385050163e-02  +6.8073972432e-03    +1494.0510     vibration
    81   +8.535572895404e-02  +6.8428384482e-03    +1501.8294     vibration
    82   +8.570193118299e-02  +6.8567016571e-03    +1504.8721     vibration
    83   +8.784763186825e-02  +6.9420058990e-03    +1523.5942     vibration
    84   +8.996878666960e-02  +7.0253162783e-03    +1541.8787     vibration
    85   +9.010353073780e-02  +7.0305751328e-03    +1543.0329     vibration
    86   +9.590456044228e-02  +7.2533657736e-03    +1591.9298     vibration
    87   +9.907658912939e-02  +7.3723419790e-03    +1618.0420     vibration
