# DFTB+ Mass-weighted Hessian eigenvalues and frequencies
# Matrix size: 108 x 108, Number of atoms: 36
# Atom types: C C C C C C C C C C C C C C C C C C C C C C H H H H H H H H H H H H H H
# Index    Eigenvalue           Freq(Hartree)      Freq(cm^-1)    Type
#--------------------------------------------------------------------------------
     1   -2.622683915480e+01  -1.1994797638e-01   -26325.5379     imaginary
     2   -1.824060279003e+01  -1.0003213594e-01   -21954.5162     imaginary
     3   -1.523376392946e+01  -9.1416283184e-02   -20063.5551     imaginary
     4   -8.084817745678e+00  -6.6597061375e-02   -14616.3655     imaginary
     5   -5.950617058023e+00  -5.7134831448e-02   -12539.6461     imaginary
     6   -1.652196900853e+00  -3.0105847034e-02    -6607.4697     imaginary
     7   -1.338708581799e+00  -2.7099605755e-02    -5947.6760     imaginary
     8   -9.619577645828e-01  -2.2971954706e-02    -5041.7613     imaginary
     9   -6.017030501552e-01  -1.8168164589e-02    -3987.4512     imaginary
    10   -5.608638916003e-01  -1.7540771438e-02    -3849.7543     imaginary
    11   -4.923511631852e-01  -1.6434535476e-02    -3606.9636     imaginary
    12   -3.613829812913e-01  -1.4080037039e-02    -3090.2109     imaginary
    13   -2.977784261823e-01  -1.2781050894e-02    -2805.1164     imaginary
    14   -2.819088384754e-01  -1.2435816217e-02    -2729.3462     imaginary
    15   -2.694690002296e-01  -1.2158341977e-02    -2668.4476     imaginary
    16   -2.657842225939e-01  -1.2074927936e-02    -2650.1404     imaginary
    17   -2.288406357264e-01  -1.1204346261e-02    -2459.0698     imaginary
    18   -1.516905011203e-01  -9.1221905982e-03    -2002.0894     imaginary
    19   -1.367560717482e-01  -8.6615029529e-03    -1900.9802     imaginary
    20   -1.064166898603e-01  -7.6405535170e-03    -1676.9077     imaginary
    21   -8.217997304420e-02  -6.7143340801e-03    -1473.6260     imaginary
    22   -6.637710720214e-02  -6.0343307361e-03    -1324.3825     imaginary
    23   -6.003437917328e-02  -5.7387850864e-03    -1259.5177     imaginary
    24   -3.403654746492e-02  -4.3210839049e-03     -948.3683     imaginary
    25   -2.666736230409e-02  -3.8248110003e-03     -839.4490     imaginary
    26   -1.657294104067e-02  -3.0152251142e-03     -661.7654     imaginary
    27   -1.495464655624e-02  -2.8642308999e-03     -628.6260     imaginary
    28   -1.419069848494e-02  -2.7901132745e-03     -612.3591     imaginary
    29   -1.487888537571e-03  -9.0345213412e-04     -198.2848     imaginary
    30   -5.235349288144e-04  -5.3591113409e-04     -117.6189     imaginary
    31   +1.503030039190e-03  +9.0803748944e-04     +199.2912     vibration
    32   +3.989243817656e-03  +1.4793305955e-03     +324.6755     vibration
    33   +4.496583925323e-03  +1.5705844775e-03     +344.7034     vibration
    34   +5.558731362544e-03  +1.7462555212e-03     +383.2588     vibration
    35   +6.120708402366e-03  +1.8324021553e-03     +402.1658     vibration
    36   +7.331705849952e-03  +2.0054990722e-03     +440.1562     vibration
    37   +7.806833581664e-03  +2.0694617794e-03     +454.1944     vibration
    38   +8.863029648558e-03  +2.2050124713e-03     +483.9443     vibration
    39   +1.067239778883e-02  +2.4196410908e-03     +531.0498     vibration
    40   +1.280932055501e-02  +2.6508368311e-03     +581.7914     vibration
    41   +1.440078789160e-02  +2.8106908247e-03     +616.8753     vibration
    42   +1.668940890605e-02  +3.0258014509e-03     +664.0867     vibration
    43   +2.142016310818e-02  +3.4279251932e-03     +752.3426     vibration
    44   +2.446353317750e-02  +3.6633594972e-03     +804.0145     vibration
    45   +2.692041130185e-02  +3.8429151414e-03     +843.4224     vibration
    46   +3.070461959913e-02  +4.1041366239e-03     +900.7539     vibration
    47   +3.243846506574e-02  +4.2184227166e-03     +925.8368     vibration
    48   +3.459171668178e-02  +4.3561819053e-03     +956.0714     vibration
    49   +3.640025524363e-02  +4.4686070214e-03     +980.7459     vibration
    50   +4.037023898479e-02  +4.7059857661e-03    +1032.8445     vibration
    51   +4.331132151122e-02  +4.8743944051e-03    +1069.8059     vibration
    52   +4.462417492353e-02  +4.9477192545e-03    +1085.8989     vibration
    53   +4.526866112481e-02  +4.9833199780e-03    +1093.7123     vibration
    54   +4.781582377324e-02  +5.1216013372e-03    +1124.0616     vibration
    55   +5.343545492260e-02  +5.4142051127e-03    +1188.2807     vibration
    56   +5.608909904103e-02  +5.5470129666e-03    +1217.4286     vibration
    57   +6.171028093394e-02  +5.8183348394e-03    +1276.9769     vibration
    58   +6.359226386021e-02  +5.9063896185e-03    +1296.3027     vibration
    59   +6.464064405502e-02  +5.9548768785e-03    +1306.9444     vibration
    60   +6.914161537501e-02  +6.1587093676e-03    +1351.6805     vibration
    61   +7.052692439316e-02  +6.2201007846e-03    +1365.1543     vibration
    62   +7.687854404659e-02  +6.4941531166e-03    +1425.3019     vibration
    63   +7.847565565217e-02  +6.5612626865e-03    +1440.0307     vibration
    64   +8.271367519213e-02  +6.7361012771e-03    +1478.4033     vibration
    65   +8.428369927579e-02  +6.7997311774e-03    +1492.3685     vibration
    66   +9.258809700307e-02  +7.1268485205e-03    +1564.1625     vibration
    67   +9.735231816653e-02  +7.3079084454e-03    +1603.9005     vibration
    68   +9.992334231178e-02  +7.4037786325e-03    +1624.9416     vibration
    69   +1.014945447914e-01  +7.4617603923e-03    +1637.6671     vibration
    70   +1.033703469644e-01  +7.5303980996e-03    +1652.7313     vibration
    71   +1.079571123604e-01  +7.6956548053e-03    +1689.0010     vibration
    72   +1.111218025741e-01  +7.8076365407e-03    +1713.5782     vibration
    73   +1.195032281670e-01  +8.0967320593e-03    +1777.0273     vibration
    74   +1.250721138941e-01  +8.2832390323e-03    +1817.9608     vibration
    75   +1.297590614891e-01  +8.4370145284e-03    +1851.7107     vibration
    76   +1.315525683460e-01  +8.4951218932e-03    +1864.4637     vibration
    77   +1.360190452214e-01  +8.6381314796e-03    +1895.8507     vibration
