# Duschinsky Rotation Analysis
#
# Total reorganization energy (parallel mode): 3434454.1053 meV
# Total reorganization energy (cation modes):  1.6217 meV
#
# Mode comparison:
# Mode  Freq_N(cm-1)  Freq_C(cm-1)  D_N        D_C        lambda_N(meV)  lambda_C(meV)  S_N       S_C       Max_J
    8      -5041.76         80.48    -39.4721     6.4377    11186.5570         0.0758   -17.8957    0.0076    0.282
    9      -3987.45         92.55   -120.0138    -6.5323    64685.2369         0.1032  -130.8409    0.0090    0.261
   10      -3849.75        122.62      9.4973     1.2586      377.5867         0.0067    -0.7911    0.0004    0.313
   11      -3606.96        146.67   -136.8774     0.8923    68849.2330         0.0048  -153.9540    0.0003    0.342
   12      -3090.21        174.87     -7.6039     3.6035      155.9548         0.1122    -0.4070    0.0052    0.364
   13      -2805.12        231.59    149.2906     0.5784    49535.7571         0.0051  -142.4300    0.0002    0.293
   14      -2729.35        243.69   -107.0378    -0.0491    24107.0290         0.0000   -71.2391    0.0000    0.350
   15      -2668.45        267.99    -68.8525    -0.4379     9534.7288         0.0039   -28.8193    0.0001    0.255
   16      -2650.14        268.50     84.4259    -0.6031    14139.7321         0.0074   -43.0334    0.0002    0.294
   17      -2459.07        336.99   -101.7348     0.0887    17677.9759         0.0003   -57.9823    0.0000    0.363
   18      -2002.09        356.75     94.0222    -0.4302    10008.7422         0.0067   -40.3209    0.0002    0.252
   19      -1900.98        368.44    -90.3256    -0.2037     8327.7653         0.0016   -35.3333    0.0000    0.513
   20      -1676.91        425.96     45.9148     0.3001     1674.4601         0.0046    -8.0538    0.0001    0.358
   21      -1473.63        437.98    115.9608    -0.0791     8248.0001         0.0003   -45.1435    0.0000    0.430
   22      -1324.38        447.21    121.2092     0.2492     7278.6357         0.0035   -44.3272    0.0001    0.290
   23      -1259.52        454.41    -76.1891    -0.2155     2601.0353         0.0027   -16.6562    0.0000    0.421
   24       -948.37        458.01    -73.7011     0.2249     1379.9214         0.0030   -11.7358    0.0001    0.281
   25       -839.45        489.93     27.8019     0.1043      153.8467         0.0007    -1.4782    0.0000    0.392
   26       -661.77        494.35   -156.9869    -0.0172     3048.5054         0.0000   -37.1549    0.0000    0.229
