# Spectral Density for Pentacene (Neutral -> Cation)
# Total reorganization energy: 0.8172 meV
#
# Mode  Freq(cm-1)  Lambda(meV)  Huang-Rhys   Delta_Q
   31     199.2912     0.000001     0.000000     0.006885
   32     324.6755     0.000002     0.000000    -0.008124
   33     344.7034     0.000000     0.000000     0.003672
   34     383.2588     0.000072     0.000002    -0.041626
   35     402.1658     0.000004     0.000000    -0.009338
   36     440.1562     0.000121     0.000002     0.047029
   37     454.1944     0.000036     0.000001     0.024918
   38     483.9443     0.000039     0.000001     0.024253
   39     531.0498     0.000009     0.000000    -0.010365
   40     581.7914     0.000000     0.000000    -0.002213
   41     616.8753     0.000000     0.000000    -0.000588
   42     664.0867     0.000000     0.000000     0.000179
   43     752.3426     0.000064     0.000001    -0.019944
   44     804.0145     0.000073     0.000001    -0.019931
   45     843.4224     0.000120     0.000001    -0.024483
   46     900.7539     0.000177     0.000002    -0.027772
   47     925.8368     0.000008     0.000000     0.005613
   48     956.0714     0.000212     0.000002    -0.028626
   49     980.7459     0.000008     0.000000     0.005262
   50    1032.8445     0.000505     0.000004    -0.040937
   51    1069.8059     0.000251     0.000002    -0.027856
   52    1085.8989     0.000187     0.000001    -0.023692
   53    1093.7123     0.000155     0.000001    -0.021422
   54    1124.0616     0.000071     0.000001     0.014124
   55    1188.2807     0.000305     0.000002    -0.027657
   56    1217.4286     0.000130     0.000001     0.017623
   57    1276.9769     0.000608     0.000004    -0.036318
   58    1296.3027     0.000008     0.000000     0.004040
   59    1306.9444     0.000069     0.000000     0.011944
   60    1351.6805     0.000557     0.000003     0.032844
   61    1365.1543     0.000101     0.000001    -0.013832
   62    1425.3019     0.000152     0.000001    -0.016268
   63    1440.0307     0.000273     0.000002     0.021608
   64    1478.4033     0.000635     0.000003    -0.032083
   65    1492.3685     0.001130     0.000006    -0.042391
   66    1564.1625     0.000183     0.000001     0.016271
   67    1603.9005     0.000430     0.000002     0.024328
   68    1624.9416     0.000639     0.000003    -0.029267
   69    1637.6671     0.001297     0.000006     0.041384
   70    1652.7313     0.000240     0.000001     0.017621
   71    1689.0010     0.000051     0.000000    -0.007921
   72    1713.5782     0.000522     0.000002     0.025086
   73    1777.0273     0.001406     0.000006     0.039703
   74    1817.9608     0.000011     0.000000     0.003430
   75    1851.7107     0.000687     0.000003     0.026630
   76    1864.4637     0.000175     0.000001     0.013337
   77    1895.8507     0.000013     0.000000    -0.003534
   78    1963.8596     0.002547     0.000010     0.048349
   79    2081.4862     0.000407     0.000002     0.018236
   80    2091.8656     0.000112     0.000000     0.009508
   81    2232.1763     0.000003     0.000000     0.001391
   82    2387.2515     0.000039     0.000000     0.004946
   83    2419.0817     0.051597     0.000172     0.176680
   84    2513.4209     0.000009     0.000000    -0.002257
   85    2946.2822     0.000000     0.000000    -0.000259
   86    3055.9015     0.001743     0.000005    -0.025705
   87    3099.6516     0.001055     0.000003    -0.019721
   88    3152.3075     0.001700     0.000004     0.024607
   89    3361.8575     0.000001     0.000000     0.000503
   90    3500.0256     0.000094     0.000000     0.005207
   91    3523.6230     0.002064     0.000005    -0.024258
   92    3660.3699     0.000076     0.000000    -0.004476
   93    3945.9612     0.001409     0.000003     0.017902
   94    4450.8945     0.000554     0.000001     0.009952
   95    4697.0977     0.000062     0.000000    -0.003162
   96    4945.6149     0.000249     0.000000    -0.006001
   97    5053.4031     0.014776     0.000024     0.045261
   98    5759.9808     0.008026     0.000011     0.029264
   99    7529.1801     0.036817     0.000039    -0.047951
  100    8411.3086     0.002911     0.000003    -0.012069
  101    9805.9641     0.000081     0.000000     0.001727
  102    9959.1033     0.000677     0.000001    -0.004915
  103   11357.0266     0.060241     0.000043     0.040664
  104   11900.1188     0.315450     0.000214     0.088805
  105   13871.9332     0.000835     0.000000    -0.003920
  106   14213.0230     0.005923     0.000003    -0.010188
  107   14244.1568     0.134211     0.000076     0.048393
  108   14766.7942     0.161750     0.000088     0.051246
