# call_index  Electronic(H)         Repulsive(H)          Total(H)
       0        -43.7127349717          1.0057207700        -42.7070142017
       1        -43.5573474142          0.7074913290        -42.8498560852
       2        -43.3565221202          0.4642831897        -42.8922389305
       3        -43.1860209950          0.3689383901        -42.8170826049
       4        -43.0790898050          0.3556356656        -42.7234541394
       5        -43.0470929298          0.3411029610        -42.7059899688
       6        -43.0924634802          0.3123697434        -42.7800937368
       7        -43.2104672751          0.3335535735        -42.8769137017
       8        -43.3796197937          0.4950762044        -42.8845435893
       9        -43.5452528267          0.7787934170        -42.7664594096
      10        -43.6012864728          0.9162536837        -42.6850327891
      11        -43.4877256023          0.6859036595        -42.8018219429
      12        -43.2946156611          0.4011084974        -42.8935071638
      13        -43.1160531639          0.2590311749        -42.8570219890
      14        -42.9975754530          0.2408333035        -42.7567421495
      15        -42.9556897708          0.2534580604        -42.7022317104
      16        -42.9929963341          0.2511413390        -42.7418549950
      17        -43.1055384683          0.2651341958        -42.8404042725
      18        -43.2785393642          0.3842254348        -42.8943139294
      19        -43.4718489501          0.6471365758        -42.8247123743
      20        -43.6012161338          0.9046695096        -42.6965466241
      21        -43.5658454460          0.8222184438        -42.7436270023
      22        -43.4004853432          0.5291780002        -42.8713073430
      23        -43.2146129325          0.3288269764        -42.8857859561
      24        -43.0698991189          0.2702180520        -42.7996810670
      25        -42.9933561342          0.2757087900        -42.7176473442
      26        -42.9937466543          0.2743010573        -42.7194455969
      27        -43.0709358120          0.2678737517        -42.8030620603
      28        -43.2166733814          0.3296165310        -42.8870568504
      29        -43.4040333181          0.5348751599        -42.8691581582
      30        -43.5705703911          0.8281315652        -42.7424388259
      31        -43.6085124059          0.9052403394        -42.7032720665
      32        -43.4876026912          0.6566687186        -42.8309339726
      33        -43.3074854511          0.4108866271        -42.8965988239
      34        -43.1500986008          0.3083766527        -42.8417219481
      35        -43.0535234101          0.3079018643        -42.7456215458
      36        -43.0305035674          0.3218302051        -42.7086733623
      37        -43.0834005060          0.3199488313        -42.7634516747
      38        -43.2072889786          0.3477459639        -42.8595430147
      39        -43.3834412493          0.4927804855        -42.8906607639
      40        -43.5652806816          0.7647775701        -42.8005031115
      41        -43.6605018244          0.9646881570        -42.6958136675
      42        -43.5889728226          0.8147783317        -42.7741944909
      43        -43.4112395035          0.5296430058        -42.8815964977
      44        -43.2266856667          0.3532570646        -42.8734286021
      45        -43.0876011718          0.3036745986        -42.7839265732
      46        -43.0166576203          0.3002850104        -42.7163726099
      47        -43.0210008830          0.2864888846        -42.7345119984
      48        -43.1003725518          0.2779835252        -42.8223890266
      49        -43.2447895370          0.3533582646        -42.8914312724
      50        -43.4217502843          0.5691071331        -42.8526431512
      51        -43.5616922107          0.8321355653        -42.7295566454
      52        -43.5626901920          0.8356340860        -42.7270561060
      53        -43.4226846322          0.5725717219        -42.8501129103
      54        -43.2431636116          0.3504194302        -42.8927441814
      55        -43.0947125485          0.2680555556        -42.8266569929
      56        -43.0102982503          0.2726619091        -42.7376363412
      57        -43.0007605774          0.2849099627        -42.7158506146
      58        -43.0664766054          0.2863250418        -42.7801515635
      59        -43.2000179218          0.3311432508        -42.8688746710
      60        -43.3785999256          0.4988432435        -42.8797566821
      61        -43.5503727022          0.7721723740        -42.7782003282
      62        -43.6192382524          0.9177495384        -42.7014887140
      63        -43.5261390775          0.7280319643        -42.7981071132
      64        -43.3458460646          0.4584906579        -42.8873554067
      65        -43.1685682573          0.3061956643        -42.8623725929
      66        -43.0409658450          0.2683076588        -42.7726581862
      67        -42.9826542802          0.2647505529        -42.7179037272
      68        -42.9997604121          0.2508622613        -42.7488981508
      69        -43.0907919071          0.2538458911        -42.8369460161
      70        -43.2429880320          0.3536652521        -42.8893227799
      71        -43.4194537738          0.5875774723        -42.8318763016
      72        -43.5439788460          0.8258546673        -42.7181241787
      73        -43.5245087445          0.7794286641        -42.7450800805
      74        -43.3804304174          0.5203113460        -42.8601190714
      75        -43.2096896930          0.3251309229        -42.8845587702
      76        -43.0756055779          0.2637120507        -42.8118935272
      77        -43.0072748946          0.2754237597        -42.7318511349
      78        -43.0136825561          0.2897407488        -42.7239418073
      79        -43.0939331482          0.2993338362        -42.7945993120
      80        -43.2387389852          0.3646411915        -42.8740977937
      81        -43.4221651640          0.5540242275        -42.8681409365
      82        -43.5870979005          0.8241070067        -42.7629908938
      83        -43.6369200252          0.9224702041        -42.7144498212
      84        -43.5324371590          0.7154475451        -42.8169896140
      85        -43.3551391136          0.4670624422        -42.8880766714
      86        -43.1876700833          0.3384285667        -42.8492415166
      87        -43.0731177430          0.3123279245        -42.7607898185
      88        -43.0291430854          0.3115197543        -42.7176233311
      89        -43.0600679838          0.3012400353        -42.7588279485
      90        -43.1628103255          0.3172433085        -42.8455670170
      91        -43.3211583904          0.4376522049        -42.8835061855
      92        -43.4930982639          0.6795784404        -42.8135198235
      93        -43.5968235079          0.8810867041        -42.7157368038
      94        -43.5520354335          0.7871781618        -42.7648572717
      95        -43.3951356975          0.5269628461        -42.8681728513
      96        -43.2207235358          0.3452421099        -42.8754814260
      97        -43.0862522762          0.2876287547        -42.7986235215
      98        -43.0167589652          0.2883470690        -42.7284118961
      99        -43.0197946206          0.2865241393        -42.7332704813
