# call_index  iSCC  SCC_error(a.u.)
       0    11  3.711841700000e-06
       1    11  3.558594200000e-06
       2    10  9.397811500000e-06
       3    10  6.453186200000e-06
       4    10  6.117979100000e-06
       5    10  5.915401900000e-06
       6    10  6.573293800000e-06
       7    10  7.805801600000e-06
       8    10  8.392092000000e-06
       9    11  4.661815500000e-06
      10    11  4.591416200000e-06
      11    11  3.931797800000e-06
      12    11  2.486819700000e-06
      13    10  8.506824400000e-06
      14    10  6.376797800000e-06
      15     9  9.783133400000e-06
      16    10  6.358165800000e-06
      17    10  8.797027100000e-06
      18    11  5.066311400000e-06
      19    11  5.972062400000e-06
      20    11  6.385908100000e-06
      21    11  5.650334200000e-06
      22    10  9.847203100000e-06
      23    10  8.685260400000e-06
      24    10  6.149949400000e-06
      25    10  5.988928300000e-06
      26    10  6.513288800000e-06
      27    10  7.524350300000e-06
      28    11  3.214483500000e-06
      29    11  4.619502300000e-06
      30    11  4.979537100000e-06
      31    11  4.793910200000e-06
      32    11  4.350851800000e-06
      33    11  2.489093600000e-06
      34    10  9.348388400000e-06
      35    10  7.591816400000e-06
      36    10  6.637715000000e-06
      37    10  6.388036400000e-06
      38    10  7.880235300000e-06
      39    11  3.806726900000e-06
      40    10  7.567020700000e-06
      41    10  8.672106000000e-06
      42    10  8.762548800000e-06
      43    10  4.871578700000e-06
      44    10  5.719266700000e-06
      45    10  4.649181400000e-06
      46    10  4.861563000000e-06
      47    10  5.161484400000e-06
      48    10  4.302478300000e-06
      49    10  6.292223900000e-06
      50    11  4.394093200000e-06
      51    11  4.470854900000e-06
      52    11  4.320424100000e-06
      53    11  3.223670700000e-06
      54    11  4.892006200000e-06
      55    11  4.962248900000e-06
      56    10  7.366763700000e-06
      57    10  7.287217200000e-06
      58    10  7.814744600000e-06
      59    10  8.816852100000e-06
      60    11  4.928931800000e-06
      61    11  5.797865000000e-06
      62    11  5.647686300000e-06
      63    11  4.930995500000e-06
      64    11  4.786550600000e-06
      65    10  9.633929100000e-06
      66    10  9.014891400000e-06
      67    10  9.047919500000e-06
      68    10  9.946623700000e-06
      69    11  2.796579800000e-06
      70    11  5.017104400000e-06
      71    11  5.094466800000e-06
      72    11  5.052260900000e-06
      73    11  5.062751600000e-06
      74    10  9.420344600000e-06
      75    10  8.750333400000e-06
      76    11  2.488031100000e-06
      77    10  9.570525600000e-06
      78    10  8.975986700000e-06
      79    10  9.419092900000e-06
      80    11  4.873774600000e-06
      81    11  3.845453200000e-06
      82    11  4.310126000000e-06
      83    11  4.408831900000e-06
      84    11  3.538273500000e-06
      85    11  3.280726800000e-06
      86    11  3.616742100000e-06
      87    10  8.260323700000e-06
      88    10  8.098489400000e-06
      89    10  9.072691100000e-06
      90    11  3.201288800000e-06
      91    11  3.955659000000e-06
      92    11  4.053117700000e-06
      93    11  4.222580800000e-06
      94    11  3.940340300000e-06
      95    11  3.015741800000e-06
      96    11  8.045044600000e-06
      97    10  9.567167300000e-06
      98    10  9.101081700000e-06
      99    10  9.274983700000e-06
