frame,time_ps,E_neutral_kJmol,E_charged_kJmol,gap_kJmol,gap_fluctuation_kJmol,gap_cm-1,gap_fluctuation_cm-1
0,600.004,-21029.594968,-20834.9371304,194.657837654,-0.649742797998,16272.1245582,-54.3142565808
1,600.008,-21056.5661733,-20859.7362201,196.829953147,1.52237269544,16453.6992345,127.260419733
2,600.012,-20723.1003301,-20524.8179961,198.282333944,2.97475349192,16575.1087883,248.6699736
3,600.016,-21056.4932742,-20860.5808708,195.912403337,0.604822885326,16376.9980599,50.5592451056
4,600.02,-21382.3685746,-21191.2222476,191.146326989,-4.16125346251,15978.5851887,-347.853626014
5,600.024,-21209.8702125,-21021.7579022,188.112310339,-7.19527011329,15724.9612019,-601.477612842
6,600.028,-20643.3552326,-20453.5418296,189.813403077,-5.49417737447,15867.1614506,-459.277364115
7,600.032,-20563.8712775,-20368.9028023,194.968475216,-0.339105235652,16298.0918306,-28.3469841202
8,600.036,-20709.1857987,-20512.5861577,196.599641022,1.29206057028,16434.4466442,108.00782948
9,600.04,-20479.9039976,-20289.1668133,190.737184305,-4.57039614651,15944.3835311,-382.055283633
10,600.044,-20558.8955461,-20375.5475243,183.348021871,-11.9595585809,15326.6977859,-999.741028851
11,600.048,-20671.9343652,-20490.1841259,181.75023933,-13.5573411218,15193.1335953,-1133.3052194
12,600.052,-21120.3578807,-20934.2573294,186.100551252,-9.20702920021,15556.7912744,-769.647540331
13,600.056,-20898.7221019,-20707.0511487,191.670953171,-3.63662728105,16022.4405129,-303.998301851
14,600.06,-20762.0345144,-20568.2346103,193.799904099,-1.50767635235,16200.4069134,-126.031901384
15,600.064,-20990.2289616,-20797.4266567,192.802304872,-2.50527558014,16117.01413,-209.42468479
16,600.068,-20880.7983838,-20688.0415666,192.756817164,-2.55076328788,16113.2116545,-213.227160226
17,600.072,-21066.9522132,-20874.2015117,192.750701481,-2.55687897107,16112.7004233,-213.73839142
18,600.076,-20702.5455185,-20512.7398706,189.805647919,-5.50193253325,15866.51317,-459.925644765
19,600.08,-21050.5590863,-20864.8900984,185.668987986,-9.63859246589,15520.7154025,-805.723412223
20,600.084,-21441.3998976,-21256.404518,184.995379633,-10.3122008187,15464.4061413,-862.032673399
21,600.088,-21121.8443384,-20930.6512459,191.193092456,-4.1144879961,15982.4944765,-343.944338294
22,600.092,-20776.7565066,-20576.8728289,199.883677715,4.57609726303,16708.9706745,382.531859759
23,600.096,-20566.6264544,-20365.9360961,200.690358326,5.38277787456,16776.4039079,449.965093106
24,600.1,-20938.9968545,-20747.1720233,191.824831181,-3.48274927111,16035.3037101,-291.135104692
25,600.104,-20802.2082415,-20620.0575457,182.150695738,-13.1568847134,15226.609137,-1099.82967772
26,600.108,-20917.946336,-20737.6869053,180.259430693,-15.0481497589,15068.5117248,-1257.9270899
27,600.112,-20693.1053628,-20504.7862175,188.319145283,-6.98843516897,15742.2512531,-584.187561656
28,600.116,-20412.2653888,-20214.7191854,197.546203391,2.23862293899,16513.5730794,187.134264621
29,600.12,-20580.0532095,-20380.9443777,199.108831786,3.80125133386,16644.1986128,317.759798048
30,600.124,-20795.8165436,-20599.5522667,196.264276997,0.956696545379,16406.4124009,79.9735861571
31,600.128,-21401.092522,-21205.8658135,195.226708468,-0.0808719833937,16319.6784448,-6.76036990295
32,600.132,-20628.3136163,-20432.0077723,196.305844034,0.998263582072,16409.8871338,83.4483190872
33,600.136,-20166.044854,-19969.9850754,196.059778682,0.752198230295,16389.3176767,62.8788619216
34,600.14,-20604.5568723,-20411.4691323,193.087739973,-2.21984047918,16140.8746412,-185.564173587
35,600.144,-21101.0183341,-20910.2087268,190.809607273,-4.49797317897,15950.4376184,-376.001196302
36,600.148,-21010.5964934,-20817.0224966,193.573996764,-1.73358368772,16181.5225348,-144.916279964
37,600.152,-20450.82363,-20252.0909554,198.73267459,3.42509413792,16612.7543267,286.315511913
38,600.156,-20959.8277717,-20761.5427206,198.285051093,2.97747064138,16575.3359243,248.897109558
39,600.16,-20869.2280469,-20676.5420629,192.685984072,-2.62159638019,16107.2904704,-219.148344366
40,600.164,-20936.9273731,-20748.627001,188.300372038,-7.00720841411,15740.6819323,-585.756882403
41,600.168,-21026.9390803,-20838.3623784,188.576701828,-6.73087862365,15763.781299,-562.657515721
42,600.172,-20602.4191862,-20407.0531557,195.366030578,0.0584501259376,16331.3248637,4.88604898298
43,600.176,-20910.5550372,-20708.1760261,202.379011109,7.07143065729,16917.5642575,591.125442708
44,600.18,-20862.4789135,-20660.6304963,201.848417225,6.54083677322,16873.2100723,546.771257563
45,600.184,-20618.3488702,-20420.4961427,197.852727488,2.54514703637,16539.196493,212.757678262
46,600.188,-21132.4041532,-20937.7751573,194.628995926,-0.67858452611,16269.713578,-56.7252367805
47,600.192,-21252.2246742,-21059.2239056,193.000768628,-2.30681182426,16133.6044044,-192.834410312
48,600.196,-20898.9182087,-20706.477211,192.440997693,-2.86658275931,16086.8112083,-239.627606461
49,600.2,-20926.9519949,-20736.2849249,190.667069931,-4.6405105208,15938.5224271,-387.916387637
50,600.204,-20643.4027838,-20452.5557439,190.847039977,-4.46054047491,15953.5667482,-372.872066593
51,600.208,-21084.9168156,-20889.9997847,194.91703088,-0.39054957155,16293.79142,-32.6473947877
52,600.212,-21347.5650485,-21148.8192335,198.74581492,3.43823446812,16613.8527725,287.413957741
53,600.216,-20624.9656412,-20425.83861,199.12703116,3.81945070785,16645.7199617,319.281146914
54,600.22,-20597.7053712,-20401.946684,195.758687217,0.451106765491,16364.1483956,37.7095809014
55,600.224,-20600.8373273,-20408.462396,192.374931256,-2.93264919604,16081.2884854,-245.150329309
56,600.228,-21190.5465819,-20998.891588,191.654993916,-3.6525865356,16021.1064234,-305.332391355
57,600.232,-20987.0170623,-20794.1100353,192.907026966,-2.40055348557,16125.7682135,-200.67060128
58,600.236,-20754.9862562,-20560.5157648,194.470491372,-0.837089079555,16256.463632,-69.9751827769
59,600.24,-21110.6683196,-20915.0623562,195.605963396,0.298382944305,16351.3816811,24.9428663869
60,600.244,-20331.4642587,-20133.7047854,197.759473299,2.45189284694,16531.4010515,204.962236762
61,600.248,-20586.5182485,-20386.4834522,200.034796241,4.72721578935,16721.6031968,395.164382102
62,600.252,-21067.3314088,-20865.8057178,201.525690975,6.21811052325,16846.2322645,519.793449729
63,600.256,-20811.0413902,-20608.603854,202.437536139,7.12995568709,16922.4565679,596.017753166
64,600.26,-20389.8629244,-20188.8693216,200.993602742,5.68602229043,16801.7531615,475.314346782
65,600.264,-20437.5158439,-20237.7933742,199.722469619,4.41488916668,16695.49473,369.055915223
66,600.268,-20691.4055659,-20490.7565631,200.64900274,5.34142228867,16772.9468508,446.508036083
67,600.272,-20782.2905138,-20581.6852428,200.605270986,5.29769053417,16769.2911616,442.852346875
68,600.276,-20953.1515302,-20753.6766634,199.474866855,4.16728640314,16674.7967552,348.35794047
69,600.28,-20554.8304101,-20354.8844098,199.946000282,4.63841982981,16714.1804343,387.741619518
70,600.284,-21025.9588663,-20824.0165056,201.942360727,6.63478027484,16881.0631358,554.624321063
71,600.288,-20959.044143,-20755.7580349,203.286108105,7.97852765305,16993.391645,666.952830289
72,600.292,-20315.051055,-20112.0159805,203.035074424,7.72749397186,16972.406868,645.968053216
73,600.296,-20880.7611317,-20678.6636353,202.097496311,6.78991585905,16894.031458,567.592643223
74,600.3,-21070.2884169,-20867.7374768,202.550940043,7.24335959128,16931.936394,605.497579288
75,600.304,-20795.2716437,-20588.562369,206.709274687,11.4016942349,17279.5460258,953.107211101
76,600.308,-20705.4821904,-20495.1676784,210.314511996,15.0069315441,17580.9203309,1254.48151621
77,600.312,-21132.8712726,-20924.6030744,208.268198223,12.9606177714,17409.8618573,1083.42304255
78,600.316,-20935.5454884,-20731.9185578,203.626930625,8.31935017352,17021.882183,695.44336821
79,600.32,-20824.7266062,-20623.0204393,201.70616688,6.3985864279,16861.318872,534.880057263
80,600.324,-21066.4146549,-20862.3483139,204.066340991,8.75876053883,17058.6140212,732.175206408
81,600.328,-20673.1374284,-20464.905506,208.231922318,12.9243418665,17406.8294284,1080.3906137
82,600.332,-20652.5714858,-20442.8421263,209.729359504,14.421779052,17532.0054023,1205.56658757
83,600.336,-20842.2605693,-20633.8986619,208.361907366,13.0543269139,17417.6953299,1091.25651516
84,600.34,-20939.6765279,-20733.4987783,206.177749652,10.8701692006,17235.1140026,908.675187873
85,600.344,-20464.2872073,-20260.1105771,204.176630166,8.86904971391,17067.8334763,741.394661508
86,600.348,-20618.250382,-20415.8838267,202.366555338,7.0589748865,16916.5230363,590.084221578
87,600.352,-20980.3982518,-20781.120822,199.277429794,3.96984934191,16658.2923057,331.853490963
88,600.356,-20655.3044037,-20458.4035737,196.900829999,1.59324954751,16459.6240766,133.185261902
89,600.36,-20826.7358157,-20627.8773993,198.858416365,3.55083591317,16623.2655183,296.826703518
90,600.364,-20977.8959655,-20774.9478495,202.948115998,7.64053554602,16965.1377112,638.698896456
91,600.368,-21320.0279822,-21115.7790739,204.248908215,8.94132776318,17073.8754494,747.436634617
92,600.372,-20859.1326359,-20657.268998,201.86363787,6.55605741801,16874.4824189,548.043604111
93,600.376,-20568.2995297,-20370.4736129,197.82591677,2.51833631844,16536.955292,210.516477255
94,600.38,-21225.1537572,-21030.0906411,195.063116196,-0.244464255875,16306.0031987,-20.4356159997
