#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
1,0.001,-55094.11368607482,586854.2401991059,3064.999523875029
2,0.002,-60970.56905013938,6410.4603551261425,33.480303268517325
3,0.003,-67558.1278435418,13012.232350225067,67.9597815369961
4,0.004,-72724.06598703381,19223.046490412504,100.3973803112544
5,0.005,-74897.43486570899,23099.259960265692,120.64191741386983
6,0.006,-73594.89168620604,23586.09895593383,123.18456120463529
7,0.007,-69551.08222929573,20825.39761433046,108.76607750295041
8,0.008,-64411.68785281264,16065.493634661369,83.90623594088402
9,0.009000000000000001,-60073.325981698144,11200.22928330554,58.49612232328033
10,0.010000000000000002,-57990.9969303123,7960.010288868239,41.57323245571848
