# call_index  Electronic(H)         Repulsive(H)          Total(H)
       0        -87.4133454695          2.0023495898        -85.4109958798
       1        -87.1014870991          1.4054134387        -85.6960736604
       2        -86.6998380948          0.9191361858        -85.7807019091
       3        -86.3588422862          0.7291202989        -85.6297219873
       4        -86.1439173193          0.7033582208        -85.4405590985
       5        -86.0781063729          0.6741950611        -85.4039113118
       6        -86.1666898255          0.6146303739        -85.5520594515
       7        -86.3997298694          0.6523167288        -85.7474131406
       8        -86.7353107953          0.9687082297        -85.7666025657
       9        -87.0665557256          1.5335340678        -85.5330216578
