#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
50,0.05000000000000004,-5366.781785202897,17448.50200141848,91.12935830289943
100,0.10000000000000007,-9373.2928098017,24168.212505201598,126.22480123211058
150,0.1500000000000001,-8410.369425962705,25333.31411342356,132.30984864227287
200,0.20000000000000015,-3500.467709867604,24463.21191635255,127.765512694661
250,0.25000000000000017,-574.0107817793541,25009.3658339904,130.61794415524744
300,0.3000000000000002,1206.150082552238,27009.180947650715,141.06250082936702
350,0.35000000000000026,-446.7522621605822,30458.30586905255,159.0764564553764
400,0.4000000000000003,4663.985021816305,28800.41135914177,150.4176694254189
450,0.45000000000000034,8126.878148399519,28078.064902023594,146.64502641548023
500,0.5000000000000003,8044.107501632388,31982.95900118129,167.03935559446023
550,0.5500000000000004,7355.7209100913315,34902.002738122945,182.28482380622793
600,0.6000000000000004,5587.599849469872,38285.97679882732,199.95851204838058
650,0.6500000000000005,8600.658980788015,36743.80567501832,191.90412062299913
700,0.7000000000000005,10988.121578733997,36813.95264936184,192.27048151508578
750,0.7500000000000006,12898.808335794798,37259.8158011573,194.5991182605626
800,0.8000000000000006,11226.207330710859,40680.04489635964,212.4621578882256
850,0.8500000000000006,13529.93094359411,39715.72413294369,207.42574087310794
900,0.9000000000000007,15659.97594328216,39289.40540927704,205.19918000747637
950,0.9500000000000007,16052.802228967688,41056.717127290074,214.42942698057638
1000,1.0000000000000007,15464.676336473094,43262.968641956184,225.952151668918
1050,1.0499999999999952,15686.084925917094,44430.50839971264,232.04993295173637
1100,1.0999999999999897,15963.413575299623,44902.20279242348,234.51348009861007
1150,1.1499999999999841,18350.373381337493,44247.07138213828,231.09188522367407
1200,1.1999999999999786,19471.616905049363,44596.45459488807,232.91663029216795
1250,1.2499999999999731,19820.353733892996,45677.83049044243,238.5643983033176
1300,1.2999999999999676,19879.837350377325,46351.311720729085,242.08182990518696
1350,1.3499999999999621,20606.37109636372,46653.97284980188,243.66255669040856
1400,1.3999999999999566,21227.89477243797,47066.740974663735,245.8183460151021
1450,1.449999999999951,20997.288522479103,48514.671722125226,253.38054246454377
1500,1.4999999999999456,21480.572294977414,49082.044137979574,256.34379307318454
1550,1.54999999999994,21541.618633964354,49740.04016057552,259.78034913399443
1600,1.5999999999999346,23104.74096450163,48604.40994882524,253.84922378823265
1650,1.649999999999929,23315.120013102787,49294.87432383298,257.45535429848235
1700,1.6999999999999236,23358.82604658143,49982.143577588664,261.0447974536011
1750,1.749999999999918,23438.788895650723,50645.019708515814,264.50684115458984
1800,1.7999999999999126,23667.81754526418,50787.860282386835,265.2528633538265
1850,1.849999999999907,23647.197392861577,51628.123004346235,269.64135485021876
1900,1.8999999999999015,24670.5373041121,51078.76449737464,266.77218658497225
1950,1.949999999999896,24458.158736789235,51965.94231297976,271.4057044096021
2000,1.9999999999998905,24830.098458144705,52087.43530847109,272.04023330592355
2050,2.0499999999998852,25425.03738330619,51982.90772538288,271.49431070632113
2100,2.0999999999998797,25597.02795606258,52356.06105901257,273.4432014385741
2150,2.1499999999998742,25882.39014900697,52775.83364173376,275.63557337362175
2200,2.1999999999998687,26127.54475281143,52966.4215595465,276.63096854560547
2250,2.249999999999863,26142.120726180263,53410.88747128749,278.95230784001467
2300,2.2999999999998577,26614.268700537876,53599.26975591989,279.93618351672256
2350,2.349999999999852,26683.771532041348,53708.77427269774,280.50809945222363
2400,2.3999999999998467,26364.778347200518,54058.89367138613,282.33668944403365
2450,2.449999999999841,26998.68599426146,53664.79532949549,280.27840793644
2500,2.4999999999998357,27308.77573327897,53736.6529299101,280.65370301990544
2550,2.54999999999983,27333.249204785774,53873.12828118392,281.366481181878
2600,2.5999999999998247,27343.43256654103,54307.47181024108,283.6349536893046
2650,2.649999999999819,27162.204965093515,54689.6547309222,285.63100379797106
2700,2.6999999999998137,27838.537542258076,54360.08319828616,283.9097304026055
2750,2.749999999999808,27759.385461040278,54517.83855158193,284.7336489323178
2800,2.7999999999998026,28035.616068962365,54675.30199506915,285.55604288682395
2850,2.849999999999797,28167.017273104117,54621.53385747221,285.27522474690835
2900,2.8999999999997916,28075.765947876404,54634.26863704184,285.3417354588431
2950,2.949999999999786,28267.315385008944,54733.18280768333,285.8583405460243
3000,2.9999999999997806,28635.789833559007,54829.479749144775,286.36127647033453
3050,3.049999999999775,28691.42388794181,55108.76063909705,287.8198938511013
3100,3.0999999999997696,28456.160065506163,55606.30789646393,290.4184643350045
3150,3.149999999999764,29116.968092856594,55016.6055154342,287.3385896518619
3200,3.1999999999997586,28905.387070143493,55440.3286973903,289.55159462309575
3250,3.249999999999753,28670.124054751373,55988.30217898742,292.41352923163066
3300,3.2999999999997476,28504.480054341242,56203.844972015286,293.5392577562827
3350,3.349999999999742,29008.46034864257,55723.43602666441,291.0301965824788
3400,3.3999999999997366,28557.818883450833,56322.428843611146,294.15859299335494
3450,3.449999999999731,29650.838853197278,55527.30859767402,290.0058698667505
3500,3.4999999999997256,29508.203273110543,55955.20698509105,292.2406809388408
3550,3.54999999999972,29366.13475101976,56304.73474074537,294.0661809204003
3600,3.5999999999997145,29978.937731892598,55960.390977664705,292.26775569383386
3650,3.649999999999709,29672.516076036045,56111.405608962654,293.05646904260226
3700,3.6999999999997035,28950.840174117984,56566.572990599256,295.4336995581836
3750,3.749999999999698,29318.549724011755,56198.34051515638,293.51050929287203
3800,3.7999999999996925,29665.17326416917,55870.986883418904,291.80081946414435
3850,3.849999999999687,29794.19396880389,56110.81156132415,293.0533664736773
3900,3.8999999999996815,29771.07998825553,56320.516999936095,294.1486078904923
3950,3.949999999999676,30169.883596105108,56075.43271107235,292.86859118920415
4000,3.9999999999996705,29731.57897567917,56543.88311405452,295.31519575256607
