#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
1,0.001,-1255.354998065704,4437.346357224515,23.168157692416223
2,0.002,-8000.401491068703,8419.819506506969,43.96134319126029
3,0.003,-14467.322793682102,15570.537763234226,81.29648785856094
4,0.004,-18652.599785623963,21338.865222973793,111.41392955683114
5,0.005,-19747.386744490046,24295.608079515965,126.85159865939389
6,0.006,-18098.894115421866,24188.868402349344,126.29429222587477
7,0.007,-14816.616902809106,21832.503548462944,113.99130117654539
8,0.008,-11319.418443059247,18511.958431044837,96.65415714678693
9,0.009000000000000001,-8875.250996256778,15625.696606678011,81.58448178108995
10,0.010000000000000002,-8201.8153234402,14270.845685532602,74.51056929740324
