# MULLIKEN CHARGES of excited state S 1
#  Natoms =  36
# Atom        netCharge
#=========================================
    1      -0.49300491
    2      -0.22951780
    3      -0.16113979
    4      -0.15572667
    5      -0.08370206
    6      -0.09094355
    7       0.15607784
    8       0.11466250
    9      -0.16136419
   10      -0.20839277
   11      -0.12288946
   12      -0.07775095
   13       0.14211564
   14       0.16260972
   15       0.37457104
   16       0.37704640
   17      -0.05629298
   18      -0.06026089
   19      -0.18280269
   20      -0.16457496
   21      -0.11638013
   22      -0.09777322
   23      -0.05570852
   24      -0.03700178
   25       0.10112296
   26       0.07912544
   27       0.20978919
   28       0.22033254
   29       0.09115232
   30       0.07704315
   31       0.07694037
   32       0.07176042
   33       0.07826230
   34       0.07865759
   35       0.06737932
   36       0.07657860
# MULLIKEN CHARGES of excited state S 2
#  Natoms =  36
# Atom        netCharge
#=========================================
    1      -0.18418296
    2      -0.53894085
    3      -0.13112437
    4      -0.18540780
    5      -0.10758590
    6      -0.04846499
    7       0.12228413
    8       0.13472482
    9      -0.19407451
   10      -0.17683846
   11      -0.11715606
   12      -0.06572966
   13       0.16614230
   14       0.14002349
   15       0.41472264
   16       0.31783171
   17      -0.05188782
   18      -0.07067861
   19      -0.16782214
   20      -0.17729341
   21      -0.10309756
   22      -0.10532602
   23      -0.03559795
   24      -0.06432635
   25       0.07991439
   26       0.10230000
   27       0.22379787
   28       0.20532240
   29       0.08773712
   30       0.08215849
   31       0.09779313
   32       0.05238362
   33       0.09601985
   34       0.06131199
   35       0.08153762
   36       0.05952984
# MULLIKEN CHARGES of excited state S 3
#  Natoms =  36
# Atom        netCharge
#=========================================
    1      -0.46188360
    2      -0.51685909
    3      -0.08703322
    4      -0.12405574
    5      -0.10227925
    6      -0.05843641
    7       0.12590087
    8       0.11656733
    9      -0.14369091
   10      -0.15052285
   11      -0.08914703
   12      -0.05334670
   13       0.13274761
   14       0.13186463
   15       0.38170549
   16       0.32497179
   17      -0.05885111
   18      -0.06969895
   19      -0.15628041
   20      -0.14926309
   21      -0.07245411
   22      -0.07214454
   23      -0.06033463
   24      -0.06966808
   25       0.09839183
   26       0.09960343
   27       0.22029247
   28       0.21490483
   29       0.10152636
   30       0.09050558
   31       0.08869350
   32       0.06105397
   33       0.08893566
   34       0.07008622
   35       0.07794917
   36       0.07024896
# MULLIKEN CHARGES of excited state S 4
#  Natoms =  36
# Atom        netCharge
