#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
50,0.05000000000000004,-44532.149311063265,4429.318705074026,128.91097202517867
100,0.10000000000000007,-46415.62665177763,6875.592585298168,200.1073714574993
150,0.1500000000000001,-44066.37459484135,6014.6922063899665,175.05171119652786
200,0.20000000000000015,-42810.4508290889,5560.398458948281,161.82993772139247
250,0.25000000000000017,-43941.03094659974,6451.958911123702,187.77792931149426
300,0.3000000000000002,-43852.252461468255,7474.31503871238,217.53260061396298
350,0.35000000000000026,-42282.94388383893,7262.710411524107,211.37405570171336
400,0.4000000000000003,-41327.90112166761,6335.220682037819,184.38037777231062
450,0.45000000000000034,-42177.12382089119,7187.1000229502615,209.17348957963904
500,0.5000000000000003,-42577.354350932146,7579.057567512762,220.58102907420556
550,0.5500000000000004,-43653.662585885635,7474.022366517459,217.52408267708734
600,0.6000000000000004,-42259.31142898296,7527.939222963206,219.09327984616914
650,0.6500000000000005,-41999.87979626562,7637.484473227211,222.2814867991024
700,0.7000000000000005,-43572.59364683477,7874.357646401988,229.17544793259881
750,0.7500000000000006,-42708.05916024772,8090.920951843343,235.4783103067716
800,0.8000000000000006,-42553.16056475835,7926.190311971701,230.68398677257738
850,0.8500000000000006,-44214.661651629576,8209.129236505441,238.91864637014038
900,0.9000000000000007,-41011.15969514959,8226.68715865927,239.42965245534248
950,0.9500000000000007,-42133.442441910294,8442.397451272567,245.70768872867748
