#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
50,0.05000000000000004,-50854.40415511191,592.074494397154,17.256802084545505
100,0.10000000000000007,-50356.91803726956,1038.1685353901826,30.258808841060205
150,0.1500000000000001,-49918.03968602512,1514.8793279236954,44.153181721779944
200,0.20000000000000015,-49475.92647728214,1941.6972323905018,56.59335972847424
250,0.25000000000000017,-49035.51828907741,2320.7524562180984,67.64143060233651
300,0.3000000000000002,-48724.563845187164,2850.4340316480584,83.0797077136179
350,0.35000000000000026,-48312.12744187747,3145.4725740014055,91.6790001690184
400,0.4000000000000003,-47881.680305177084,3407.9666239076655,99.32973991624455
450,0.45000000000000034,-47567.22419914754,3757.742699578296,109.52443090340306
500,0.5000000000000003,-47300.803972203445,4184.232893584261,121.95505735093158
550,0.5500000000000004,-46883.73517897217,4449.878161862934,129.6976435672972
600,0.6000000000000004,-46577.35200854142,4708.756771043214,137.24300646474003
650,0.6500000000000005,-46433.9553660469,5057.087300414895,147.39556507392737
700,0.7000000000000005,-46065.8724310221,5258.565196189028,153.26790749821134
750,0.7500000000000006,-45722.27332852485,5459.265648368287,159.117590290345
800,0.8000000000000006,-45449.03791138645,5733.780385490312,167.11868902476903
850,0.8500000000000006,-45207.70444703325,5900.685083057171,171.98334940137394
900,0.9000000000000007,-44975.55383856573,6027.889518310237,175.69089259773068
950,0.9500000000000007,-44728.1744354266,6212.979903224995,181.08559912613552
1000,1.0000000000000007,-44578.016322055475,6596.911893287825,192.27580986673823
1050,1.0499999999999952,-44518.015156555586,6877.52911728548,200.45477373339284
1100,1.0999999999999897,-44273.58993374024,6935.188353711708,202.13532920532978
1150,1.1499999999999841,-44050.76063730115,7040.922911044412,205.21710412834065
1200,1.1999999999999786,-43915.73376817504,7173.052073822823,209.0681850873091
1250,1.2499999999999731,-43827.841560574554,7355.318160753458,214.38057367802028
1300,1.2999999999999676,-43563.167194131034,7487.2933416795395,218.2271666302
1350,1.3499999999999621,-43554.370490419475,7802.5718750659435,227.41638066262445
1400,1.3999999999999566,-43412.54672713071,7983.959180982166,232.7031560067174
1450,1.449999999999951,-43243.44016979929,8037.284981107429,234.25740768867624
