# call_index  Electronic(H)         Repulsive(H)          Total(H)
       0       -407.8846517467          9.3493876647       -398.5352640820
       1       -405.1694109922          5.1187501152       -400.0506608770
       2       -404.4271125256          4.2801276731       -400.1469848526
       3       -404.1464678418          3.9849291316       -400.1615387102
       4       -404.1244993601          3.9619348414       -400.1625645187
       5       -404.0995213524          3.9354842813       -400.1640370710
       6       -404.0989190665          3.9339104134       -400.1650086531
       7       -404.0986499291          3.9327537637       -400.1658961654
       8       -404.0943157707          3.9274444518       -400.1668713189
       9       -404.0866715405          3.9187963746       -400.1678751658
      10       -404.0801008945          3.9112948716       -400.1688060229
      11       -404.0796918607          3.9100319056       -400.1696599551
      12       -404.0869814043          3.9166736023       -400.1703078019
      13       -404.0987160757          3.9279894156       -400.1707266601
      14       -404.1090079182          3.9380215158       -400.1709864024
      15       -404.1147481964          3.9435374873       -400.1712107091
      16       -404.1154815158          3.9440555604       -400.1714259554
      17       -404.1129518920          3.9413317241       -400.1716201679
      18       -404.1126708705          3.9411177418       -400.1715531286
      19       -404.1119757547          3.9404475707       -400.1715281840
      20       -404.1077702552          3.9361373593       -400.1716328959
      21       -404.1089601028          3.9373700696       -400.1715900331
      22       -404.1100733805          3.9385118768       -400.1715615037
      23       -404.1109538440          3.9394087733       -400.1715450707
      24       -404.1113875542          3.9398494427       -400.1715381115
      25       -404.1109393519          3.9393941751       -400.1715451768
      26       -404.1105392314          3.9389878482       -400.1715513832
      27       -404.1100797659          3.9385205086       -400.1715592574
      28       -404.1097364227          3.9381700326       -400.1715663901
