# call_index  iSCC  SCC_error(a.u.)
       0    13  2.747593100000e-06
       1    12  9.634952200000e-06
       2    12  8.745177500000e-06
       3    12  8.537378900000e-06
       4    12  8.437085600000e-06
       5    12  8.375702400000e-06
       6    12  8.402295200000e-06
       7    12  8.423087600000e-06
       8    12  8.452516800000e-06
       9    12  8.461513700000e-06
      10    12  8.359831800000e-06
      11    12  8.250232600000e-06
      12    12  8.139657500000e-06
      13    12  8.055989200000e-06
      14    12  8.013920900000e-06
      15    12  7.992080300000e-06
      16    12  7.983538600000e-06
      17    12  7.969320200000e-06
      18    12  7.983540500000e-06
      19    12  7.982905200000e-06
      20    12  7.978465600000e-06
      21    12  7.977715600000e-06
      22    12  7.977819500000e-06
      23    12  7.978796200000e-06
      24    12  7.979814600000e-06
      25    12  7.977460500000e-06
      26    12  7.975882200000e-06
      27    12  7.974617400000e-06
      28    12  7.973991100000e-06
