#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
50,0.05000000000000004,-61089.593336400125,1062.3340700268545,18.263210469447404
100,0.10000000000000007,-60248.63786009692,1828.0403807536595,31.426918482910843
150,0.1500000000000001,-59464.7945423782,2535.7446464356967,43.59347919008089
200,0.20000000000000015,-58772.2320970089,3297.9701697165974,56.69734693717468
250,0.25000000000000017,-58007.303962200276,3872.1685168919425,66.5687287948676
300,0.3000000000000002,-57507.577007612104,4675.976399680122,80.3874633667432
350,0.35000000000000026,-56792.35023048138,5243.826301495024,90.1497053624635
400,0.4000000000000003,-56200.14331512127,5830.742873887829,100.23973371799339
450,0.45000000000000034,-55666.08818828059,6445.934497355107,110.81585512407793
500,0.5000000000000003,-55058.03795223759,6938.410600296724,119.2823017654519
550,0.5500000000000004,-54589.40130701542,7523.135851086095,129.3346578211103
600,0.6000000000000004,-54098.982595484966,8058.901266450625,138.54531651984337
650,0.6500000000000005,-53675.127626688976,8567.614784256903,147.29091012027655
700,0.7000000000000005,-53240.28147727493,8934.522340473606,153.5986339437692
750,0.7500000000000006,-52869.93321898876,9452.206536892467,162.49844776190778
800,0.8000000000000006,-52398.845651441625,9836.864433815203,169.11132814336568
850,0.8500000000000006,-51941.738165354436,10195.525649745663,175.27728427579052
900,0.9000000000000007,-51543.92035060215,10443.811162177964,179.5457067033524
950,0.9500000000000007,-51403.52396662491,10894.729727796954,187.29771325273543
1000,1.0000000000000007,-51054.20646409552,11107.356225474556,190.9531005626514
1050,1.0499999999999952,-50826.37844181615,11492.014725235354,197.5659913078534
1100,1.0999999999999897,-50426.629374246775,11760.10746987002,202.1749315261323
1150,1.1499999999999841,-50272.841906762966,12102.538312263197,208.06186175110258
1200,1.1999999999999786,-50004.30240380298,12316.296817060122,211.73671006189988
1250,1.2499999999999731,-49875.780417477596,12697.284668126136,218.2864965242179
1300,1.2999999999999676,-49434.007500411244,12872.709815960467,221.30233352589792
1350,1.3499999999999621,-49230.84743640032,13106.968506451754,225.32961259888424
1400,1.3999999999999566,-48930.062525821966,13369.62514891639,229.84509758413824
1450,1.449999999999951,-48726.676243409514,13657.823529454035,234.79968562684297
1500,1.4999999999999456,-48267.36748634273,13611.939829412835,234.01087192443742
1550,1.54999999999994,-48305.456816811624,13780.176495932483,236.90312751146655
1600,1.5999999999999346,-48382.84840001488,14125.618220898528,242.8418195914677
1650,1.649999999999929,-48143.09991623733,14376.739110116896,247.15898665074678
1700,1.6999999999999236,-47955.778080037475,14547.135322290937,250.0883682585987
1750,1.749999999999918,-47518.53844282525,14399.114815549534,247.54366057700832
1800,1.7999999999999126,-47669.53157633212,14777.779944730351,254.05351575984636
1850,1.849999999999907,-47569.61229744792,14934.174854055946,256.7421927268679
1900,1.8999999999999015,-47415.96351943453,15095.84517508728,259.5215624025329
1950,1.949999999999896,-46882.567407731054,14777.66008371062,254.05145515848548
2000,1.9999999999998905,-47054.34514434705,15240.350150894352,262.0058325219881
2050,2.0499999999998852,-46975.92889872792,15232.155621930879,261.8649555498751
2100,2.0999999999998797,-46890.42158087621,15413.14460686671,264.9764437509936
2150,2.1499999999998742,-46644.7666297462,15426.80998729781,265.21137335176587
2200,2.1999999999998687,-46516.44509332077,15505.4948676529,266.56409145733505
2250,2.249999999999863,-46720.39624237249,15894.07213385572,273.24435202369835
2300,2.2999999999998577,-46411.020426864605,15717.383552452902,270.2067945916692
2350,2.349999999999852,-46467.2796708947,15764.723909166187,271.020650536562
2400,2.3999999999998467,-46343.75952237959,15901.5945224111,273.373673834319
2450,2.449999999999841,-46305.209445480556,15918.352004007942,273.6617615667714
2500,2.4999999999998357,-46192.68918973925,15808.404320594129,271.7715862071843
2550,2.54999999999983,-46190.83044825191,15955.55876454669,274.30140489345894
2600,2.5999999999998247,-46123.733610620926,15990.783145884816,274.906967972141
2650,2.649999999999819,-45963.01219597644,15968.596238006034,274.5255397757863
2700,2.6999999999998137,-45880.46167024726,16079.538809312895,276.4328188389041
2750,2.749999999999808,-45939.503860164914,16200.076672605033,278.5050562159715
2800,2.7999999999998026,-45774.773429087465,16120.57765935497,277.1383418724669
2850,2.849999999999797,-45727.809549492,16138.937339318543,277.45397394036996
